S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
9.491105477,33.99161484,23.04042392,23.79671935,5.649310758,0.203408059,0.08489327,9.486790968,5.186928802,73.70550722
36.61238503,103.1356034,14.13465274,13.44057822,24.16103099,257.1271915,24.74591684,66.61934685,54.08688798,63.76574785
14.44006492,40.48981479,11.59186163,31.99004368,60.4413327,54.48262289,67.29116242,59.28462852,39.407026,56.38761772
37.93544783,53.72085034,30.56585535,26.51373297,51.42193114,15.62612129,42.27776157,67.123897,68.29307296,28.66625636
49.37488238,80.88620893,49.14466213,20.54444475,34.8096902,50.27472806,25.7003027,74.00258418,39.7098449,55.10596335
21.37598881,111.5266984,47.86493226,31.15800961,38.30833762,13.58436128,16.13948824,50.53854884,157.1602087,24.70448177
38.72922426,52.62809765,30.50417241,26.0618271,37.46065032,75.97472464,20.32629403,45.92730368,31.39635395,29.61621937
44.47681608,32.62063386,28.46439936,10.55182053,34.37264373,27.03705844,38.46434868,37.9939359,87.23195945,28.24642919
32.6079674,32.26124214,33.48522946,83.65019185,33.16298411,32.97949629,34.56006783,30.98697118,35.52157609,17.68779994
36.03684641,39.01600204,32.15961767,23.41347566,32.38117881,5.615074213,23.79667894,18.26313139,70.57748756,43.97307283
20.49177209,42.64402308,25.43056818,11.05791237,57.67117503,2.157226235,20.18817858,54.14751284,61.26257267,75.19269024
28.38087164,21.42900966,24.82311506,12.15631026,39.67575345,7.983024893,31.12874609,14.75030831,36.16985175,38.51729009
25.32614604,21.33241674,29.76487131,12.01133031,50.92401083,24.34859405,13.06037135,25.75233519,18.6696777,35.70658534
23.79693033,26.26343725,22.19327937,5.57910069,31.91691345,24.89320937,12.03587925,30.30047219,11.45269427,17.17775311
19.1006586,21.26477541,25.1183501,13.19835381,28.40036021,21.56860447,8.547642008,34.13440614,6.129266555,12.91839395
16.26914351,9.226001142,20.47410564,9.463704651,14.38338824,6.284192923,19.77060496,23.71908821,12.73960582,14.32776941
24.5702475,26.50311736,37.6194292,9.063578232,30.64100694,21.02713315,15.57760923,9.067151452,26.8111542,10.55956097
15.94049245,15.89251479,24.81320175,6.505087072,37.4190031,11.14643499,4.761547413,7.158547595,12.78938574,12.43913737
20.69848292,26.10539583,50.76334948,5.421787848,23.55370902,7.25004202,7.705881823,26.36089275,11.2805054,10.20353209
15.34240266,19.55447304,42.75551466,6.918925446,26.42726781,20.74861895,5.85655375,17.63825286,19.13975229,11.38004124
13.73454559,14.6241817,33.29171274,11.46485685,16.26597839,5.194627278,36.02107525,8.967664018,28.0973431,22.13759744
19.28185218,33.89433037,38.81634687,4.869442664,14.03273095,7.327617937,14.78702515,14.04518446,17.38006307,20.57561551
14.75460583,26.6874061,22.56104827,2.467065438,17.61897255,8.836081758,7.749677433,20.98169194,10.24323229,8.327621775
17.89515477,6.24567285,35.39435543,2.380923808,7.239193119,11.89066083,1.661618058,20.22182553,8.957822528,10.16658369
11.44507847,9.266520656,22.93652076,1.919258683,6.3016728,4.809917732,5.660056426,4.677231217,9.923699381,9.361302407
10.97397998,12.59018602,21.74870903,3.10714935,5.223431126,8.127285346,4.880706723,9.094004993,7.212387963,6.941524508
12.5184297,13.6852965,20.14821624,1.524567509,6.953343876,3.383920521,9.839448726,7.174566437,4.235174706,10.38731706
5.760918132,3.0379436,22.63481669,0.965826974,5.487548268,8.496939839,2.124706928,9.237827434,3.841235988,4.237586827
7.323921973,4.780896643,18.66477847,2.152752379,3.379863819,10.72380966,3.424221969,6.229457344,2.099313703,6.939408964
7.255805436,8.124916361,15.56175607,1.516452729,2.797441282,4.230535096,2.41703574,4.630207669,16.12358924,5.038595374
12.03472342,5.51843685,26.41358942,1.240961468,3.934856336,10.01963868,3.176536199,4.245595302,20.66994778,10.46065166
9.256756455,12.60935522,24.83780292,2.020640823,2.701634201,6.724073507,2.995498273,15.52462558,19.7332886,21.58586912
11.83063336,2.710582243,18.30668538,3.633156882,1.349184056,5.187418508,3.938325538,12.11658018,11.36425189,21.63086819
10.27674931,4.78038014,23.95615798,4.8042143,9.927042642,3.915241426,6.190506164,14.83798672,18.43158323,15.13952165
16.18561342,6.979507717,14.97059886,3.075286844,7.296073881,1.788540947,0.117290533,10.21697859,6.469002386,19.30334065
29.03901635,8.73847975,21.46723327,3.841238264,6.199384122,5.047116876,3.794151287,5.699366343,0.723458174,7.78426199
22.79766541,19.18992404,26.29427576,0.450205398,2.689862254,10.29767375,2.193324503,8.531128129,0.79364502,10.30232981
21.72537129,5.510385115,21.02840139,3.361620772,1.407393289,5.70429497,3.899704426,6.164118623,1.66927048,11.64289867
25.93334926,10.99617248,27.0173626,3.979225072,3.711506793,15.16891583,0.563981425,5.223239415,4.6859302,6.889045176
51.70005473,27.9257032,33.40589537,5.108284047,3.954093846,5.233596134,2.202756563,10.15584364,1.4138519,3.138945813
56.92384389,25.10330649,29.30041651,3.636580859,2.7419374,9.833629563,0.503406873,4.201197306,2.63613572,1.987544023
36.23816073,13.51146522,15.31620585,4.310172185,4.303544202,5.868119173,0.460617633,3.771783181,1.592142817,1.623010877
11.41145108,14.63852793,11.81482513,23.79671935,3.708847682,1.872290388,0.276322221,1.679783371,5.186928802,73.70550722
