"","X","Survey","Year","Quarter","Ship","Gear","HaulNo","HaulDur","ShootLat","ShootLong","DateTime","Depth","Area","SubArea","DayNight","AphiaID","Species","Sex","LngtClass","CPUE_number_per_hour","DateofCalculation","LngtClass_cm","WeightConv","Weight","Total_wgt","ID"
"1",220,"NS-IBTS",1977,1,"JOH","GOV",16,30,57.75,5.5833,"10/02/1977 07:10:00",115,7,"44F5","N",127190,"Agonus cataphractus",-9,0,0,20190405,0,"0.0135*(L)^2.76",0,0,1
"2",221,"NS-IBTS",1977,1,"JOH","GOV",17,30,54.9167,7.8333,"14/02/1977 12:13:00",17,6,"38F7","D",127190,"Agonus cataphractus",-9,0,0,20190405,0,"0.0135*(L)^2.76",0,0,2
"3",222,"NS-IBTS",1977,1,"JOH","GOV",18,30,54.75,7.5833,"14/02/1977 14:25:00",18,6,"38F7","D",127190,"Agonus cataphractus",-9,0,0,20190405,0,"0.0135*(L)^2.76",0,0,3
"4",223,"NS-IBTS",1977,1,"JOH","GOV",19,30,54.6667,7.75,"14/02/1977 16:43:00",16,6,"38F7","N",127190,"Agonus cataphractus",-9,0,0,20190405,0,"0.0135*(L)^2.76",0,0,4
"5",224,"NS-IBTS",1977,1,"JOH","GOV",20,30,54.4167,7.8333,"15/02/1977 07:33:00",20,6,"37F7","D",127190,"Agonus cataphractus",-9,130,2,20190405,13,"0.0135*(L)^2.76",16.0257152157059,32.0514304314118,5
"6",225,"NS-IBTS",1977,1,"JOH","GOV",20,30,54.4167,7.8333,"15/02/1977 07:33:00",20,6,"37F7","D",127190,"Agonus cataphractus",-9,140,2,20190405,14,"0.0135*(L)^2.76",19.6628808233692,39.3257616467385,5
"7",226,"NS-IBTS",1977,1,"JOH","GOV",20,30,54.4167,7.8333,"15/02/1977 07:33:00",20,6,"37F7","D",127190,"Agonus cataphractus",-9,150,2,20190405,15,"0.0135*(L)^2.76",23.7873270389112,47.5746540778225,5
"8",227,"NS-IBTS",1977,1,"JOH","GOV",20,30,54.4167,7.8333,"15/02/1977 07:33:00",20,6,"37F7","D",127190,"Agonus cataphractus",-9,170,2,20190405,17,"0.0135*(L)^2.76",33.6025929814127,67.2051859628254,5
"9",228,"NS-IBTS",1977,1,"JOH","GOV",21,30,54.3333,7.4667,"15/02/1977 09:57:00",28,6,"37F7","D",127190,"Agonus cataphractus",-9,120,2,20190405,12,"0.0135*(L)^2.76",12.8491384175718,25.6982768351436,6
"10",229,"NS-IBTS",1977,1,"JOH","GOV",21,30,54.3333,7.4667,"15/02/1977 09:57:00",28,6,"37F7","D",127190,"Agonus cataphractus",-9,130,2,20190405,13,"0.0135*(L)^2.76",16.0257152157059,32.0514304314118,6
