"","X","Survey","Year","Quarter","Ship","Gear","HaulNo","HaulDur","ShootLat","ShootLong","DateTime","Depth","Area","SubArea","DayNight","AphiaID","Species","Sex","LngtClass","CPUE_number_per_hour","DateofCalculation","LngtClass_cm","WeightConv","Weight","Total_wgt","ID"
"1",216,"NS-IBTS",1977,1,"JOH","GOV",16,30,57.75,5.5833,"10/02/1977 07:10:00",115,7,"44F5","N",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,1
"2",217,"NS-IBTS",1977,1,"JOH","GOV",17,30,54.9167,7.8333,"14/02/1977 12:13:00",17,6,"38F7","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,2
"3",218,"NS-IBTS",1977,1,"JOH","GOV",18,30,54.75,7.5833,"14/02/1977 14:25:00",18,6,"38F7","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,3
"4",219,"NS-IBTS",1977,1,"JOH","GOV",19,30,54.6667,7.75,"14/02/1977 16:43:00",16,6,"38F7","N",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,4
"5",220,"NS-IBTS",1977,1,"JOH","GOV",20,30,54.4167,7.8333,"15/02/1977 07:33:00",20,6,"37F7","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,5
"6",221,"NS-IBTS",1977,1,"JOH","GOV",21,30,54.3333,7.4667,"15/02/1977 09:57:00",28,6,"37F7","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,6
"7",222,"NS-IBTS",1977,1,"JOH","GOV",22,30,54.3,7.15,"15/02/1977 12:05:00",37,6,"37F7","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,7
"8",223,"NS-IBTS",1977,1,"JOH","GOV",23,26,54.3167,6.8667,"15/02/1977 13:57:00",34,6,"37F6","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,8
"9",224,"NS-IBTS",1977,1,"JOH","GOV",24,30,54.55,6.5333,"15/02/1977 16:30:00",36,6,"38F6","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,9
"10",225,"NS-IBTS",1977,1,"JOH","GOV",25,30,55.1667,3.6667,"16/02/1977 07:20:00",37,6,"39F3","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,10
"11",226,"NS-IBTS",1977,1,"JOH","GOV",26,30,55.1,2.8333,"16/02/1977 12:20:00",23,2,"39F2","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,11
"12",227,"NS-IBTS",1977,1,"JOH","GOV",27,30,55.25,2.5333,"16/02/1977 13:28:00",34,2,"39F2","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,12
"13",228,"NS-IBTS",1977,1,"JOH","GOV",28,30,55.3333,2.1667,"16/02/1977 15:17:00",38,2,"39F2","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,13
"14",229,"NS-IBTS",1977,1,"JOH","GOV",29,30,55.2667,1.4333,"17/02/1977 07:20:00",56,2,"39F1","D",126756,"Hyperoplus lanceolatus",-9,0,0,20190405,0,"0.0051*(L)^2.79",0,0,14
