S1,0,1,2,3,4,5
S1,0,0.84,0.55,0.36,0.84,0.57
S2,0.95,0.85,0.63,0.5,0.85,0.84
S3,0.65,0.67,0.39,0.24,0.8,0.65
S4,0.56,0.39,0.34,0.93,0.58,0.72
S5,0.55,0.32,0.42,0.58,0.42,0.55
S6,0.73,0.65,0.27,0.58,0.41,0.79
S7,0.54,0.21,0.28,0.53,0.71,0.53
S8,0.99,1,1,0.75,0.72,0.7
S9,0.26,0.23,0.42,0.57,0.31,-0.04
S10,0.3,0.36,0.72,0.86,0.27,0.33
S2,0,1,2,3,4,5
S1,0.71,0.81,0.38,0.44,0.77,0.29
S2,0,1,1,1,1,1
S3,0.92,0.55,0.99,0.76,0.49,0.95
S4,0.73,0.38,0.98,1,0.93,0.87
S5,1,1,1,1,1,1
S6,0.8,1,1,0.92,0.79,1
S7,0.95,0.82,0.82,0.55,1,0.9
S8,1,0.99,0.99,1,1,0.92
S9,0.58,0.84,0.97,0.76,0.95,0.9
S10,0.89,0.99,0.99,1,1,1
S3,0,1,2,3,4,5
S1,0.71,0.22,0.48,0.41,0.49,0.61
S2,0.88,0.9,0.57,0.78,0.9,1
S3,0,0.57,0.56,0.46,0.43,0.55
S4,0.58,0.24,0.66,0.34,0.47,0.22
S5,0.64,0.36,0.66,0.98,0.36,0.96
S6,0.81,0.55,0.74,0.33,0.57,1
S7,0.52,0.35,0.79,0.69,0.49,0.26
S8,1,1,0.9,0.97,1,1
S9,0.57,0.69,0.83,0.69,0.59,0.22
S10,0.6,0.64,0.65,0.74,0.56,0.69
S4,0,1,2,3,4,5
S1,0.37,0.48,0.64,0.29,0.85,0.52
S2,1,0.96,1,0.96,0.91,0.75
S3,0.54,0.28,0.73,0.51,0.83,0.59
S4,0,0.88,0.61,0.69,0.89,0.89
S5,0.95,0.97,1,0.75,0.97,0.95
S6,0.7,0.58,0.99,0.77,0.59,0.92
S7,0.86,0.87,0.48,0.35,0.73,0.39
S8,1,0.95,1,1,1,1
S9,0.68,0.38,0.49,0.64,0.78,0.71
S10,0.78,0.76,0.57,0.78,0.91,0.93
S5,0,1,2,3,4,5
S1,0.46,0.59,0.77,0.67,0.61,0.8
S2,0.88,1,1,1,1,1
S3,0.64,0.49,0.92,0.98,1,0.94
S4,0.95,0.98,0.95,1,0.84,0.88
S5,0,0.98,0.97,1,1,1
S6,0.9,0.21,1,1,0.72,0.96
S7,0.44,0.93,1,0.81,0.9,0.77
S8,1,1,1,1,1,1
S9,0.74,0.83,0.66,0.95,0.76,0.49
S10,0.93,1,0.75,1,1,0.73
S6,0,1,2,3,4,5
S1,0.63,0.41,0.69,0.5,0.57,0.57
S2,0.93,1,0.78,1,1,0.87
S3,0.73,0.99,0.68,0.83,0.71,0.76
S4,0.78,0.8,0.84,0.93,0.97,0.64
S5,0.97,1,0.88,0.97,0.78,1
S6,0,0.85,1,1,0.58,0.82
S7,0.22,0.87,0.63,0.74,0.89,0.49
S8,0.92,1,1,1,1,1
S9,0.67,0.88,0.86,0.65,0.75,0.78
S10,0.32,0.81,0.93,0.66,1,1
S7,0,1,2,3,4,5
S1,0.45,0.49,0.59,0.62,0.62,0.65
S2,0.69,0.58,0.78,1,1,0.78
S3,0.47,0.24,0.62,0.83,0.35,0.43
S4,0.78,0.5,0.65,0.58,0.84,0.75
S5,0.55,0.84,0.72,0.68,0.88,0.77
S6,0.89,0.74,0.64,0.64,0.73,0.51
S7,0,0.72,0.69,0.25,0.67,0.63
S8,0.98,0.84,0.96,1,1,1
S9,0.54,0.44,0.59,0.87,0.82,0.82
S10,0.85,0.46,0.66,0.75,0.9,0.97
S8,0,1,2,3,4,5
S1,0.96,0.81,0.81,0.93,0.98,0.63
S2,1,0.75,1,1,1,1
S3,0.97,0.75,1,1,1,1
S4,1,1,1,1,1,1
S5,1,1,1,1,1,1
S6,0.97,0.92,1,1,1,1
S7,0.92,1,0.93,1,0.68,1
S8,0,1,0.93,0.95,0.96,0.93
S9,0.92,0.93,0.99,0.76,1,1
S10,1,1,0.85,1,1,1
S9,0,1,2,3,4,5
S1,0.42,0.44,0.57,0.27,0.31,0.43
S2,0.43,1,1,0.77,1,0.93
S3,0.39,0.38,0.52,0.67,0.2,0.21
S4,0.69,0.85,0.81,0.65,0.6,0.66
S5,0.76,0.86,0.33,0.97,0.87,0.46
S6,0.6,0.62,0.23,0.48,0.08,0.67
S7,0.59,0.47,0.51,0.22,0.68,0.54
S8,1,1,1,0.94,1,1
S9,0,0.73,0.23,0.45,0.46,0
S10,0.75,0.93,0.7,0.6,0.48,0.93
S10,0,1,2,3,4,5
S1,0.31,0.45,0.74,0.8,0.73,0.6
S2,0.91,1,0.99,0.96,1,1
S3,0.99,0.13,0.9,0.8,0.9,0.73
S4,0.81,0.8,0.71,0.64,0.83,0.83
S5,0.94,0.72,1,1,0.97,0.84
S6,0.46,0.9,0.79,0.89,0.93,0.85
S7,0.84,0.86,0.65,0.47,0.32,0.77
S8,1,1,1,1,1,1
S9,0.71,0.83,0.24,0.4,0.39,0.43
S10,0,0.89,0.89,0.87,0.88,1
