"","V1","V2","V3","V4"
"1","0.999639836009603","0","1","1 & 2"
"2","0.999630695804826","1","1","1 & 2"
"3","0.999619251114634","2","1","1 & 2"
"4","0.99960670039671","3","1","1 & 2"
"5","0.999593697195019","4","1","1 & 2"
"6","0.999580362069559","5","1","1 & 2"
"7","0.999566563590409","6","1","1 & 2"
"8","0.999552272990123","7","1","1 & 2"
"9","0.99953780151668","8","1","1 & 2"
"10","0.999523843460864","9","1","1 & 2"
"11","0.999511352473622","10","1","1 & 2"
"12","0.999815000572482","0","2","1 & 2"
"13","0.999789926314396","1","2","1 & 2"
"14","0.999758412147078","2","2","1 & 2"
"15","0.999722083204049","3","2","1 & 2"
"16","0.999682937558978","4","2","1 & 2"
"17","0.99964318812639","5","2","1 & 2"
"18","0.999605008237572","6","2","1 & 2"
"19","0.999570215201111","7","2","1 & 2"
"20","0.99954001574224","8","2","1 & 2"
"21","0.999514949477813","9","2","1 & 2"
"22","0.999495063424475","10","2","1 & 2"
"23","0.991701048214602","0","3","1 & 2"
"24","0.991557850783408","1","3","1 & 2"
"25","0.991449076883655","2","3","1 & 2"
"26","0.991392789262799","3","3","1 & 2"
"27","0.991399125117542","4","3","1 & 2"
"28","0.991466770693098","5","3","1 & 2"
"29","0.991584295890215","6","3","1 & 2"
"30","0.991735016050258","7","3","1 & 2"
"31","0.991902394592187","8","3","1 & 2"
"32","0.992073564329994","9","3","1 & 2"
"33","0.992240309410743","10","3","1 & 2"
"34","0.999732185670307","0","4","1 & 2"
"35","0.999726721313087","1","4","1 & 2"
"36","0.999719504423707","2","4","1 & 2"
"37","0.999711342111778","3","4","1 & 2"
"38","0.999703128608631","4","4","1 & 2"
"39","0.999695643764014","5","4","1 & 2"
"40","0.999689403576527","6","4","1 & 2"
"41","0.999684563488006","7","4","1 & 2"
"42","0.999680892579211","8","4","1 & 2"
"43","0.999677857045942","9","4","1 & 2"
"44","0.999674819178496","10","4","1 & 2"
"45","0.99866111011975","0","5","1 & 2"
"46","0.998683963293324","1","5","1 & 2"
"47","0.998710001886189","2","5","1 & 2"
"48","0.998737980483932","3","5","1 & 2"
"49","0.998766347433004","4","5","1 & 2"
"50","0.99879357332794","5","5","1 & 2"
"51","0.998818606656329","6","5","1 & 2"
"52","0.998841196469819","7","5","1 & 2"
"53","0.99886189086911","8","5","1 & 2"
"54","0.998881732634665","9","5","1 & 2"
"55","0.998901852522279","10","5","1 & 2"
"56","0.999598221878687","0","6","1 & 2"
"57","0.999597111405964","1","6","1 & 2"
"58","0.999599722087643","2","6","1 & 2"
"59","0.99960649361743","3","6","1 & 2"
"60","0.999617111749147","4","6","1 & 2"
"61","0.999630606779722","5","6","1 & 2"
"62","0.999645644155379","6","6","1 & 2"
"63","0.99966087504596","7","6","1 & 2"
"64","0.999675207592457","8","6","1 & 2"
"65","0.99968792747543","9","6","1 & 2"
"66","0.999698680404698","10","6","1 & 2"
"67","0.998483830247944","0","7","1 & 2"
"68","0.998609705632526","1","7","1 & 2"
"69","0.998736454016628","2","7","1 & 2"
"70","0.998858514470631","3","7","1 & 2"
"71","0.998969975253562","4","7","1 & 2"
"72","0.999066197223397","5","7","1 & 2"
"73","0.999145105659109","6","7","1 & 2"
"74","0.999207473734334","7","7","1 & 2"
"75","0.999256064848555","8","7","1 & 2"
"76","0.999294156456477","9","7","1 & 2"
"77","0.999324275925668","10","7","1 & 2"
"78","0.999234044010815","0","8","1 & 2"
"79","0.999266841528744","1","8","1 & 2"
"80","0.999303815750727","2","8","1 & 2"
"81","0.999343057387235","3","8","1 & 2"
"82","0.999382110740131","4","8","1 & 2"
"83","0.99941864506756","5","8","1 & 2"
"84","0.999451103244654","6","8","1 & 2"
"85","0.999478920290529","7","8","1 & 2"
"86","0.999502232817142","8","8","1 & 2"
"87","0.999521384486515","9","8","1 & 2"
"88","0.999536617015516","10","8","1 & 2"
"89","0.999503924601712","0","9","1 & 2"
"90","0.999512460806269","1","9","1 & 2"
"91","0.999522957727633","2","9","1 & 2"
"92","0.999535198767511","3","9","1 & 2"
"93","0.999548750865359","4","9","1 & 2"
"94","0.999563066225265","5","9","1 & 2"
"95","0.999577664536216","6","9","1 & 2"
"96","0.999592248435485","7","9","1 & 2"
"97","0.999606677899891","8","9","1 & 2"
"98","0.999620863805216","9","9","1 & 2"
"99","0.999634688071294","10","9","1 & 2"
"100","0.992898172450706","0","10","1 & 2"
"101","0.993063650267453","1","10","1 & 2"
"102","0.993215316348453","2","10","1 & 2"
"103","0.993348593013492","3","10","1 & 2"
"104","0.993461298866221","4","10","1 & 2"
"105","0.993553932516749","5","10","1 & 2"
"106","0.993629090758403","6","10","1 & 2"
"107","0.993690291391244","7","10","1 & 2"
"108","0.99374084604585","8","10","1 & 2"
"109","0.993783362540448","9","10","1 & 2"
"110","0.993819935935657","10","10","1 & 2"
"111","0.994618938237896","0","11","1 & 2"
"112","0.994596821333113","1","11","1 & 2"
"113","0.9945623002064","2","11","1 & 2"
"114","0.99451501680379","3","11","1 & 2"
"115","0.994460222670346","4","11","1 & 2"
"116","0.994408075960983","5","11","1 & 2"
"117","0.994370773896249","6","11","1 & 2"
"118","0.994358334027824","7","11","1 & 2"
"119","0.994374912217642","8","11","1 & 2"
"120","0.994417564347498","9","11","1 & 2"
"121","0.994478032961964","10","11","1 & 2"
"122","0.999917763896877","0","12","1 & 2"
"123","0.999907117665778","1","12","1 & 2"
"124","0.999895775964633","2","12","1 & 2"
"125","0.999884577331345","3","12","1 & 2"
"126","0.999874242963767","4","12","1 & 2"
"127","0.999865260566138","5","12","1 & 2"
"128","0.999857843487826","6","12","1 & 2"
"129","0.999851962551331","7","12","1 & 2"
"130","0.999847415960216","8","12","1 & 2"
"131","0.999843898570416","9","12","1 & 2"
"132","0.999841053323375","10","12","1 & 2"
"133","0.999692181131722","0","13","1 & 2"
"134","0.999689828548482","1","13","1 & 2"
"135","0.99968777334741","2","13","1 & 2"
"136","0.999685731628229","3","13","1 & 2"
"137","0.999683248523048","4","13","1 & 2"
"138","0.999679820246069","5","13","1 & 2"
"139","0.99967506599044","6","13","1 & 2"
"140","0.999668861699285","7","13","1 & 2"
"141","0.999661372693281","8","13","1 & 2"
"142","0.99965299327629","9","13","1 & 2"
"143","0.999644255232188","10","13","1 & 2"
"144","0.993486103603338","0","14","1 & 2"
"145","0.993515601516263","1","14","1 & 2"
"146","0.993554341272922","2","14","1 & 2"
"147","0.993607169407628","3","14","1 & 2"
"148","0.993680249739269","4","14","1 & 2"
"149","0.993779780570975","5","14","1 & 2"
"150","0.993910150382462","6","14","1 & 2"
"151","0.99407209336978","7","14","1 & 2"
"152","0.994261649848312","8","14","1 & 2"
"153","0.994470551812792","9","14","1 & 2"
"154","0.994688026353492","10","14","1 & 2"
"155","0.999768027946516","0","15","1 & 2"
"156","0.99976230875369","1","15","1 & 2"
"157","0.999757775744789","2","15","1 & 2"
"158","0.999754608833467","3","15","1 & 2"
