"","combi","period_diff","ci_width"
"1","1 - 2",0,5.39728813736603
"2","1 - 3",0,4.57299818162754
"3","1 - 4",0,5.55841272942689
"4","1 - 5",0,5.23459131869364
"5","1 - 6",0.0873015873015873,0.470413104848444
"6","1 - 7",0,4.06602562837706
"7","1 - 8",0,0.457524244422665
"8","1 - 9",0,5.76091054341554
"9","1 - 10",0,4.4289531585809
"10","2 - 3",0,5.44374223932856
"11","2 - 4",0,5.80268443264571
"12","2 - 5",0,5.67703706807729
"13","2 - 6",0,0.479774000131166
"14","2 - 7",0,4.81419925677632
"15","2 - 8",0,0.5984961564628
"16","2 - 9",0,5.82928541620865
"17","2 - 10",0,5.31578410177607
"18","3 - 4",0,5.74137563741572
"19","3 - 5",0,5.3534769174027
"20","3 - 6",0,0.476254346093246
"21","3 - 7",0,4.04704750666246
"22","3 - 8",0,0.457949485283135
"23","3 - 9",0,5.82755104575133
"24","3 - 10",0,4.42866759662902
"25","4 - 5",0,6.4994244328116
"26","4 - 6",0,0.464491171556763
"27","4 - 7",0,4.42266842445133
"28","4 - 8",0,0.461001635665034
"29","4 - 9",0,6.21441746006265
"30","4 - 10",0,5.31123350893511
"31","5 - 6",0,0.465229814983621
"32","5 - 7",0,4.3238968397151
"33","5 - 8",0,0.460413300629645
"34","5 - 9",0,6.0683999658011
"35","5 - 10",0,5.03548783273061
"36","6 - 7",0.182539682539683,0.455278665913832
"37","6 - 8",0,0.499430086818312
"38","6 - 9",0,0.482457436351168
"39","6 - 10",0,0.468725413682659
"40","7 - 8",0,0.507204852169788
"41","7 - 9",0,5.01571175551072
"42","7 - 10",0,4.02789851739619
"43","8 - 9",0,0.606251052119798
"44","8 - 10",0,0.458699690263147
"45","9 - 10",0,5.66001485462194
