"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"1",-4.04823884857202,0.0610623333295334,1977,1,"WAH3",-3.92611418191296,-4.17036351523109,-3.84750988883441,-4.24896780830964,0.401457919475228
"2",-4.04804762163349,0.060381583344287,1977.336,1,"WAH3",-3.92728445494491,-4.16881078832206,-3.84955647740224,-4.24653876586473,0.396982288462489
"3",-4.04785639482927,0.059703749239927,1977.672,1,"WAH3",-3.92844889634941,-4.16726389330912,-3.85159348078878,-4.24411930886976,0.392525828080977
"4",-4.04766516829369,0.0590289320829584,1978.008,1,"WAH3",-3.92960730412777,-4.1657230324596,-3.85362056689448,-4.24170976969289,0.388089202798403
"5",-4.04747394219,0.0583572359783787,1978.344,1,"WAH3",-3.93075947023324,-4.16418841414676,-3.85563739366039,-4.23931049071961,0.383673097059225
"6",-4.04728271678926,0.0576887685793417,1978.68,1,"WAH3",-3.93190517963058,-4.16266025394795,-3.85764360747153,-4.236921826107,0.379278218635465
"7",-4.04709149238763,0.0570236405227922,1979.016,1,"WAH3",-3.93304421134204,-4.16113877343321,-3.8596388449295,-4.23454413984576,0.374905294916255
"8",-4.04690026931909,0.0563619656940154,1979.352,1,"WAH3",-3.93417633793106,-4.15962420070712,-3.86162273199552,-4.23217780664266,0.370555074647136
"9",-4.04670904804892,0.0557038619638052,1979.688,1,"WAH3",-3.93530132412131,-4.15811677197653,-3.86359488166062,-4.22982321443723,0.366228332776608
"10",-4.04651782907086,0.055049451232675,1980.024,1,"WAH3",-3.93641892660551,-4.15661673153621,-3.86555489369746,-4.22748076444426,0.3619258707468
"11",-4.04632661292675,0.0543988599654661,1980.36,1,"WAH3",-3.93752889299582,-4.15512433285768,-3.86750235292261,-4.22515087293089,0.357648520008286
"12",-4.04613540031395,0.053752220147334,1980.696,1,"WAH3",-3.93863096001928,-4.15363984060861,-3.86943682616131,-4.22283397446658,0.353397148305273
"13",-4.04594419196118,0.0531096692979226,1981.032,1,"WAH3",-3.93972485336534,-4.15216353055703,-3.87135786207679,-4.22053052184557,0.349172659768786
"14",-4.04575298865535,0.0524713509605359,1981.368,1,"WAH3",-3.94081028673428,-4.15069569057642,-3.87326498958897,-4.21824098772173,0.344975998132762
"15",-4.04556179135853,0.0518374155178556,1981.704,1,"WAH3",-3.94188696032282,-4.14923662239424,-3.87515771531002,-4.21596586740705,0.340808152097031
"16",-4.04537060106576,0.0512080199096858,1982.04,1,"WAH3",-3.94295456124639,-4.14778664088513,-3.87703552432996,-4.21370567780157,0.336670153471607
"17",-4.04517941883804,0.0505833279163855,1982.376,1,"WAH3",-3.94401276300526,-4.14634607467081,-3.87889787931796,-4.21146095835811,0.332563079040145
"18",-4.04498824592177,0.0499635106787462,1982.712,1,"WAH3",-3.94506122456427,-4.14491526727926,-3.88074421893282,-4.20923227291071,0.328488053977891
"19",-4.04479708359585,0.0493487463159158,1983.048,1,"WAH3",-3.94609959096402,-4.14349457622768,-3.88257395892599,-4.20702020826571,0.324446249339712
"20",-4.04460593320874,0.0487392201372106,1983.384,1,"WAH3",-3.94712749293432,-4.14208437348316,-3.88438649148241,-4.20482537493507,0.320438883452657
"21",-4.04441479629141,0.0481351250845833,1983.72,1,"WAH3",-3.94814454612224,-4.14068504646058,-3.88618118387891,-4.20264840870391,0.316467224825001
"22",-4.04422367440463,0.0475366615308455,1984.056,1,"WAH3",-3.94915035134293,-4.13929699746632,-3.88795737899481,-4.20048996981444,0.312532590819636
"23",-4.04403256917642,0.046944037638199,1984.392,1,"WAH3",-3.95014449390003,-4.13792064445282,-3.88971439417079,-4.19835074418205,0.308636350011261
"24",-4.04384148239978,0.0463574699763508,1984.728,1,"WAH3",-3.95112654244708,-4.13655642235248,-3.89145151927467,-4.19623144552488,0.304779926250213
"25",-4.04365041589272,0.0457771834834434,1985.064,1,"WAH3",-3.95209604892583,-4.1352047828596,-3.89316801668991,-4.19413281509552,0.300964798405605
"26",-4.04345937153148,0.0452034119880057,1985.4,1,"WAH3",-3.95305254755547,-4.13386619550749,-3.89486311963302,-4.19205562342994,0.297192503796923
"27",-4.04326835132574,0.0446363989462122,1985.736,1,"WAH3",-3.95399555343331,-4.13254114921816,-3.89653602980515,-4.19000067284632,0.293464643041172
"28",-4.043077357304,0.0440763973005144,1986.072,1,"WAH3",-3.95492456270297,-4.13123015190503,-3.89818591774228,-4.18796879686573,0.289782879123451
"29",-4.04288639153724,0.0435236699680239,1986.408,1,"WAH3",-3.95583905160119,-4.12993373147329,-3.89981192123332,-4.18596086184117,0.286148940607849
"30",-4.04269545618741,0.0429784904271462,1986.744,1,"WAH3",-3.95673847533312,-4.1286524370417,-3.90141314344026,-4.18397776893456,0.282564625494306
"31",-4.04250455342837,0.0424411423064081,1987.08,1,"WAH3",-3.95762226881555,-4.12738683804118,-3.9029886541707,-4.18202045268604,0.279031798515337
"32",-4.04231368545505,0.0419119196783656,1987.416,1,"WAH3",-3.95848984609832,-4.12613752481178,-3.90453748892088,-4.18008988198922,0.275552393068339
"33",-4.04212285450465,0.0413911273694564,1987.752,1,"WAH3",-3.95934059976573,-4.12490510924356,-3.90605864787827,-4.17818706113102,0.272128413252745
"34",-4.04193206281937,0.0408790803630626,1988.088,1,"WAH3",-3.96017390209324,-4.12369022354549,-3.90755109784666,-4.17631302779208,0.268761929945416
"35",-4.04174131263744,0.0403761039407855,1988.424,1,"WAH3",-3.96098910475587,-4.12249352051902,-3.90901377177271,-4.17446885350218,0.265455081729467
"36",-4.04155060618965,0.0398825338360584,1988.76,1,"WAH3",-3.96178553851754,-4.12131567386177,-3.91044556823756,-4.17265564414175,0.262210075904198
"37",-4.0413599457056,0.0393987155667007,1989.096,1,"WAH3",-3.96256251457219,-4.120157376839,-3.91184535365713,-4.17087453775406,0.259029184096932
"38",-4.04116933338464,0.0389250045315372,1989.432,1,"WAH3",-3.96331932432157,-4.11901934244772,-3.91321196193552,-4.16912670483377,0.255914742898249
"39",-4.04097877137289,0.0384617660980836,1989.768,1,"WAH3",-3.96405523917672,-4.11790230356906,-3.91454419415365,-4.16741334859213,0.252869154438476
"40",-4.04078826181026,0.03800937474965,1990.104,1,"WAH3",-3.96476951231096,-4.11680701130956,-3.91584082142013,-4.16573570220039,0.249894880780268
"41",-4.04059780678127,0.0375682140683955,1990.44,1,"WAH3",-3.96546137864448,-4.11573423491806,-3.91710058487767,-4.16409502868487,0.246994443807202
"42",-4.04040740827891,0.037138676579344,1990.776,1,"WAH3",-3.96613005512022,-4.1146847614376,-3.91832219617979,-4.16249262037803,0.244170424198245
"43",-4.0402170682863,0.0367211624341957,1991.112,1,"WAH3",-3.96677474341791,-4.11365939315469,-3.9195043418991,-4.1609297946735,0.241425452774402
"44",-4.04002678870876,0.0363160790331022,1991.448,1,"WAH3",-3.96739463064256,-4.11265894677497,-3.92064568470274,-4.15940789271479,0.23876220801205
"45",-4.03983657133099,0.0359238403336243,1991.784,1,"WAH3",-3.96798889066374,-4.11168425199823,-3.92174486558117,-4.1579282770808,0.236183411499635
"46",-4.03964641792539,0.0355448649288351,1992.12,1,"WAH3",-3.96855668806772,-4.11073614778306,-3.92280051027436,-4.15649232557642,0.233691815302059
"47",-4.03945633016745,0.0351795751392258,1992.456,1,"WAH3",-3.969097179889,-4.1098154804459,-3.92381123217227,-4.15510142816262,0.231290195990352
"48",-4.03926630959158,0.034828395710515,1992.792,1,"WAH3",-3.96960951817055,-4.10892310101261,-3.92477563655141,-4.15375698263175,0.228981346080345
"49",-4.0390763577185,0.0344917513982614,1993.128,1,"WAH3",-3.97009285492198,-4.10805986051502,-3.92569232864222,-4.15246038679478,0.226768058152562
"50",-4.03888647595536,0.0341700656142807,1993.464,1,"WAH3",-3.9705463447268,-4.10722660718393,-3.92655991797886,-4.15121303393187,0.224653115953012
"51",-4.03869666555424,0.0338637586931076,1993.8,1,"WAH3",-3.97096914816802,-4.10642418294045,-3.92737702405627,-4.1500163070522,0.222639282995936
"52",-4.03850692775259,0.0335732451526112,1994.136,1,"WAH3",-3.97136043744737,-4.10565341805781,-3.92814228547581,-4.14887157002937,0.220729284553562
"53",-4.03831726365852,0.033298932097968,1994.472,1,"WAH3",-3.97171939946258,-4.10491512785445,-3.92885436507705,-4.14778016223999,0.218925797162937
"54",-4.03812767421416,0.033041217222492,1994.808,1,"WAH3",-3.97204523976917,-4.10421010865914,-3.92951195647303,-4.14674339195529,0.217231435482258
"55",-4.03793816034631,0.0328004857828688,1995.144,1,"WAH3",-3.97233718878058,-4.10353913191205,-3.93011379414413,-4.1457625265485,0.215648732404375
"56",-4.03774872283526,0.0325771088663329,1995.48,1,"WAH3",-3.9725945051026,-4.10290294056793,-3.93065865900314,-4.14483878666739,0.214180127664243
"57",-4.03755936228469,0.0323714411464504,1995.816,1,"WAH3",-3.97281647999179,-4.10230224457759,-3.9311453857426,-4.14397333882678,0.212827953084184
"58",-4.03737007928203,0.0321838176105971,1996.152,1,"WAH3",-3.97300244406083,-4.10173771450322,-3.93157287375278,-4.14316728481128,0.211594411058501
"59",-4.03718087424824,0.0320145517522378,1996.488,1,"WAH3",-3.97315177074377,-4.10120997775272,-3.93194009291399,-4.14242165558249,0.210481562668506
"60",-4.03699174741575,0.0318639331926612,1996.824,1,"WAH3",-3.97326388103043,-4.10071961380108,-3.93224609139251,-4.14173740343899,0.209491312046479
"61",-4.03680269899952,0.0317322244654059,1997.16,1,"WAH3",-3.97333825006871,-4.10026714793033,-3.93249000638218,-4.14111539161687,0.208625385234687
"62",-4.0366137290255,0.0316196594067709,1997.496,1,"WAH3",-3.97337441021196,-4.09985304783904,-3.93267106922365,-4.14055638882735,0.207885319603697
"63",-4.03642483731855,0.0315264410726403,1997.832,1,"WAH3",-3.97337195517327,-4.09947771946383,-3.93278861224034,-4.14006106239676,0.207272450156422
"64",-4.03623602368458,0.0314527391272302,1998.168,1,"WAH3",-3.97333054543012,-4.09914150193904,-3.93284207750444,-4.13962996986472,0.206787892360277
"65",-4.03604728771818,0.0313986889456073,1998.504,1,"WAH3",-3.97324990982697,-4.0988446656094,-3.93283101959486,-4.1392635558415,0.20643253624664
"66",-4.03585862880264,0.0313643903709866,1998.84,1,"WAH3",-3.97312984806066,-4.09858740954461,-3.93275510968232,-4.13896214792295,0.206207038240629
"67",-4.03567004630097,0.0313499061364905,1999.176,1,"WAH3",-3.97297023402799,-4.09836985857395,-3.93261414090854,-4.1387259516934,0.206111810784865
"68",-4.03548153934807,0.0313552620934219,1999.512,1,"WAH3",-3.97277101516123,-4.09819206353492,-3.93240802742794,-4.1385550512682,0.206147023840267
"69",-4.03529310686446,0.0313804470458749,1999.848,1,"WAH3",-3.97253221277271,-4.09805400095621,-3.93213680496512,-4.1384494087638,0.206312603798688
"70",-4.03510474774983,0.0314254122567976,2000.184,1,"WAH3",-3.97225392323623,-4.09795557226342,-3.93180063263208,-4.13840886286758,0.206608230235503
"71",-4.03491646067168,0.031490072808672,2000.52,1,"WAH3",-3.97193631505434,-4.09789660628903,-3.93139978824395,-4.13843313309942,0.20703334485547
"72",-4.0347282440925,0.0315743083547764,2000.856,1,"WAH3",-3.97157962738295,-4.09787686080205,-3.93093466587652,-4.13852182230848,0.207587156431952
"73",-4.03454009645483,0.0316779635243635,2001.192,1,"WAH3",-3.9711841694061,-4.09789602350356,-3.93040577471943,-4.13867441819022,0.20826864347079
"74",-4.03435201598522,0.0318008501258158,2001.528,1,"WAH3",-3.97075031573359,-4.09795371623685,-3.92981373163768,-4.13889030033275,0.209076568695071
"75",-4.03416400073097,0.0319427485698114,2001.864,1,"WAH3",-3.97027850359135,-4.09804949787059,-3.92915925653006,-4.13916874493188,0.210009488401822
"76",-4.03397604872254,0.0321034090211534,2002.2,1,"WAH3",-3.96976923068023,-4.09818286676484,-3.92844316870515,-4.13950892873992,0.211065760034771
"77",-4.03378815781625,0.0322825541844839,2002.536,1,"WAH3",-3.96922304944728,-4.09835326618522,-3.92766637756665,-4.13990993806585,0.212243560499201
"78",-4.03360032573269,0.0324798812745769,2002.872,1,"WAH3",-3.96864056318353,-4.09856008828184,-3.92682987617481,-4.14037077529056,0.213540899115747
"79",-4.03341255018127,0.0326950637871682,2003.208,1,"WAH3",-3.96802242260693,-4.0988026777556,-3.92593473554985,-4.14089036481268,0.214955629262828
"80",-4.033224828766,0.0329277547104327,2003.544,1,"WAH3",-3.96736931934513,-4.09908033818686,-3.92498209402065,-4.14146756351134,0.216485469490688
"81",-4.03303715901373,0.0331775888604643,2003.88,1,"WAH3",-3.9666819812928,-4.09939233673466,-3.92397314957565,-4.1421011684518,0.218128018876154
"82",-4.03284953844839,0.0334441849659243,2004.216,1,"WAH3",-3.96596116851654,-4.09973790838024,-3.92290915308425,-4.14278992381253,0.219880770728275
"83",-4.03266196457923,0.0337271490443603,2004.552,1,"WAH3",-3.96520766649051,-4.10011626266795,-3.92179139718616,-4.14353253197229,0.221741134786132
"84",-4.0324744349054,0.034026076685231,2004.888,1,"WAH3",-3.96442228153494,-4.10052658827586,-3.92062120879104,-4.14432766101976,0.223706452228719
"85",-4.03228694693332,0.0343405549805396,2005.224,1,"WAH3",-3.96360583697224,-4.10096805689439,-3.91939994274931,-4.14517395111732,0.225774008368006
"86",-4.03209949825613,0.0346701656350029,2005.56,1,"WAH3",-3.96275916698612,-4.10143982952613,-3.91812897170766,-4.14607002480459,0.227941053096933
"87",-4.03191208652293,0.0350144867538052,2005.896,1,"WAH3",-3.96188311301532,-4.10194106003054,-3.91680968020138,-4.14701449284448,0.230204812643096
"88",-4.03172470940084,0.0353730942928836,2006.232,1,"WAH3",-3.96097852081508,-4.10247089798661,-3.91544345984897,-4.14800595895272,0.232562499103743
"89",-4.03153736473949,0.035745564568169,2006.568,1,"WAH3",-3.96004623560315,-4.10302849387582,-3.91403170126803,-4.14904302821095,0.235011326942919
"90",-4.03135005049893,0.0361314754341871,2006.904,1,"WAH3",-3.95908709963056,-4.10361300136731,-3.9125757901288,-4.15012431086906,0.237548520740255
"91",-4.03116276466668,0.0365304072692523,2007.24,1,"WAH3",-3.95810195012818,-4.10422357920519,-3.91107710383259,-4.15124842550077,0.240171321668175
"92",-4.03097550548455,0.0369419448978655,2007.576,1,"WAH3",-3.95709161568882,-4.10485939528028,-3.90953700541914,-4.15241400554996,0.242877000130825
"93",-4.03078827133869,0.0373656783616512,2007.912,1,"WAH3",-3.95605691461539,-4.105519628062,-3.90795684092238,-4.15361970175501,0.245662860832633
"94",-4.03060106064853,0.0378012036217145,2008.248,1,"WAH3",-3.9549986534051,-4.10620346789196,-3.90633793695052,-4.15486418434653,0.248526247396005
"95",-4.03041387211963,0.0382481241278292,2008.584,1,"WAH3",-3.95391762386397,-4.10691012037529,-3.90468159578061,-4.15614614845865,0.251464552678041
"96",-4.03022670460982,0.0387060513297166,2008.92,1,"WAH3",-3.95281460195039,-4.10763880726925,-3.90298909354383,-4.1574643156758,0.254475222131969
"97",-4.03003955701045,0.0391746051442233,2009.256,1,"WAH3",-3.95169034672201,-4.1083887672989,-3.90126167857114,-4.15881743544977,0.257555756878634
"98",-4.02985242848164,0.039653415274335,2009.592,1,"WAH3",-3.95054559793297,-4.10915925903031,-3.89950056729242,-4.16020428967085,0.260703722378429
"99",-4.02966531831741,0.0401421213594648,2009.928,1,"WAH3",-3.94938107559848,-4.10994956103634,-3.89770694360772,-4.16162369302709,0.263916749419375
"100",-4.02947822583899,0.0406403730965473,2010.264,1,"WAH3",-3.94819747964589,-4.11075897203208,-3.89588195838236,-4.16307449329562,0.267192534913267
"101",-4.02929115057048,0.0411478311848697,2010.6,1,"WAH3",-3.94699548820074,-4.11158681294022,-3.89402672651673,-4.16455557462424,0.270528848107513
"102",-4.02910409213062,0.0416641670062602,2010.936,1,"WAH3",-3.9457757581181,-4.11243242614314,-3.89214232788936,-4.16606585637188,0.273923528482521
"103",-4.02891705015271,0.0421890623812392,2011.272,1,"WAH3",-3.94453892539023,-4.11329517491519,-3.89022980807846,-4.16760429222696,0.277374484148497
"104",-4.02873002437076,0.0427222100639122,2011.608,1,"WAH3",-3.94328560424294,-4.11417444449858,-3.88829017682119,-4.16916987192033,0.280879695099147
"105",-4.0285430145627,0.0432633131286599,2011.944,1,"WAH3",-3.94201638830538,-4.11506964082002,-3.88632440997298,-4.17076161915242,0.284437209179439
"106",-4.0283560205043,0.0438120845741429,2012.28,1,"WAH3",-3.94073185135602,-4.11598018965259,-3.88433345076325,-4.17237859024535,0.288045139482103
