"","combi","period_diff","ci_width"
"1","1 - 2",0,0.690275329342807
"2","1 - 3",0.126984126984127,0.696807694181141
"3","1 - 4",0,0.699837715012139
"4","1 - 5",0,0.68859821856105
"5","1 - 6",0,0.684542225438861
"6","1 - 7",0,0.684079769769422
"7","1 - 8",0,0.685651256307945
"8","1 - 9",0,0.804862309420838
"9","1 - 10",0,0.687157457687658
"10","2 - 3",0.388888888888889,0.688147730128676
"11","2 - 4",0,0.690189063114628
"12","2 - 5",0.246031746031746,0.689997518986772
"13","2 - 6",0.246031746031746,0.690356520051323
"14","2 - 7",0,0.685490526058159
"15","2 - 8",0.285714285714286,0.691680997258958
"16","2 - 9",0.30952380952381,0.706423112915233
"17","2 - 10",0.119047619047619,0.690767098392063
"18","3 - 4",0.23015873015873,0.707284041745533
"19","3 - 5",0,0.695022784770096
"20","3 - 6",0.198412698412698,0.685039138394589
"21","3 - 7",0.119047619047619,0.687531671285386
"22","3 - 8",0.317460317460317,0.695169731204386
"23","3 - 9",0.253968253968254,0.768630276800614
"24","3 - 10",0.333333333333333,0.693683142864525
"25","4 - 5",0,0.698812583706487
"26","4 - 6",0.388888888888889,0.689030214729832
"27","4 - 7",0,0.68862479980406
"28","4 - 8",0.468253968253968,0.697137181024768
"29","4 - 9",0.404761904761905,0.740702149233177
"30","4 - 10",0.206349206349206,0.696919146998721
"31","5 - 6",0.158730158730159,0.685524068924948
"32","5 - 7",0,0.68574511581772
"33","5 - 8",0.388888888888889,0.682714371407555
"34","5 - 9",0.261904761904762,0.768553590874013
"35","5 - 10",0.301587301587302,0.684397285904442
"36","6 - 7",0.0873015873015873,0.68311230299382
"37","6 - 8",0,0.710107641605048
"38","6 - 9",0,0.857812898589043
"39","6 - 10",0,0.716295982898019
"40","7 - 8",0.317460317460317,0.684143064904419
"41","7 - 9",0.26984126984127,0.721736008687054
"42","7 - 10",0.134920634920635,0.685060009456747
"43","8 - 9",0,3.29739190229996
"44","8 - 10",0,3.7354499416801
"45","9 - 10",0,3.38999235798563
