"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.23706958974724,0.242119328919166,1977,1,"WAH3","D",-2.7528309319089,-3.72130824758557,-2.80310574266012,-3.67103343683435,0.867927694174238
"2",-3.18390816864673,0.230133666460488,1978,1,"WAH3","D",-2.72364083572575,-3.6441755015677,-2.77142688643237,-3.59638945086108,0.824962564428716
"3",-3.13115852159571,0.221133642745612,1979,1,"WAH3","D",-2.68889123610449,-3.57342580708694,-2.73480847901686,-3.52750856417456,0.792700085157702
"4",-3.07929996336172,0.214978122990721,1980,1,"WAH3","D",-2.64934371738028,-3.50925620934316,-2.69398279884996,-3.46461712787347,0.770634329023503
"5",-3.02874814855774,0.21098865259435,1981,1,"WAH3","D",-2.60677084336904,-3.45072545374644,-2.65058153220246,-3.40691476491302,0.756333232710557
"6",-2.97975891043765,0.208402330637305,1982,1,"WAH3","D",-2.56295424916304,-3.39656357171226,-2.60622790178579,-3.35328991908951,0.747062017303715
"7",-2.93244481267522,0.206720320525963,1983,1,"WAH3","D",-2.51900417162329,-3.34588545372715,-2.56192856365456,-3.30296106169588,0.741032498041325
"8",-2.88688455338349,0.205687040016358,1984,1,"WAH3","D",-2.47551047335077,-3.29825863341621,-2.51822031009517,-3.25554879667182,0.737328486576648
"9",-2.84327556304422,0.205103916208517,1985,1,"WAH3","D",-2.43306773062718,-3.25348339546125,-2.4756564847665,-3.21089464132193,0.735238156555427
"10",-2.80206563208361,0.204766248483298,1986,1,"WAH3","D",-2.39253313511702,-3.21159812905021,-2.43505177432145,-3.16907948984578,0.734027715524326
"11",-2.76400672371456,0.204542950209391,1987,1,"WAH3","D",-2.35492082329578,-3.17309262413334,-2.39739309578297,-3.13062035164614,0.733227255863172
"12",-2.73010147588456,0.20441752210894,1988,1,"WAH3","D",-2.32126643166669,-3.13893652010244,-2.36371265966565,-3.09649029210348,0.732777632437834
"13",-2.70145094328391,0.204404716043503,1989,1,"WAH3","D",-2.29264151119691,-3.11026037537092,-2.33508508008344,-3.06781680648438,0.732731726400942
"14",-2.67904746927949,0.204456952620146,1990,1,"WAH3","D",-2.2701335640392,-3.08796137451978,-2.31258797957733,-3.04550695898165,0.732918979404324
"15",-2.6635766235446,0.20448769581173,1991,1,"WAH3","D",-2.25460123192114,-3.07255201516806,-2.29706203112201,-3.03009121596719,0.73302918484518
"16",-2.6552897198552,0.204468431745282,1992,1,"WAH3","D",-2.24635285636464,-3.06422658334577,-2.28880965548299,-3.02176978422741,0.732960128744425
"17",-2.65398439749617,0.204456202809106,1993,1,"WAH3","D",-2.24507199187795,-3.06289680311438,-2.28752625172175,-3.02044254327059,0.732916291548838
"18",-2.65909370657174,0.204513112550071,1994,1,"WAH3","D",-2.25006748147159,-3.06811993167188,-2.29253355832508,-3.02565385481839,0.733120296493308
"19",-2.66984732680335,0.204629955630411,1995,1,"WAH3","D",-2.26058741554253,-3.07910723806417,-2.30307775424978,-3.03661689935692,0.73353914510714
"20",-2.6854450942556,0.204753217148101,1996,1,"WAH3","D",-2.2759386599594,-3.0949515285518,-2.31845459327532,-3.05243559523588,0.733981001960562
"21",-2.70518119901482,0.204865707772628,1997,1,"WAH3","D",-2.29544978346956,-3.11491261456008,-2.33798907487459,-3.07237332315505,0.73438424828046
"22",-2.7284777469057,0.205001978569178,1998,1,"WAH3","D",-2.31847378976735,-3.13848170404406,-2.36104137708967,-3.09591411672173,0.73487273963206
"23",-2.75482141808819,0.205182414348306,1999,1,"WAH3","D",-2.34445658939157,-3.1651862467848,-2.38706164325855,-3.12258119291782,0.735519549659267
"24",-2.78363405362185,0.205369693268275,2000,1,"WAH3","D",-2.3728946670853,-3.1943734401584,-2.41553860843929,-3.1517294988044,0.736190890365115
"25",-2.81413384914638,0.205515517352285,2001,1,"WAH3","D",-2.4031028144418,-3.22516488385095,-2.44577703540321,-3.18249066288954,0.736713627486331
"26",-2.84524922254071,0.205629289985679,2002,1,"WAH3","D",-2.43399064256935,-3.25650780251207,-2.47668848782229,-3.21380995725913,0.737121469436838
"27",-2.87563047664275,0.20576462591008,2003,1,"WAH3","D",-2.46410122482259,-3.28715972846291,-2.50682717187152,-3.24443378141397,0.737606609542455
