"","V1","V2","V3","V4"
"1","0.364835053642977","0","1","1 & 2"
"2","0.341697737987266","1","1","1 & 2"
"3","0.317837997028629","2","1","1 & 2"
"4","0.293612969271385","3","1","1 & 2"
"5","0.269485088983056","4","1","1 & 2"
"6","0.245966752976436","5","1","1 & 2"
"7","0.223549245306926","6","1","1 & 2"
"8","0.202632753203999","7","1","1 & 2"
"9","0.183474027879021","8","1","1 & 2"
"10","0.166162314608022","9","1","1 & 2"
"11","0.150626115292557","10","1","1 & 2"
"12","0.792052668804192","0","2","1 & 2"
"13","0.793552032887169","1","2","1 & 2"
"14","0.79404109716435","2","2","1 & 2"
"15","0.793898376581555","3","2","1 & 2"
"16","0.793560041281048","4","2","1 & 2"
"17","0.793421450204826","5","2","1 & 2"
"18","0.793732209688153","6","2","1 & 2"
"19","0.794513650317508","7","2","1 & 2"
"20","0.795537728399885","8","2","1 & 2"
"21","0.796392412053726","9","2","1 & 2"
"22","0.796615749864777","10","2","1 & 2"
"23","0.51940843961801","0","3","1 & 2"
"24","0.546517555064149","1","3","1 & 2"
"25","0.573403659620374","2","3","1 & 2"
"26","0.59901551326648","3","3","1 & 2"
"27","0.6222305463189","4","3","1 & 2"
"28","0.642109637138879","5","3","1 & 2"
"29","0.658091282277234","6","3","1 & 2"
"30","0.670040146154053","7","3","1 & 2"
"31","0.678162308005143","8","3","1 & 2"
"32","0.682870724963735","9","3","1 & 2"
"33","0.684674147202827","10","3","1 & 2"
"34","0.472195627329542","0","4","1 & 2"
"35","0.456082638109388","1","4","1 & 2"
"36","0.440380649268723","2","4","1 & 2"
"37","0.424834444338001","3","4","1 & 2"
"38","0.408980481612063","4","4","1 & 2"
"39","0.392196362194351","5","4","1 & 2"
"40","0.373802131996344","6","4","1 & 2"
"41","0.353187802420229","7","4","1 & 2"
"42","0.329929856966546","8","4","1 & 2"
"43","0.303863078300978","9","4","1 & 2"
"44","0.275092480718494","10","4","1 & 2"
"45","0.967192117343373","0","5","1 & 2"
"46","0.964822608098349","1","5","1 & 2"
"47","0.958542775223991","2","5","1 & 2"
"48","0.948751269377153","3","5","1 & 2"
"49","0.936035000088612","4","5","1 & 2"
"50","0.921071557670377","5","5","1 & 2"
"51","0.904536093688374","6","5","1 & 2"
"52","0.887028202655493","7","5","1 & 2"
"53","0.869024710872986","8","5","1 & 2"
"54","0.850859794241378","9","5","1 & 2"
"55","0.832731500715197","10","5","1 & 2"
"56","0.877654968105848","0","6","1 & 2"
"57","0.878767727169793","1","6","1 & 2"
"58","0.879127567862268","2","6","1 & 2"
"59","0.878182971635087","3","6","1 & 2"
"60","0.875471083343926","4","6","1 & 2"
"61","0.870693575531705","5","6","1 & 2"
"62","0.863740750524191","6","6","1 & 2"
"63","0.854661239065006","7","6","1 & 2"
"64","0.843603792505544","8","6","1 & 2"
"65","0.830765478970185","9","6","1 & 2"
"66","0.816363924929291","10","6","1 & 2"
"67","0.812180568746677","0","7","1 & 2"
"68","0.824039405438278","1","7","1 & 2"
"69","0.83440829119864","2","7","1 & 2"
"70","0.842299745040553","3","7","1 & 2"
"71","0.846905005670599","4","7","1 & 2"
"72","0.847726918358216","5","7","1 & 2"
"73","0.844670135954922","6","7","1 & 2"
"74","0.838056148387674","7","7","1 & 2"
"75","0.82854783445726","8","7","1 & 2"
"76","0.816993487557269","9","7","1 & 2"
"77","0.8042233575639","10","7","1 & 2"
"78","0.503518124780766","0","8","1 & 2"
"79","0.496142405200477","1","8","1 & 2"
"80","0.488746505826516","2","8","1 & 2"
"81","0.481182928007526","3","8","1 & 2"
"82","0.473197684203251","4","8","1 & 2"
