"","combi","period_diff","ci_width"
"1","1 - 2",0,1.07745102722277
"2","1 - 3",0,0.688070763384491
"3","1 - 4",0,0.672329257513629
"4","1 - 5",0,0.664320286938357
"5","1 - 6",0.0952380952380952,0.664779968780064
"6","1 - 7",0,0.906046114410675
"7","1 - 8",0.0634920634920635,0.656602750111376
"8","1 - 9",0,0.654491669361755
"9","1 - 10",0.119047619047619,0.661588325654761
"10","2 - 3",0,1.30345153515771
"11","2 - 4",0,0.928231200738466
"12","2 - 5",0,0.914650089129363
"13","2 - 6",0.238095238095238,0.646101915495906
"14","2 - 7",0,3.26164155516514
"15","2 - 8",0.0714285714285714,0.679171352349533
"16","2 - 9",0,0.682524613950029
"17","2 - 10",0.142857142857143,0.693818055232864
"18","3 - 4",0,0.674841320240152
"19","3 - 5",0,0.666536853291698
"20","3 - 6",0.103174603174603,0.672695526719007
"21","3 - 7",0,1.06648848911244
"22","3 - 8",0.0714285714285714,0.66569295907833
"23","3 - 9",0,0.653598108864354
"24","3 - 10",0.119047619047619,0.666696338829353
"25","4 - 5",0,0.660656230324074
"26","4 - 6",0.0873015873015873,0.658340906777172
"27","4 - 7",0,0.804136592933859
"28","4 - 8",0.0952380952380952,0.650110496272323
"29","4 - 9",0,0.654275786503242
"30","4 - 10",0.0793650793650794,0.654675243979321
"31","5 - 6",0.0714285714285714,0.660043428753397
"32","5 - 7",0,0.792251189419722
"33","5 - 8",0.0714285714285714,0.651624150050542
"34","5 - 9",0,0.653306920399954
"35","5 - 10",0.0873015873015873,0.653193209292797
"36","6 - 7",0.198412698412698,0.64459914657937
"37","6 - 8",0,0.698120103254307
"38","6 - 9",0,0.638644104853704
"39","6 - 10",0,0.677400284153039
"40","7 - 8",0.0793650793650794,0.65308531791983
"41","7 - 9",0,0.664661418577134
"42","7 - 10",0.142857142857143,0.666614442957143
"43","8 - 9",0,0.638467272922073
"44","8 - 10",0,0.681486519029704
"45","9 - 10",0.158730158730159,0.642466766586236
