"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.67391182485706,0.108323924784715,1977,1,"WAH3","D",-3.45726397528763,-3.89055967442649,-3.29790485918334,-4.04991879053077,0.75201393134743
"2",-3.64916931890299,0.097726081508552,1978,1,"WAH3","D",-3.45371715588588,-3.84462148192009,-3.30994889785342,-3.98838973995255,0.678440842099136
"3",-3.62444298158316,0.0882609160080772,1979,1,"WAH3","D",-3.44792114956701,-3.80096481359932,-3.31807742769711,-3.93080853546921,0.612731107772094
"4",-3.59974182018846,0.0801165415382698,1980,1,"WAH3","D",-3.43950873711192,-3.759974903265,-3.3216464895037,-3.87783715087323,0.55619066136953
"5",-3.57505818441252,0.0732942121524543,1981,1,"WAH3","D",-3.42846976010761,-3.72164660871743,-3.32064407997842,-3.82947228884662,0.508828208868196
"6",-3.55036728520166,0.0677006879699835,1982,1,"WAH3","D",-3.41496590926169,-3.68576866114162,-3.31536905827987,-3.78536551212344,0.469996453843563
"7",-3.52563802057177,0.063258552917884,1983,1,"WAH3","D",-3.399120914736,-3.65215512640754,-3.30605904406371,-3.74521699707983,0.439157953016118
"8",-3.50085190553401,0.0599012026478896,1984,1,"WAH3","D",-3.38104950023823,-3.62065431082979,-3.29292674502489,-3.70877706604312,0.415850321018231
"9",-3.47602465176893,0.0574970155883211,1985,1,"WAH3","D",-3.36103062059229,-3.59101868294557,-3.27644474908699,-3.67560455445087,0.399159805363874
"10",-3.45122401973727,0.0558410597269264,1986,1,"WAH3","D",-3.33954190028342,-3.56290613919113,-3.25739216338924,-3.64505587608531,0.387663712696071
"11",-3.42657843989247,0.0547376715054043,1987,1,"WAH3","D",-3.31710309688166,-3.53605378290327,-3.23657659300872,-3.61658028677621,0.380003693767488
"12",-3.40227342558892,0.0540606200912498,1988,1,"WAH3","D",-3.29415218540642,-3.51039466577142,-3.2146217155595,-3.58992513561835,0.375303420058844
"13",-3.37853626860841,0.053722355756414,1989,1,"WAH3","D",-3.27109155709558,-3.48598098012124,-3.19205871974782,-3.565013817469,0.372955097721189
"14",-3.35561287022503,0.0536193989595658,1990,1,"WAH3","D",-3.2483740723059,-3.46285166814416,-3.16949269830453,-3.54173304214553,0.372240343841003
"15",-3.33374276459937,0.0536415475327421,1991,1,"WAH3","D",-3.22645966953388,-3.44102585966485,-3.14754571199151,-3.51993981720722,0.372394105215706
"16",-3.31313872434967,0.053726133545855,1992,1,"WAH3","D",-3.20568645725796,-3.42059099144138,-3.12664806227196,-3.49962938642738,0.372981324155423
"17",-3.29397566600303,0.0538724618834027,1993,1,"WAH3","D",-3.18623074223622,-3.40172058976983,-3.10697707851269,-3.48097425349336,0.373997174980672
"18",-3.2763903978295,0.0540931194005144,1994,1,"WAH3","D",-3.16820415902848,-3.38457663663053,-3.08862587831051,-3.4641549173485,0.375529039037983
"19",-3.26049006903331,0.0543684283905764,1995,1,"WAH3","D",-3.15175321225216,-3.36922692581446,-3.0717699148456,-3.44921022322102,0.377440308375419
"20",-3.24636417125648,0.0546613528657234,1996,1,"WAH3","D",-3.13704146552503,-3.35568687698792,-3.05662723667339,-3.43610110583957,0.379473869166177
"21",-3.23409361426448,0.0549617742997672,1997,1,"WAH3","D",-3.12417006566495,-3.34401716286402,-3.04331387632966,-3.4248733521993,0.381559475869639
"22",-3.22375124983469,0.0552909692948885,1998,1,"WAH3","D",-3.11316931124491,-3.33433318842446,-3.03182883163347,-3.41567366803591,0.38384483640244
"23",-3.21539108094194,0.0556597080341213,1999,1,"WAH3","D",-3.1040716648737,-3.32671049701019,-3.02218872080047,-3.40859344108342,0.386404720282955
"24",-3.20902745677529,0.0560421315816535,2000,1,"WAH3","D",-3.09694319361199,-3.3211117199386,-3.01449765287663,-3.40355726067396,0.389059607797335
"25",-3.20460959572969,0.0564036819898356,2001,1,"WAH3","D",-3.09180223175002,-3.31741695970936,-3.0088248015582,-3.40039438990118,0.391569588342977
"26",-3.2019995220366,0.0567415212339287,2002,1,"WAH3","D",-3.08851647956874,-3.31548256450445,-3.00504204224363,-3.39895700182956,0.39391495958593
"27",-3.20096199747409,0.0570776135044723,2003,1,"WAH3","D",-3.08680677046515,-3.31511722448304,-3.00283789604067,-3.39908609890752,0.396248202866852
"28",-3.20117294605031,0.0574140951879954,2004,1,"WAH3","D",-3.08634475567432,-3.3160011364263,-3.0018808712714,-3.40046502082921,0.398584149557811
"29",-3.2022486100976,0.0577172609415276,2005,1,"WAH3","D",-3.08681408821454,-3.31768313198066,-3.00190420606356,-3.40259301413164,0.400688808068078
"30",-3.20379228772742,0.0579570311525183,2006,1,"WAH3","D",-3.08787822542238,-3.31970635003246,-3.00261560892423,-3.40496896653061,0.402353357606377
"31",-3.20545040054938,0.0581480805419485,2007,1,"WAH3","D",-3.08915423946548,-3.32174656163328,-3.00361056352555,-3.40729023757321,0.403679674047666
"32",-3.20696623387075,0.0583346719088959,2008,1,"WAH3","D",-3.09029689005296,-3.32363557768855,-3.00447871302411,-3.4094537547174,0.404975041693295
"33",-3.20821899692501,0.0585433435870214,2009,1,"WAH3","D",-3.09113230975097,-3.32530568409905,-3.00500714851481,-3.41143084533521,0.406423696820404
"34",-3.20923821864361,0.0587804470954778,2010,1,"WAH3","D",-3.09167732445266,-3.32679911283457,-3.00520335194874,-3.41327308533849,0.408069733389749
"35",-3.21018850520175,0.0590926016023637,2011,1,"WAH3","D",-3.09200330199702,-3.32837370840648,-3.00507010807545,-3.41530690232805,0.410236794252597
"36",-3.21132624400267,0.0596135806692926,2012,1,"WAH3","D",-3.09209908266408,-3.33055340534125,-3.00439945820762,-3.41825302979772,0.413853571590102
"37",-3.21293644134701,0.0605304717141841,2013,1,"WAH3","D",-3.09187549791864,-3.33399738477538,-3.00282700296318,-3.42304587973084,0.420218876767665
"38",-3.21526298395875,0.0620169015024863,2014,1,"WAH3","D",-3.09122918095378,-3.33929678696372,-2.9999939471252,-3.4305320207923,0.430538073667099
"39",-3.21844801206379,0.0642399657010485,2015,1,"WAH3","D",-3.0899680806617,-3.34692794346589,-2.99546241930356,-3.44143360482403,0.445971185520469
"40",-3.22249521460226,0.0674354172187492,2016,1,"WAH3","D",-3.08762438016476,-3.35736604903976,-2.98841777826716,-3.45657265093737,0.468154872670211
"41",-3.22726792485444,0.0719022623774353,2017,1,"WAH3","D",-3.08346340009957,-3.37107244960932,-2.97768546599001,-3.47685038371888,0.49916491772886
"42",-3.23252689283581,0.077835140659188,2018,1,"WAH3","D",-3.07685661151744,-3.38819717415419,-2.96235061257074,-3.50270317310089,0.54035256053015
"43",-3.2380061078546,0.0851536956378848,2019,1,"WAH3","D",-3.06769871657883,-3.40831349913037,-2.94242613532002,-3.53358608038918,0.591159945069163
"44",-3.22555159989706,0.124844559049834,1977,2,"WAH3","D",-2.97586248179739,-3.47524071799673,-2.79219928255354,-3.65890391724057,0.86670463468703
"45",-3.22069195269233,0.120119550303753,1978,2,"WAH3","D",-2.98045285208482,-3.46093105329984,-2.80374077853973,-3.63764312684494,0.833902348305211
"46",-3.215832687903,0.115515961122859,1979,2,"WAH3","D",-2.98480076565728,-3.44686461014872,-2.81486119324001,-3.616804182566,0.801942989325987
"47",-3.21097431396255,0.111045133888105,1980,2,"WAH3","D",-2.98888404618634,-3.43306458173876,-2.82552166415246,-3.59642696377265,0.770905299620189
"48",-3.20611741706711,0.106715994371467,1981,2,"WAH3","D",-2.99268542832417,-3.41954940581004,-2.83569179491378,-3.57654303922044,0.740851244306662
"49",-3.20126264553994,0.102537720741951,1982,2,"WAH3","D",-2.99618720405604,-3.40633808702385,-2.84534037518365,-3.55718491589623,0.711844540712582
"50",-3.196410790252,0.0985217851889344,1983,2,"WAH3","D",-2.99936721987413,-3.39345436062987,-2.85442837431506,-3.53839320618895,0.68396483187389
"51",-3.19156293704701,0.0946815194659078,1984,2,"WAH3","D",-3.00219989811519,-3.38092597597882,-2.86291060183568,-3.52021527225833,0.657304670422654
"52",-3.18672064116769,0.0910305562937852,1985,2,"WAH3","D",-3.00465952858012,-3.36878175375526,-2.87074129197366,-3.50269999036171,0.631958698388044
"53",-3.18188606129179,0.0875824200145224,1986,2,"WAH3","D",-3.00672122126275,-3.35705090132084,-2.87787565859017,-3.48589646399341,0.608020805403243
"54",-3.17706199777484,0.0843515291267387,1987,2,"WAH3","D",-3.00835893952136,-3.34576505602831,-2.88426645348564,-3.46985754206404,0.5855910885784
"55",-3.17225180499333,0.0813538887821278,1988,2,"WAH3","D",-3.00954402742907,-3.33495958255758,-2.88986147499449,-3.45464213499216,0.564780659997671
"56",-3.16745918378466,0.0786063392011913,1989,2,"WAH3","D",-3.01024650538227,-3.32467186218704,-2.89460596927549,-3.44031239829382,0.545706429018334
