"","V1","V2","V3","V4"
"1","0.936754592842171","0","1","1 & 2"
"2","0.901374787641573","1","1","1 & 2"
"3","0.84790172467614","2","1","1 & 2"
"4","0.777753584275267","3","1","1 & 2"
"5","0.69457187201811","4","1","1 & 2"
"6","0.604335984283355","5","1","1 & 2"
"7","0.514491641651174","6","1","1 & 2"
"8","0.432171973533067","7","1","1 & 2"
"9","0.362440305671653","8","1","1 & 2"
"10","0.307469883003828","9","1","1 & 2"
"11","0.266778822903888","10","1","1 & 2"
"12","0.684025635118452","0","2","1 & 2"
"13","0.736101765404381","1","2","1 & 2"
"14","0.764148084789798","2","2","1 & 2"
"15","0.763254409790024","3","2","1 & 2"
"16","0.731648617555793","4","2","1 & 2"
"17","0.67155545747464","5","2","1 & 2"
"18","0.589531906205392","6","2","1 & 2"
"19","0.495649528444678","7","2","1 & 2"
"20","0.401443257208513","8","2","1 & 2"
"21","0.317394006222605","9","2","1 & 2"
"22","0.250970657888318","10","2","1 & 2"
"23","0.853884187021458","0","3","1 & 2"
"24","0.839903741433345","1","3","1 & 2"
"25","0.808361741345118","2","3","1 & 2"
"26","0.761053431380805","3","3","1 & 2"
"27","0.700721400172436","4","3","1 & 2"
"28","0.6313675937716","5","3","1 & 2"
"29","0.558633171582807","6","3","1 & 2"
"30","0.489405368436746","7","3","1 & 2"
"31","0.430294760205609","8","3","1 & 2"
"32","0.385749294814428","9","3","1 & 2"
"33","0.356970276505396","10","3","1 & 2"
"34","0.951173386239298","0","4","1 & 2"
"35","0.932738840695573","1","4","1 & 2"
"36","0.897115249090458","2","4","1 & 2"
"37","0.84617046949346","3","4","1 & 2"
"38","0.782439332757981","4","4","1 & 2"
"39","0.709027973555425","5","4","1 & 2"
"40","0.629762757536358","6","4","1 & 2"
"41","0.549239733792142","7","4","1 & 2"
"42","0.472445465638951","8","4","1 & 2"
"43","0.403936519712567","9","4","1 & 2"
"44","0.346922463893754","10","4","1 & 2"
"45","0.934604690833389","0","5","1 & 2"
"46","0.913987328708345","1","5","1 & 2"
"47","0.874938079283528","2","5","1 & 2"
"48","0.820725058184277","3","5","1 & 2"
"49","0.754508864983125","4","5","1 & 2"
"50","0.679426805061464","5","5","1 & 2"
"51","0.599375105136384","6","5","1 & 2"
"52","0.519486838508498","7","5","1 & 2"
"53","0.44547151545712","8","5","1 & 2"
"54","0.382055268810786","9","5","1 & 2"
"55","0.331634349730319","10","5","1 & 2"
"56","0.843522799999966","0","6","1 & 2"
"57","0.892613051937687","1","6","1 & 2"
"58","0.91533296498988","2","6","1 & 2"
"59","0.909764599839592","3","6","1 & 2"
"60","0.875831817567695","4","6","1 & 2"
"61","0.815528085389442","5","6","1 & 2"
"62","0.733885813149826","6","6","1 & 2"
"63","0.639617096209026","7","6","1 & 2"
"64","0.544062732185697","8","6","1 & 2"
"65","0.4583643001925","9","6","1 & 2"
"66","0.39049216670113","10","6","1 & 2"
"67","0.864735025252464","0","7","1 & 2"
"68","0.849503198818352","1","7","1 & 2"
"69","0.816215072390384","2","7","1 & 2"
"70","0.763798729744777","3","7","1 & 2"
"71","0.693267516546426","4","7","1 & 2"
"72","0.608664469695956","5","7","1 & 2"
"73","0.517134001610054","6","7","1 & 2"
"74","0.427514615732721","7","7","1 & 2"
"75","0.347976291730275","8","7","1 & 2"
"76","0.283978317424844","9","7","1 & 2"
"77","0.237372170488195","10","7","1 & 2"
"78","0.854452281280984","0","8","1 & 2"
"79","0.861493773395259","1","8","1 & 2"
"80","0.846525978773261","2","8","1 & 2"
"81","0.809105209231517","3","8","1 & 2"
"82","0.751470918181333","4","8","1 & 2"
"83","0.678640449010326","5","8","1 & 2"
"84","0.597973096999255","6","8","1 & 2"
"85","0.517957740165589","7","8","1 & 2"
"86","0.44636605213912","8","8","1 & 2"
"87","0.388526241023324","9","8","1 & 2"
"88","0.346463459941133","10","8","1 & 2"
