"","combi","period_diff","ci_width"
"1","1 - 2",0.142857142857143,0.719970443160427
"2","1 - 3",0.134920634920635,0.697352426163628
"3","1 - 4",0.0952380952380952,0.693574958022334
"4","1 - 5",0,0.690932715903156
"5","1 - 6",0.253968253968254,0.700979840658682
"6","1 - 7",0.206349206349206,0.677072430384422
"7","1 - 8",0.174603174603175,0.702421203455262
"8","1 - 9",0.23015873015873,0.675910762038137
"9","1 - 10",0.134920634920635,0.679845900882886
"10","2 - 3",0.23015873015873,0.740429124522785
"11","2 - 4",0.206349206349206,0.708222987541152
"12","2 - 5",0.198412698412698,0.702927328728705
"13","2 - 6",0.246031746031746,0.676931367288783
"14","2 - 7",0.206349206349206,0.672008668662056
"15","2 - 8",0.198412698412698,0.727723077914649
"16","2 - 9",0.0873015873015873,0.712747788101507
"17","2 - 10",0,1.05550225451987
"18","3 - 4",0.420634920634921,0.689879654871897
"19","3 - 5",0.246031746031746,0.689893101571761
"20","3 - 6",0,0.70310177805887
"21","3 - 7",0.158730158730159,0.673727612215276
"22","3 - 8",0,0.703351527887442
"23","3 - 9",0,0.6734402563527
"24","3 - 10",0.142857142857143,0.671585892343715
"25","4 - 5",0,0.685290498016768
"26","4 - 6",0.388888888888889,0.696695034292159
"27","4 - 7",0.142857142857143,0.675590402582647
"28","4 - 8",0.579365079365079,0.694439823728108
"29","4 - 9",0.30952380952381,0.675666224343016
"30","4 - 10",0.261904761904762,0.678716083637479
"31","5 - 6",0.341269841269841,0.700351013072804
"32","5 - 7",0.0714285714285714,0.674354476112971
"33","5 - 8",0.380952380952381,0.697830136126437
"34","5 - 9",0.214285714285714,0.671906878603572
"35","5 - 10",0.246031746031746,0.671014000381837
"36","6 - 7",0.261904761904762,0.680305419839923
"37","6 - 8",0,0.718514642815011
"38","6 - 9",0.126984126984127,0.675527902700624
"39","6 - 10",0.174603174603175,0.688460379402297
"40","7 - 8",0.253968253968254,0.676255403819306
"41","7 - 9",0.0634920634920635,0.667699932891165
"42","7 - 10",0.0873015873015873,0.66881080372869
"43","8 - 9",0.198412698412698,0.676169029318117
"44","8 - 10",0.166666666666667,0.679333758469588
"45","9 - 10",0,0.68625676842271
