"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.99480574937227,0.226734738307669,1977,1,"WAH3","D",-3.54133627275693,-4.4482752259876,-3.33712374035931,-4.65248775838522,1.31536401802592
"2",-3.9353400973388,0.17437308104777,1978,1,"WAH3","D",-3.58659393524326,-4.28408625943434,-3.42954182788413,-4.44113836679347,1.01159653890935
"3",-3.86719150527333,0.138123954710248,1979,1,"WAH3","D",-3.59094359585283,-4.14343941469383,-3.46653988609628,-4.26784312445038,0.801303238354092
"4",-3.78058462029844,0.122363510710015,1980,1,"WAH3","D",-3.53585759887841,-4.02531164171847,-3.42564880343019,-4.13552043716669,0.709871633736502
"5",-3.66817461610562,0.119037868943055,1981,1,"WAH3","D",-3.43009887821951,-3.90625035399172,-3.32288537909044,-4.01346385312079,0.690578474030345
"6",-3.52854029780914,0.116895969928737,1982,1,"WAH3","D",-3.29474835795166,-3.76233223766661,-3.18946399692079,-3.86761659869748,0.678152601776683
"7",-3.36790972978697,0.112314234743046,1983,1,"WAH3","D",-3.14328126030088,-3.59253819927307,-3.04212351767895,-3.693695941895,0.651572424216052
"8",-3.19991609825819,0.107580826311201,1984,1,"WAH3","D",-2.98475444563579,-3.41507775088059,-2.88785992853437,-3.51197226798202,0.624112339447648
"9",-3.04344849892455,0.105025954711607,1985,1,"WAH3","D",-2.83339658950134,-3.25350040834777,-2.73880316134287,-3.34809383650623,0.609290675163363
"10",-2.91899925536307,0.104144673550231,1986,1,"WAH3","D",-2.7107099082626,-3.12728860246353,-2.61691022110325,-3.22108828962288,0.604178068519626
"11",-2.84424343635183,0.103556345279961,1987,1,"WAH3","D",-2.63713074579191,-3.05135612691176,-2.54386094658378,-3.14462592611988,0.600764979536099
"12",-2.82982407481205,0.103340324725832,1988,1,"WAH3","D",-2.62314342536039,-3.03650472426371,-2.53006818877084,-3.12957996085326,0.599511772082417
"13",-2.87636718686871,0.104241331719085,1989,1,"WAH3","D",-2.66788452343054,-3.08484985030689,-2.57399777943294,-3.17873659430448,0.60473881487154
"14",-2.97355726836084,0.105760151234319,1990,1,"WAH3","D",-2.7620369658922,-3.18507757082948,-2.66678227103813,-3.28033226568356,0.613549994645431
"15",-3.10167261943526,0.106445871357716,1991,1,"WAH3","D",-2.88878087671982,-3.31456436215069,-2.79290857627094,-3.41043666259957,0.617528086328623
"16",-3.23539201104019,0.105836749061296,1992,1,"WAH3","D",-3.0237185129176,-3.44706550916278,-2.92839482891638,-3.542389193164,0.613994364247616
"17",-3.34908413069141,0.105101267120555,1993,1,"WAH3","D",-3.1388815964503,-3.55928666493251,-3.04422033687849,-3.65394792450432,0.609727587625827
"18",-3.42234897071359,0.105480227071217,1994,1,"WAH3","D",-3.21138851657116,-3.63330942485602,-3.11638594021755,-3.72831200120963,0.61192606099208
"19",-3.4444396672646,0.106639774713368,1995,1,"WAH3","D",-3.23116011783786,-3.65771921669134,-3.1351131750047,-3.7537661595245,0.618652984519796
"20",-3.41642175494729,0.107292694309287,1996,1,"WAH3","D",-3.20183636632872,-3.63100714356586,-3.10520136025862,-3.72764214963596,0.622440789377343
"21",-3.35048542273462,0.107038693706332,1997,1,"WAH3","D",-3.13640803532196,-3.56456281014729,-3.04000179925308,-3.66096904621616,0.620967246963076
"22",-3.26657233875952,0.106758428864798,1998,1,"WAH3","D",-3.05305548102993,-3.48008919648912,-2.9569016702994,-3.57624300721965,0.61934133692025
"23",-3.18720272144777,0.107175253650427,1999,1,"WAH3","D",-2.97285221414691,-3.40155322874862,-2.87632298302128,-3.49808245987426,0.621759476852978
"24",-3.13187713779465,0.107747914259284,2000,1,"WAH3","D",-2.91638130927608,-3.34737296631321,-2.8193363015473,-3.44441797404199,0.625081672494693
"25",-3.11253091276212,0.107571432320495,2001,1,"WAH3","D",-2.89738804812113,-3.32767377740311,-2.80050199187862,-3.42455983364562,0.624057841767001
