"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.64469832307487,0.162163671336672,1977,1,"WAH3","D",-3.32037098040152,-3.96902566574821,-3.08519627201533,-4.2042003741344,1.11900410211907
"2",-3.60647457128415,0.136855980628121,1978,1,"WAH3","D",-3.3327626100279,-3.88018653254039,-3.13428988756281,-4.07865925500548,0.944369367442673
"3",-3.56797110153523,0.116292104627668,1979,1,"WAH3","D",-3.33538689227989,-3.80055531079056,-3.16673653077785,-3.96920567229261,0.802469141514757
"4",-3.52848924878445,0.101483229058215,1980,1,"WAH3","D",-3.32552279066802,-3.73145570690088,-3.17834871275568,-3.87862978481322,0.700281072057543
"5",-3.48674983700622,0.091646517393603,1981,1,"WAH3","D",-3.30345680221902,-3.67004287179343,-3.17054822395981,-3.80295145005263,0.632403226092825
"6",-3.44098782642004,0.0850278307081487,1982,1,"WAH3","D",-3.27093216500374,-3.61104348783633,-3.14762220829966,-3.73435344454041,0.586731236240747
"7",-3.38929823649932,0.0803871786697672,1983,1,"WAH3","D",-3.22852387915979,-3.55007259383886,-3.11194393775971,-3.66665253523894,0.554708597479228
"8",-3.33015941234982,0.0772950203332196,1984,1,"WAH3","D",-3.17556937168338,-3.48474945301626,-3.06347377273243,-3.59684505196721,0.533371279234781
"9",-3.26297158183769,0.0754374606960934,1985,1,"WAH3","D",-3.11209666044551,-3.41384650322988,-3.00269495120715,-3.52324821246823,0.520553261261078
"10",-3.18841680019971,0.0742827278474314,1986,1,"WAH3","D",-3.03985134450485,-3.33698225589457,-2.93212426410728,-3.44470933629214,0.512585072184859
"11",-3.10848935008482,0.0734490939338984,1987,1,"WAH3","D",-2.96159116221703,-3.25538753795262,-2.85507304317868,-3.36190565699096,0.506832613812279
"12",-3.02615180603011,0.0729617771061587,1988,1,"WAH3","D",-2.88022825181779,-3.17207536024243,-2.7744168545249,-3.27788675753532,0.503469903010424
"13",-2.94470365805293,0.0729256066881746,1989,1,"WAH3","D",-2.79885244467658,-3.09055487142928,-2.69309350282844,-3.19631381327743,0.503220310448995
"14",-2.86705713314769,0.0731199639451062,1990,1,"WAH3","D",-2.72081720525748,-3.0132970610379,-2.61477640057997,-3.11933786571541,0.504561465135432
"15",-2.7951562050065,0.0731368823245911,1991,1,"WAH3","D",-2.64888244035732,-2.94142996965569,-2.54281710012923,-3.04749530988378,0.50467820975455
"16",-2.72973094161467,0.0728514657800463,1992,1,"WAH3","D",-2.58402801005458,-2.87543387317476,-2.47837658961554,-2.9810852936138,0.502708703998263
"17",-2.67046314888401,0.0725509631225525,1993,1,"WAH3","D",-2.5253612226389,-2.81556507512911,-2.42014560033062,-2.92078069743739,0.500635097106771
"18",-2.61649136943109,0.0725489422597428,1994,1,"WAH3","D",-2.47139348491161,-2.76158925395058,-2.36618079332029,-2.8668019455419,0.500621152221612
"19",-2.56705766970021,0.0728065870093103,1995,1,"WAH3","D",-2.42144449568159,-2.71267084371883,-2.3158581598064,-2.81825717959402,0.502399019787627
"20",-2.5220427483518,0.0730580728585245,1996,1,"WAH3","D",-2.37592660263475,-2.66815889406884,-2.26997555430106,-2.77410994240253,0.504134388101479
"21",-2.48217272477559,0.073206044832005,1997,1,"WAH3","D",-2.33576063511158,-2.6285848144396,-2.22959499330312,-2.73475045624805,0.505155462944929
"22",-2.44879982988965,0.0734055851555314,1998,1,"WAH3","D",-2.30198865957859,-2.59561100020072,-2.19553363829932,-2.70206602147999,0.506532383180661
"23",-2.42331880930987,0.0737573500223546,1999,1,"WAH3","D",-2.27580410926516,-2.57083350935458,-2.1688389478337,-2.67779867078604,0.508959722952337
"24",-2.40642369240441,0.0741000880896664,2000,1,"WAH3","D",-2.25822351622508,-2.55462386858375,-2.15076130558175,-2.66208607922708,0.511324773645338
"25",-2.3974827788857,0.0742267988266587,2001,1,"WAH3","D",-2.24902918123238,-2.54593637653902,-2.14138321080872,-2.65358234696268,0.512199136153957
"26",-2.39428436212539,0.0742004669435858,2002,1,"WAH3","D",-2.24588342823822,-2.54268529601257,-2.13827564511553,-2.65029307913526,0.512017434019736
"27",-2.39328797922495,0.0742877969610854,2003,1,"WAH3","D",-2.24471238530277,-2.54186357314712,-2.13697795352178,-2.64959800492811,0.512620051406323
"28",-2.3903454171165,0.0745769911045121,2004,1,"WAH3","D",-2.24119143490748,-2.53949939932553,-2.13303760494817,-2.64765322928483,0.514615624336658
"29",-2.38169155464977,0.0748295060471861,2005,1,"WAH3","D",-2.2320325425554,-2.53135056674414,-2.12351250771483,-2.63987060158471,0.516358093869874
"30",-2.36490527018851,0.0748075036014429,2006,1,"WAH3","D",-2.21529026298563,-2.5145202773914,-2.1068021367638,-2.62300840361323,0.51620626684943
"31",-2.33954089436561,0.0746217662883215,2007,1,"WAH3","D",-2.19029736178896,-2.48878442694225,-2.08207859749074,-2.59700319124048,0.514924593749739
"32",-2.30723184804708,0.074596824958787,2008,1,"WAH3","D",-2.15803819812951,-2.45642549796465,-2.04985560450904,-2.56460809158512,0.514752487076084
"33",-2.27123561687271,0.0748206800857771,2009,1,"WAH3","D",-2.12159425670115,-2.42087697704426,-2.01308702153935,-2.52938421220606,0.516297190666706
"34",-2.23556545872603,0.0750318742079371,2010,1,"WAH3","D",-2.08550171031016,-2.38562920714191,-1.97668819498288,-2.49444272246919,0.517754527486306
"35",-2.20397908876368,0.0750351895031646,2011,1,"WAH3","D",-2.05390870975735,-2.35404946777001,-1.94509038648769,-2.46286779103967,0.517777404551982
"36",-2.17912672676979,0.0750269712531166,2012,1,"WAH3","D",-2.02907278426356,-2.32918066927602,-1.92026637935109,-2.43798707418849,0.517720694837407
"37",-2.16209223236531,0.0752939289955573,2013,1,"WAH3","D",-2.0115043743742,-2.31268009035643,-1.90231081919119,-2.42187364553944,0.519562826348252
"38",-2.15241902259827,0.0757056224018771,2014,1,"WAH3","D",-2.00100777779451,-2.30383026740202,-1.89121717226121,-2.41362087293532,0.52240370067411
"39",-2.14854946126641,0.0759631034831402,2015,1,"WAH3","D",-1.99662325430013,-2.30047566823269,-1.88645924183973,-2.41063968069309,0.524180438853361
"40",-2.14848033469621,0.0766869760852818,2016,1,"WAH3","D",-1.99510638252564,-2.30185428686677,-1.88389258791173,-2.41306808148068,0.529175493568953
"41",-2.1503900603879,0.0800561025449776,2017,1,"WAH3","D",-1.99027785529794,-2.31050226547786,-1.87417805060456,-2.42660207017124,0.552424019566681
"42",-2.15303654512887,0.0884949027741272,2018,1,"WAH3","D",-1.97604673958061,-2.33002635067712,-1.84770872908774,-2.45836436117,0.610655632082265
"43",-2.1558341963527,0.102366455186386,2019,1,"WAH3","D",-1.95110128597992,-2.36056710672547,-1.80264632656423,-2.50902206614117,0.706375739576941
"44",-3.23201718616548,0.27060083787637,1977,2,"WAH3","D",-2.69081551041274,-3.77321886191822,-2.29838191161667,-4.16565246071429,1.86727054909762
