"","V1","V2","V3","V4"
"1","0.379286474162956","0","1","1 & 2"
"2","0.371644655533162","1","1","1 & 2"
"3","0.367594406632424","2","1","1 & 2"
"4","0.365697320507654","3","1","1 & 2"
"5","0.364031338772984","4","1","1 & 2"
"6","0.360671898195593","5","1","1 & 2"
"7","0.35412916564366","6","1","1 & 2"
"8","0.343650184759574","7","1","1 & 2"
"9","0.329346582292825","8","1","1 & 2"
"10","0.312143487363564","9","1","1 & 2"
"11","0.293560940279137","10","1","1 & 2"
"12","0.607905821095632","0","2","1 & 2"
"13","0.605179242500819","1","2","1 & 2"
"14","0.588570424315699","2","2","1 & 2"
"15","0.561876218014508","3","2","1 & 2"
"16","0.528857938881085","4","2","1 & 2"
"17","0.492747691697754","5","2","1 & 2"
"18","0.456500492890748","6","2","1 & 2"
"19","0.422966312662612","7","2","1 & 2"
"20","0.394564112995599","8","2","1 & 2"
"21","0.372731788415856","9","2","1 & 2"
"22","0.357644463812877","10","2","1 & 2"
"23","0.662376047763048","0","3","1 & 2"
"24","0.625734181223025","1","3","1 & 2"
"25","0.580055926892615","2","3","1 & 2"
"26","0.528324643456378","3","3","1 & 2"
"27","0.473749747270955","4","3","1 & 2"
"28","0.419524200948649","5","3","1 & 2"
"29","0.368574312727445","6","3","1 & 2"
"30","0.323344109215801","7","3","1 & 2"
"31","0.285647434375829","8","3","1 & 2"
"32","0.256585218178307","9","3","1 & 2"
"33","0.236510392467493","10","3","1 & 2"
"34","0.770501519625844","0","4","1 & 2"
"35","0.730044988922939","1","4","1 & 2"
"36","0.677840554880093","2","4","1 & 2"
"37","0.618967328887169","3","4","1 & 2"
"38","0.558587584519559","4","4","1 & 2"
"39","0.501282368806249","5","4","1 & 2"
"40","0.450582780046884","6","4","1 & 2"
"41","0.408673772019728","7","4","1 & 2"
"42","0.376306144939559","8","4","1 & 2"
"43","0.352953622137324","9","4","1 & 2"
"44","0.3371770679008","10","4","1 & 2"
"45","0.611095334353809","0","5","1 & 2"
"46","0.619128727304343","1","5","1 & 2"
"47","0.618849623917178","2","5","1 & 2"
"48","0.611208919484389","3","5","1 & 2"
"49","0.597160353820188","4","5","1 & 2"
"50","0.577624122092596","5","5","1 & 2"
"51","0.553732914198379","6","5","1 & 2"
"52","0.526964098432142","7","5","1 & 2"
"53","0.498956964528087","8","5","1 & 2"
"54","0.471186127719491","9","5","1 & 2"
"55","0.44478499488115","10","5","1 & 2"
"56","0.552599435614922","0","6","1 & 2"
"57","0.567064470224904","1","6","1 & 2"
"58","0.574129941989441","2","6","1 & 2"
"59","0.573567583406014","3","6","1 & 2"
"60","0.566105046548694","4","6","1 & 2"
"61","0.553385885356355","5","6","1 & 2"
"62","0.53762220848431","6","6","1 & 2"
"63","0.521039411346541","7","6","1 & 2"
"64","0.505330931370037","8","6","1 & 2"
"65","0.491323261868867","9","6","1 & 2"
"66","0.478928225609087","10","6","1 & 2"
"67","0.684886204945477","0","7","1 & 2"
"68","0.677352440712703","1","7","1 & 2"
"69","0.649866075402112","2","7","1 & 2"
"70","0.606225780154937","3","7","1 & 2"
"71","0.552147925360434","4","7","1 & 2"
"72","0.494157552417212","5","7","1 & 2"
"73","0.438474302098876","6","7","1 & 2"
"74","0.390169014016947","7","7","1 & 2"
"75","0.352652166914533","8","7","1 & 2"
"76","0.327452271937911","9","7","1 & 2"
"77","0.314252539955244","10","7","1 & 2"
"78","0.691691498467674","0","8","1 & 2"
"79","0.677439256613397","1","8","1 & 2"
"80","0.658882334861671","2","8","1 & 2"
"81","0.637289803122349","3","8","1 & 2"
"82","0.613784772848657","4","8","1 & 2"
"83","0.589290854404358","5","8","1 & 2"
"84","0.564542359388083","6","8","1 & 2"
"85","0.540163760561536","7","8","1 & 2"
"86","0.5167754283046","8","8","1 & 2"
"87","0.495041634665067","9","8","1 & 2"
"88","0.475598724632415","10","8","1 & 2"
"89","0.698290838709737","0","9","1 & 2"
"90","0.706817606667772","1","9","1 & 2"
"91","0.698573113423448","2","9","1 & 2"
"92","0.676381082896113","3","9","1 & 2"
"93","0.644145389692043","4","9","1 & 2"
"94","0.605972755205246","5","9","1 & 2"
"95","0.56557667783352","6","9","1 & 2"
"96","0.52596702752278","7","9","1 & 2"
"97","0.489327000047776","8","9","1 & 2"
"98","0.457014706600244","9","9","1 & 2"
"99","0.429660551629679","10","9","1 & 2"
"100","0.658820404317546","0","10","1 & 2"
"101","0.631888783517137","1","10","1 & 2"
"102","0.595053328030538","2","10","1 & 2"
"103","0.552848470640449","3","10","1 & 2"
"104","0.510127282364642","4","10","1 & 2"
"105","0.471284536283362","5","10","1 & 2"
"106","0.439654032851371","6","10","1 & 2"
"107","0.417113620448358","7","10","1 & 2"
"108","0.403929453329227","8","10","1 & 2"
"109","0.398876090848853","9","10","1 & 2"
"110","0.399631147725015","10","10","1 & 2"
"111","0.624665574349564","0","11","1 & 2"
"112","0.604262766377641","1","11","1 & 2"
"113","0.574900057146274","2","11","1 & 2"
"114","0.540010616871787","3","11","1 & 2"
"115","0.503008659637493","4","11","1 & 2"
"116","0.466752499116543","5","11","1 & 2"
"117","0.433272818545271","6","11","1 & 2"
"118","0.403750359216606","7","11","1 & 2"
"119","0.37865894761808","8","11","1 & 2"
"120","0.357984224294061","9","11","1 & 2"
"121","0.341445649041525","10","11","1 & 2"
"122","0.775510651014234","0","12","1 & 2"
"123","0.797498964464807","1","12","1 & 2"
"124","0.808514679561265","2","12","1 & 2"
"125","0.807416699321533","3","12","1 & 2"
"126","0.794434601641662","4","12","1 & 2"
"127","0.77128287361208","5","12","1 & 2"
"128","0.741017334361672","6","12","1 & 2"
"129","0.707526911576249","7","12","1 & 2"
"130","0.674734405626157","8","12","1 & 2"
"131","0.645779621260691","9","12","1 & 2"
"132","0.622470948714091","10","12","1 & 2"
"133","0.613213754059437","0","13","1 & 2"
"134","0.59448655611486","1","13","1 & 2"
"135","0.555716135009861","2","13","1 & 2"
"136","0.501645405490614","3","13","1 & 2"
"137","0.438729324664739","4","13","1 & 2"
"138","0.374258043838907","5","13","1 & 2"
"139","0.315390280300038","6","13","1 & 2"
"140","0.26817162471007","7","13","1 & 2"
"141","0.236708326762062","8","13","1 & 2"
"142","0.222682574216103","9","13","1 & 2"
"143","0.225290439340375","10","13","1 & 2"
"144","0.617919247493803","0","14","1 & 2"
"145","0.63143875147676","1","14","1 & 2"
"146","0.628567345043729","2","14","1 & 2"
"147","0.610813165641029","3","14","1 & 2"
"148","0.581240237425218","4","14","1 & 2"
"149","0.543955270516173","5","14","1 & 2"
"150","0.503385430225996","6","14","1 & 2"
"151","0.463595106359736","7","14","1 & 2"
"152","0.427827520055892","8","14","1 & 2"
"153","0.398307474059472","9","14","1 & 2"
"154","0.376234372882462","10","14","1 & 2"
"155","0.771538126630197","0","15","1 & 2"
"156","0.762060153554219","1","15","1 & 2"
"157","0.727895687927998","2","15","1 & 2"
"158","0.675272764199124","3","15","1 & 2"
"159","0.611852266705674","4","15","1 & 2"
"160","0.545117680573785","5","15","1 & 2"
"161","0.481557490094161","6","15","1 & 2"
"162","0.426236501257711","7","15","1 & 2"
"163","0.382472542165077","8","15","1 & 2"
"164","0.351683669723808","9","15","1 & 2"
"165","0.333527209515545","10","15","1 & 2"
"166","0.5417881964074","0","16","1 & 2"
"167","0.56977062243116","1","16","1 & 2"
"168","0.583398305059909","2","16","1 & 2"
"169","0.582167553557618","3","16","1 & 2"
"170","0.567410779862507","4","16","1 & 2"
"171","0.542361496665887","5","16","1 & 2"
"172","0.511710182546964","6","16","1 & 2"
"173","0.480580648968151","7","16","1 & 2"
"174","0.453289250417133","8","16","1 & 2"
"175","0.432429376139629","9","16","1 & 2"
"176","0.418582741651231","10","16","1 & 2"
"177","0.611857319793517","0","17","1 & 2"
"178","0.623286010099107","1","17","1 & 2"
"179","0.624727092447632","2","17","1 & 2"
"180","0.616659167391136","3","17","1 & 2"
"181","0.600173009827736","4","17","1 & 2"
"182","0.576671858811803","5","17","1 & 2"
"183","0.547886867551634","6","17","1 & 2"
"184","0.515933343138512","7","17","1 & 2"
"185","0.483170175663836","8","17","1 & 2"
"186","0.451900650262002","9","17","1 & 2"
"187","0.424103909481515","10","17","1 & 2"
"188","0.423474868599512","0","18","1 & 2"
"189","0.433355325600045","1","18","1 & 2"
"190","0.439497420413511","2","18","1 & 2"
"191","0.441581194831896","3","18","1 & 2"
"192","0.439735270058345","4","18","1 & 2"
"193","0.434588464395391","5","18","1 & 2"
"194","0.427182100400776","6","18","1 & 2"
"195","0.418742248635578","7","18","1 & 2"
"196","0.410379736392007","8","18","1 & 2"
"197","0.402831389253697","9","18","1 & 2"
"198","0.396341095433705","10","18","1 & 2"
"199","0.647364537213966","0","19","1 & 2"
"200","0.626283589467391","1","19","1 & 2"
"201","0.595646860461495","2","19","1 & 2"
"202","0.558110184012989","3","19","1 & 2"
"203","0.516722282737477","4","19","1 & 2"
"204","0.474574683774355","5","19","1 & 2"
"205","0.434485372604864","6","19","1 & 2"
"206","0.398728162697679","7","19","1 & 2"
"207","0.368850266449961","8","19","1 & 2"
"208","0.345620840095093","9","19","1 & 2"
"209","0.329109376922903","10","19","1 & 2"
"210","0.578486014099597","0","20","1 & 2"
"211","0.547209297152818","1","20","1 & 2"
"212","0.500399664478944","2","20","1 & 2"
"213","0.445088922654777","3","20","1 & 2"
"214","0.388318154080319","4","20","1 & 2"
"215","0.33630520696898","5","20","1 & 2"
"216","0.293973810746289","6","20","1 & 2"
"217","0.264496460360576","7","20","1 & 2"
"218","0.248975995737485","8","20","1 & 2"
"219","0.246494637899538","9","20","1 & 2"
"220","0.254526632932124","10","20","1 & 2"
"221","0.822662037503551","0","21","1 & 2"
"222","0.829301019743638","1","21","1 & 2"
"223","0.812616642562516","2","21","1 & 2"
"224","0.775597547598278","3","21","1 & 2"
"225","0.723298554907749","4","21","1 & 2"
"226","0.661560898660587","5","21","1 & 2"
"227","0.596324798277007","6","21","1 & 2"
"228","0.533131559496914","7","21","1 & 2"
"229","0.476524565510933","8","21","1 & 2"
"230","0.429501271983187","9","21","1 & 2"
"231","0.393288598713999","10","21","1 & 2"
"232","0.751333271565376","0","22","1 & 2"
"233","0.753389390067715","1","22","1 & 2"
"234","0.746553146608868","2","22","1 & 2"
"235","0.733411552160704","3","22","1 & 2"
"236","0.716469338265766","4","22","1 & 2"
"237","0.697799247037741","5","22","1 & 2"
"238","0.678970099703588","6","22","1 & 2"
"239","0.660963081866021","7","22","1 & 2"
"240","0.644054464094759","8","22","1 & 2"
"241","0.627890927756438","9","22","1 & 2"
"242","0.611898111384556","10","22","1 & 2"
"243","0.700962835692318","0","23","1 & 2"
"244","0.663607904811183","1","23","1 & 2"
"245","0.617311532336731","2","23","1 & 2"
"246","0.567444966552499","3","23","1 & 2"
"247","0.51911957540856","4","23","1 & 2"
"248","0.476379605595014","5","23","1 & 2"
"249","0.441789291376349","6","23","1 & 2"
"250","0.416302545856775","7","23","1 & 2"
"251","0.399331393034366","8","23","1 & 2"
"252","0.389006531571033","9","23","1 & 2"
"253","0.382631432692287","10","23","1 & 2"
"254","0.833721158937665","0","24","1 & 2"
"255","0.836558241088651","1","24","1 & 2"
"256","0.832095249369761","2","24","1 & 2"
"257","0.821107828256891","3","24","1 & 2"
"258","0.804546763463226","4","24","1 & 2"
"259","0.783408949519248","5","24","1 & 2"
"260","0.758679891304128","6","24","1 & 2"
"261","0.731296315125502","7","24","1 & 2"
"262","0.70209995497326","8","24","1 & 2"
"263","0.671811421505685","9","24","1 & 2"
"264","0.641059590505526","10","24","1 & 2"
"265","0.494163523526798","0","25","1 & 2"
"266","0.484246030806207","1","25","1 & 2"
"267","0.46212307180452","2","25","1 & 2"
"268","0.42931220899722","3","25","1 & 2"
"269","0.388770740969628","4","25","1 & 2"
"270","0.34455642223501","5","25","1 & 2"
"271","0.301213499451576","6","25","1 & 2"
"272","0.263022696715385","7","25","1 & 2"
"273","0.233312980236865","8","25","1 & 2"
"274","0.213998691515225","9","25","1 & 2"
"275","0.205414418854331","10","25","1 & 2"
"276","0.570732882244465","0","26","1 & 2"
"277","0.56053258243754","1","26","1 & 2"
"278","0.542158115072402","2","26","1 & 2"
"279","0.518244995848115","3","26","1 & 2"
"280","0.491750576365436","4","26","1 & 2"
"281","0.465391374089907","5","26","1 & 2"
"282","0.441346247030272","6","26","1 & 2"
"283","0.421136527793061","7","26","1 & 2"
"284","0.405598930401069","8","26","1 & 2"
"285","0.394940363626957","9","26","1 & 2"
"286","0.388877639271657","10","26","1 & 2"
"287","0.581784883071877","0","27","1 & 2"
"288","0.615665993593137","1","27","1 & 2"
"289","0.645177193487059","2","27","1 & 2"
"290","0.66783157090643","3","27","1 & 2"
"291","0.681659562199059","4","27","1 & 2"
"292","0.685432573010764","5","27","1 & 2"
"293","0.678867173353838","6","27","1 & 2"
"294","0.662775191572825","7","27","1 & 2"
"295","0.639050919284204","8","27","1 & 2"
"296","0.610408366176092","9","27","1 & 2"
"297","0.579895032548159","10","27","1 & 2"
"298","0.63985441544422","0","28","1 & 2"
"299","0.691400806748965","1","28","1 & 2"
"300","0.72574169939492","2","28","1 & 2"
"301","0.741277542428677","3","28","1 & 2"
"302","0.738714147281591","4","28","1 & 2"
"303","0.720821544427038","5","28","1 & 2"
"304","0.691791740041975","6","28","1 & 2"
"305","0.656446042958814","7","28","1 & 2"
"306","0.619503766254605","8","28","1 & 2"
"307","0.585008277136587","9","28","1 & 2"
"308","0.555923238543404","10","28","1 & 2"
"309","0.614151598254694","0","29","1 & 2"
"310","0.636432096776098","1","29","1 & 2"
"311","0.643585419270422","2","29","1 & 2"
"312","0.636446543904474","3","29","1 & 2"
"313","0.617331002101684","4","29","1 & 2"
"314","0.589697045114905","5","29","1 & 2"
"315","0.557640472055898","6","29","1 & 2"
"316","0.525161705279405","7","29","1 & 2"
"317","0.495409789910138","8","29","1 & 2"
"318","0.470227963128027","9","29","1 & 2"
"319","0.450161751835899","10","29","1 & 2"
"320","0.29008876686903","0","30","1 & 2"
"321","0.306384325261232","1","30","1 & 2"
"322","0.324623493703625","2","30","1 & 2"
"323","0.343198986472567","3","30","1 & 2"
"324","0.360531066194508","4","30","1 & 2"
"325","0.375234847715261","5","30","1 & 2"
"326","0.386208201260923","6","30","1 & 2"
"327","0.392666749468554","7","30","1 & 2"
