"","combi","period_diff","ci_width"
"1","1 - 2",0.420634920634921,0.754077449983635
"2","1 - 3",0,0.772520982275291
"3","1 - 4",0,0.787816506057007
"4","1 - 5",0.182539682539683,0.774231998670555
"5","1 - 6",0,0.794891827154658
"6","1 - 7",0.158730158730159,0.833352557783288
"7","1 - 8",0.174603174603175,0.769328586846178
"8","1 - 9",0.0714285714285714,0.906137912204669
"9","1 - 10",0.261904761904762,0.784203940414505
"10","2 - 3",0.492063492063492,0.752504554338354
"11","2 - 4",0.428571428571429,0.755913651828859
"12","2 - 5",0.484126984126984,0.754754916473224
"13","2 - 6",0.476190476190476,0.755163583759607
"14","2 - 7",0.428571428571429,0.758182908865472
"15","2 - 8",0.357142857142857,0.753133521926318
"16","2 - 9",0.428571428571429,0.768764829033097
"17","2 - 10",0.365079365079365,0.754588655932337
"18","3 - 4",0,0.777413158722612
"19","3 - 5",0.0873015873015873,0.768028043633285
"20","3 - 6",0,0.782329073940063
"21","3 - 7",0.103174603174603,0.818291215450991
"22","3 - 8",0.238095238095238,0.767873876070232
"23","3 - 9",0.0793650793650794,0.889928788502133
"24","3 - 10",0.23015873015873,0.778141148180671
"25","4 - 5",0,0.784642645025984
"26","4 - 6",0,0.812307490955018
"27","4 - 7",0,0.860009851461475
"28","4 - 8",0,0.77386233502944
"29","4 - 9",0,0.934759265548788
"30","4 - 10",0.111111111111111,0.79079462846197
"31","5 - 6",0.174603174603175,0.792981519078648
"32","5 - 7",0,0.829460322860005
"33","5 - 8",0.0634920634920635,0.773170052035512
"34","5 - 9",0,0.900007911866514
"35","5 - 10",0.126984126984127,0.781114740851315
"36","6 - 7",0,1.02724751052309
"37","6 - 8",0.0873015873015873,0.780975204187748
"38","6 - 9",0,1.16039625950127
"39","6 - 10",0.142857142857143,0.796557097965948
"40","7 - 8",0,0.807967055708339
"41","7 - 9",0,6.41149768319533
"42","7 - 10",0,0.81982734967471
"43","8 - 9",0,0.874423090034473
"44","8 - 10",0,0.773897961179152
"45","9 - 10",0,0.875915677940779
