"","V1","V2","V3","V4"
"1","0.998933742399972","0","1","1 & 2"
"2","0.999005806444178","1","1","1 & 2"
"3","0.999059394344706","2","1","1 & 2"
"4","0.99909258363318","3","1","1 & 2"
"5","0.999107414527315","4","1","1 & 2"
"6","0.999109454486062","5","1","1 & 2"
"7","0.999106012511425","6","1","1 & 2"
"8","0.999103625077088","7","1","1 & 2"
"9","0.999106108541104","8","1","1 & 2"
"10","0.999114071113927","9","1","1 & 2"
"11","0.999125838044334","10","1","1 & 2"
"12","0.969774683926462","0","2","1 & 2"
"13","0.970858099905799","1","2","1 & 2"
"14","0.971991424465445","2","2","1 & 2"
"15","0.973106653887087","3","2","1 & 2"
"16","0.974118874816857","4","2","1 & 2"
"17","0.974947849542432","5","2","1 & 2"
"18","0.975540624966813","6","2","1 & 2"
"19","0.97588463483104","7","2","1 & 2"
"20","0.976005321625941","8","2","1 & 2"
"21","0.975950599317169","9","2","1 & 2"
"22","0.975771623727015","10","2","1 & 2"
"23","-0.988024151756726","0","3","1 & 2"
"24","-0.988105502613607","1","3","1 & 2"
"25","-0.988280459565786","2","3","1 & 2"
"26","-0.988530504297063","3","3","1 & 2"
"27","-0.988832128423521","4","3","1 & 2"
"28","-0.989159185149283","5","3","1 & 2"
"29","-0.989482213651662","6","3","1 & 2"
"30","-0.989768322360536","7","3","1 & 2"
"31","-0.989986225112559","8","3","1 & 2"
"32","-0.990116233150757","9","3","1 & 2"
"33","-0.990158704972069","10","3","1 & 2"
"34","-0.998825194632496","0","4","1 & 2"
"35","-0.998829841601846","1","4","1 & 2"
"36","-0.998822664858375","2","4","1 & 2"
"37","-0.998807404250476","3","4","1 & 2"
"38","-0.998787029691669","4","4","1 & 2"
"39","-0.998762930854175","5","4","1 & 2"
"40","-0.998734600448569","6","4","1 & 2"
"41","-0.998699938636597","7","4","1 & 2"
"42","-0.998656092067687","8","4","1 & 2"
"43","-0.998600366336139","9","4","1 & 2"
"44","-0.99853072557579","10","4","1 & 2"
"45","0.794443432548669","0","5","1 & 2"
"46","0.792329322753756","1","5","1 & 2"
"47","0.79010612914879","2","5","1 & 2"
"48","0.787787768026432","3","5","1 & 2"
"49","0.785419435529262","4","5","1 & 2"
"50","0.783076619296772","5","5","1 & 2"
"51","0.780859443989953","6","5","1 & 2"
"52","0.778881520620416","7","5","1 & 2"
"53","0.777254283867189","8","5","1 & 2"
"54","0.776071827527934","9","5","1 & 2"
"55","0.775400728559048","10","5","1 & 2"
"56","-0.995899313462494","0","6","1 & 2"
"57","-0.995842538436847","1","6","1 & 2"
"58","-0.995771816014089","2","6","1 & 2"
"59","-0.995690918013485","3","6","1 & 2"
"60","-0.995606644652173","4","6","1 & 2"
"61","-0.995528240418901","5","6","1 & 2"
"62","-0.995465966077698","6","6","1 & 2"
"63","-0.995428943019162","7","6","1 & 2"
"64","-0.995422858538831","8","6","1 & 2"
"65","-0.995448292522854","9","6","1 & 2"
"66","-0.99550039072976","10","6","1 & 2"
"67","-0.979405355073084","0","7","1 & 2"
"68","-0.979343967946339","1","7","1 & 2"
"69","-0.979311130993071","2","7","1 & 2"
"70","-0.979298607729082","3","7","1 & 2"
"71","-0.979295329492327","4","7","1 & 2"
"72","-0.979289523157158","5","7","1 & 2"
"73","-0.979270338315144","6","7","1 & 2"
"74","-0.979228838653398","7","7","1 & 2"
"75","-0.979159607736131","8","7","1 & 2"
"76","-0.979063529909622","9","7","1 & 2"
"77","-0.978949840577363","10","7","1 & 2"
"78","-0.977116723446436","0","8","1 & 2"
"79","-0.977045768283362","1","8","1 & 2"
"80","-0.976996026356214","2","8","1 & 2"
"81","-0.976965957178124","3","8","1 & 2"
"82","-0.976951374583992","4","8","1 & 2"
"83","-0.976946280177659","5","8","1 & 2"
"84","-0.976943348664762","6","8","1 & 2"
"85","-0.976934221961611","7","8","1 & 2"
"86","-0.976910263618631","8","8","1 & 2"
"87","-0.976864161641142","9","8","1 & 2"
"88","-0.976792163253939","10","8","1 & 2"
"89","0.970093498754634","0","9","1 & 2"
"90","0.969154898209213","1","9","1 & 2"
"91","0.968505701141432","2","9","1 & 2"
"92","0.968209352833112","3","9","1 & 2"
"93","0.968250614300724","4","9","1 & 2"
"94","0.968547161224849","5","9","1 & 2"
"95","0.968991647284284","6","9","1 & 2"
"96","0.969495951891809","7","9","1 & 2"
"97","0.97001104814081","8","9","1 & 2"
"98","0.970518018381108","9","9","1 & 2"
"99","0.971007034511391","10","9","1 & 2"
"100","0.951712917992608","0","10","1 & 2"
"101","0.952049025707884","1","10","1 & 2"
"102","0.952480227184474","2","10","1 & 2"
"103","0.95298795687348","3","10","1 & 2"
"104","0.953544583003264","4","10","1 & 2"
"105","0.954118599180358","5","10","1 & 2"
"106","0.954680476262741","6","10","1 & 2"
"107","0.955207173910012","7","10","1 & 2"
"108","0.955684247419588","8","10","1 & 2"
"109","0.956105495966762","9","10","1 & 2"
"110","0.956471147711183","10","10","1 & 2"
"111","0.999152170082265","0","11","1 & 2"
"112","0.999127707552921","1","11","1 & 2"
"113","0.99909273076911","2","11","1 & 2"
"114","0.999056990192574","3","11","1 & 2"
"115","0.999027413732002","4","11","1 & 2"
"116","0.999006257168383","5","11","1 & 2"
"117","0.998992697543381","6","11","1 & 2"
"118","0.998985528151372","7","11","1 & 2"
"119","0.998984344479652","8","11","1 & 2"
"120","0.998988708815464","9","11","1 & 2"
"121","0.998996952439057","10","11","1 & 2"
"122","-0.99546238404767","0","12","1 & 2"
"123","-0.995409530033447","1","12","1 & 2"
"124","-0.995331898525702","2","12","1 & 2"
"125","-0.995229979789952","3","12","1 & 2"
"126","-0.995106482124268","4","12","1 & 2"
"127","-0.994965731063465","5","12","1 & 2"
"128","-0.994812829801929","6","12","1 & 2"
"129","-0.994652823965252","7","12","1 & 2"
"130","-0.994490148242209","8","12","1 & 2"
"131","-0.994328372990289","9","12","1 & 2"
"132","-0.994170187303901","10","12","1 & 2"
"133","0.956358431942426","0","13","1 & 2"
"134","0.961626146578983","1","13","1 & 2"
"135","0.966224108845666","2","13","1 & 2"
"136","0.970030377402387","3","13","1 & 2"
"137","0.972988898174379","4","13","1 & 2"
"138","0.975107292354058","5","13","1 & 2"
"139","0.976444332418855","6","13","1 & 2"
"140","0.977089881366054","7","13","1 & 2"
"141","0.977144219089496","8","13","1 & 2"
"142","0.97670546583431","9","13","1 & 2"
"143","0.975866485471668","10","13","1 & 2"
"144","0.99627358928488","0","14","1 & 2"
"145","0.99628170777572","1","14","1 & 2"
"146","0.996217306927001","2","14","1 & 2"
"147","0.99608996942308","3","14","1 & 2"
"148","0.995909657413386","4","14","1 & 2"
"149","0.995684911759495","5","14","1 & 2"
"150","0.99542153682698","6","14","1 & 2"
"151","0.995122208867507","7","14","1 & 2"
"152","0.994787707364244","8","14","1 & 2"
"153","0.994419886899725","9","14","1 & 2"
"154","0.994024887493289","10","14","1 & 2"
"155","-0.959283665342673","0","15","1 & 2"
"156","-0.958523362531318","1","15","1 & 2"
"157","-0.957502077111206","2","15","1 & 2"
"158","-0.956250791148202","3","15","1 & 2"
"159","-0.954821421671827","4","15","1 & 2"
"160","-0.953284008998455","5","15","1 & 2"
"161","-0.951731040339285","6","15","1 & 2"
"162","-0.950273206524411","7","15","1 & 2"
"163","-0.949017880136482","8","15","1 & 2"
"164","-0.948038423251286","9","15","1 & 2"
"165","-0.947353092710217","10","15","1 & 2"
"166","0.867999914146566","0","16","1 & 2"
"167","0.872057790250676","1","16","1 & 2"
"168","0.876308146347467","2","16","1 & 2"
"169","0.880536962882021","3","16","1 & 2"
"170","0.884505837280718","4","16","1 & 2"
"171","0.888022799375997","5","16","1 & 2"
"172","0.890988094255978","6","16","1 & 2"
"173","0.89339482612154","7","16","1 & 2"
"174","0.895299677158975","8","16","1 & 2"
"175","0.896798400596944","9","16","1 & 2"
"176","0.898026941298704","10","16","1 & 2"
"177","-0.946659932031763","0","17","1 & 2"
"178","-0.946241136394686","1","17","1 & 2"
"179","-0.945854461828998","2","17","1 & 2"
"180","-0.945529511640634","3","17","1 & 2"
"181","-0.945304782549916","4","17","1 & 2"
"182","-0.945223002573827","5","17","1 & 2"
"183","-0.945324234524587","6","17","1 & 2"
"184","-0.945638056860176","7","17","1 & 2"
"185","-0.946176189907795","8","17","1 & 2"
"186","-0.946927193954505","9","17","1 & 2"
"187","-0.947855225132549","10","17","1 & 2"
"188","0.999027047653524","0","18","1 & 2"
"189","0.999099212522759","1","18","1 & 2"
"190","0.999170006066966","2","18","1 & 2"
"191","0.999238595515808","3","18","1 & 2"
"192","0.999303979576691","4","18","1 & 2"
"193","0.999365109197284","5","18","1 & 2"
"194","0.999421005271707","6","18","1 & 2"
"195","0.999470796752612","7","18","1 & 2"
"196","0.999513672840581","8","18","1 & 2"
"197","0.999548819776004","9","18","1 & 2"
"198","0.999575421511417","10","18","1 & 2"
"199","-0.941583018040724","0","19","1 & 2"
"200","-0.941957592814734","1","19","1 & 2"
"201","-0.942099432108387","2","19","1 & 2"
"202","-0.941943059331965","3","19","1 & 2"
"203","-0.941452256495268","4","19","1 & 2"
"204","-0.940622401936353","5","19","1 & 2"
"205","-0.93947948005369","6","19","1 & 2"
"206","-0.938076189484901","7","19","1 & 2"
"207","-0.936484737756685","8","19","1 & 2"
"208","-0.93478644937292","9","19","1 & 2"
"209","-0.933058861649516","10","19","1 & 2"
"210","-0.990889305156653","0","20","1 & 2"
"211","-0.990869538710645","1","20","1 & 2"
"212","-0.990861613571364","2","20","1 & 2"
"213","-0.99087018444353","3","20","1 & 2"
"214","-0.990901794451303","4","20","1 & 2"
"215","-0.990963627246464","5","20","1 & 2"
"216","-0.991061415745478","6","20","1 & 2"
"217","-0.991197028429098","7","20","1 & 2"
"218","-0.991366758442368","8","20","1 & 2"
"219","-0.99156133607898","9","20","1 & 2"
"220","-0.991767871883258","10","20","1 & 2"
"221","0.997315136217581","0","21","1 & 2"
"222","0.997247238031102","1","21","1 & 2"
"223","0.997179575816131","2","21","1 & 2"
"224","0.997118407372051","3","21","1 & 2"
"225","0.997067565268579","4","21","1 & 2"
"226","0.997027710367271","5","21","1 & 2"
"227","0.996997122441121","6","21","1 & 2"
"228","0.996973054049129","7","21","1 & 2"
"229","0.996952925297916","8","21","1 & 2"
"230","0.996935109451886","9","21","1 & 2"
"231","0.996919473553938","10","21","1 & 2"
"232","-0.951980026245633","0","22","1 & 2"
"233","-0.953271459867669","1","22","1 & 2"
"234","-0.954642422138797","2","22","1 & 2"
"235","-0.955996871215755","3","22","1 & 2"
"236","-0.957221220556014","4","22","1 & 2"
"237","-0.958213453794781","5","22","1 & 2"
"238","-0.958912659979137","6","22","1 & 2"
"239","-0.959313818307217","7","22","1 & 2"
"240","-0.959461118044079","8","22","1 & 2"
"241","-0.959426768499643","9","22","1 & 2"
"242","-0.9592886006838","10","22","1 & 2"
"243","0.726459060527893","0","23","1 & 2"
"244","0.734032975873492","1","23","1 & 2"
"245","0.742916010650485","2","23","1 & 2"
"246","0.752341810864725","3","23","1 & 2"
"247","0.761230213677352","4","23","1 & 2"
"248","0.768589511133744","5","23","1 & 2"
"249","0.773894812747929","6","23","1 & 2"
"250","0.777219074980213","7","23","1 & 2"
"251","0.779064408537987","8","23","1 & 2"
"252","0.780030827412579","9","23","1 & 2"
"253","0.780543966811726","10","23","1 & 2"
"254","-0.997299891451469","0","24","1 & 2"
"255","-0.997270167256274","1","24","1 & 2"
"256","-0.997259750269166","2","24","1 & 2"
"257","-0.99726564416205","3","24","1 & 2"
"258","-0.997282110959928","4","24","1 & 2"
"259","-0.997302481174957","5","24","1 & 2"
"260","-0.997321322220537","6","24","1 & 2"
"261","-0.997335945712021","7","24","1 & 2"
"262","-0.997346746888504","8","24","1 & 2"
"263","-0.997356559062195","9","24","1 & 2"
"264","-0.997369481233497","10","24","1 & 2"
"265","0.538553145314204","0","25","1 & 2"
"266","0.529975213357028","1","25","1 & 2"
"267","0.520925025330274","2","25","1 & 2"
"268","0.511406176091067","3","25","1 & 2"
"269","0.501438797664074","4","25","1 & 2"
"270","0.491053114443349","5","25","1 & 2"
"271","0.480279473776392","6","25","1 & 2"
"272","0.469135656465921","7","25","1 & 2"
"273","0.457614690720792","8","25","1 & 2"
"274","0.445678666770858","9","25","1 & 2"
"275","0.433262015037442","10","25","1 & 2"
"276","-0.9319066379349","0","26","1 & 2"
"277","-0.936117061757647","1","26","1 & 2"
"278","-0.940015031994182","2","26","1 & 2"
"279","-0.943583995289911","3","26","1 & 2"
"280","-0.946836448115484","4","26","1 & 2"
"281","-0.94980116066739","5","26","1 & 2"
"282","-0.952512423289894","6","26","1 & 2"
"283","-0.955002122129993","7","26","1 & 2"
"284","-0.957293670522003","8","26","1 & 2"
"285","-0.959399537060226","9","26","1 & 2"
"286","-0.961322725461352","10","26","1 & 2"
"287","-0.998355223898931","0","27","1 & 2"
"288","-0.998499914285822","1","27","1 & 2"
"289","-0.998630265358464","2","27","1 & 2"
"290","-0.998745292501914","3","27","1 & 2"
"291","-0.998845128068046","4","27","1 & 2"
"292","-0.998930481357092","5","27","1 & 2"
