"","combi","period_diff","ci_width"
"1","1 - 2",0,6.67560718208253
"2","1 - 3",0,6.57079759328733
"3","1 - 4",0,6.72783768995495
"4","1 - 5",0,6.68529548731854
"5","1 - 6",0.0555555555555556,0.474118468633127
"6","1 - 7",0,4.52585716463795
"7","1 - 8",0,6.03687647878543
"8","1 - 9",0,6.10121359821862
"9","1 - 10",0.0317460317460317,0.467564913279746
"10","2 - 3",0,6.66084557125938
"11","2 - 4",0,6.70542732275188
"12","2 - 5",0,6.69170590755103
"13","2 - 6",0.126984126984127,0.482452708044806
"14","2 - 7",0,5.40049293423548
"15","2 - 8",0,6.48990423790246
"16","2 - 9",0,6.32846992259193
"17","2 - 10",0.0952380952380952,0.541966340178655
"18","3 - 4",0,6.68625955153288
"19","3 - 5",0,6.63878204878491
"20","3 - 6",0,0.478839596309304
"21","3 - 7",0,4.44757420215744
"22","3 - 8",0,5.9221898234791
"23","3 - 9",0,6.07299848575887
"24","3 - 10",0,0.471518153005002
"25","4 - 5",0,6.76737916389855
"26","4 - 6",0.0238095238095238,0.467890047120333
"27","4 - 7",0,4.64083808903426
"28","4 - 8",0,6.19819640088143
"29","4 - 9",0,6.1483154889184
"30","4 - 10",0,0.466213495526109
"31","5 - 6",0.0873015873015873,0.468795228202945
"32","5 - 7",0,4.61589762912851
"33","5 - 8",0,6.14981558793724
"34","5 - 9",0,6.13340529164227
"35","5 - 10",0.0714285714285714,0.465513308031341
"36","6 - 7",0.103174603174603,0.459636056452827
"37","6 - 8",0,0.476350904029011
"38","6 - 9",0.126984126984127,0.481736117620529
"39","6 - 10",0,0.500521900425741
"40","7 - 8",0,4.38953460611782
"41","7 - 9",0,5.1457050727846
"42","7 - 10",0.0793650793650794,0.484464283243234
"43","8 - 9",0,5.94913688771687
"44","8 - 10",0,0.469523494135923
"45","9 - 10",0.0952380952380952,0.541004147807482
