"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"1",-4.49416181864355,0.0570382443664894,1977,1,"WAH3",-4.38008532991057,-4.60823830737653,-4.30480677047736,-4.68351686680975,0.378710096332389
"2",-4.49418959092014,0.0563880703964863,1977.336,1,"WAH3",-4.38141345012717,-4.60696573171311,-4.30699298442363,-4.68138619741665,0.374393212993018
"3",-4.49421736318194,0.0557397464553442,1977.672,1,"WAH3",-4.38273787027125,-4.60569685609263,-4.30917305664602,-4.67926166971785,0.370088613071832
"4",-4.49424513541416,0.0550933381351093,1978.008,1,"WAH3",-4.38405845914394,-4.60443181168438,-4.31134676937786,-4.67714350145046,0.365796732072599
"5",-4.49427290760691,0.0544489132304322,1978.344,1,"WAH3",-4.38537508114604,-4.60317073406777,-4.31351389754518,-4.67503191766863,0.361518020123452
"6",-4.49430067976847,0.0538065420690301,1978.68,1,"WAH3",-4.38668759563041,-4.60191376390653,-4.31567420768295,-4.67292715185399,0.357252944171032
"7",-4.49432845191138,0.0531662972684277,1979.016,1,"WAH3",-4.38799585737452,-4.60066104644823,-4.3178274587287,-4.67082944509405,0.353001986365346
"8",-4.49435622406018,0.0525282539603779,1979.352,1,"WAH3",-4.38929971613943,-4.59941273198094,-4.31997340128528,-4.66873904683509,0.348765645549818
"9",-4.49438399628121,0.0518924903138835,1979.688,1,"WAH3",-4.39059901565345,-4.59816897690898,-4.32211177591424,-4.66665621664819,0.344544440733948
"10",-4.49441176864982,0.0512590876386631,1980.024,1,"WAH3",-4.39189359337249,-4.59692994392714,-4.32424231275968,-4.66458122453996,0.340338911780277
"11",-4.4944395412599,0.050628130777112,1980.36,1,"WAH3",-4.39318327970567,-4.59569580281412,-4.32636473025648,-4.66251435226332,0.336149622006834
"12",-4.49446731426522,0.0499997087786414,1980.696,1,"WAH3",-4.39446789670794,-4.5944667318225,-4.32847873293298,-4.66045589559746,0.331977162664485
"13",-4.49449508783165,0.0493739149309769,1981.032,1,"WAH3",-4.3957472579697,-4.5932429176936,-4.33058401125929,-4.65840616440401,0.327822153144725
"14",-4.49452286214873,0.0487508471063322,1981.368,1,"WAH3",-4.39702116793607,-4.5920245563614,-4.33268024050967,-4.6563654837878,0.323685243278133
"15",-4.49455063747737,0.0481306083357126,1981.704,1,"WAH3",-4.39828942080594,-4.59081185414879,-4.33476707890361,-4.65433419605112,0.319567117147511
"16",-4.49457841409182,0.0475133066257245,1982.04,1,"WAH3",-4.39955180084037,-4.58960502734327,-4.33684416815604,-4.65231266002761,0.31546849187157
