"","V1","V2","V3","V4"
"1","0.870371409833652","0","1","1 & 2"
"2","0.885438236812239","1","1","1 & 2"
"3","0.883234502700287","2","1","1 & 2"
"4","0.868244472100302","3","1","1 & 2"
"5","0.84406738935953","4","1","1 & 2"
"6","0.812697569941752","5","1","1 & 2"
"7","0.77521972495955","6","1","1 & 2"
"8","0.733071692432156","7","1","1 & 2"
"9","0.688718633953442","8","1","1 & 2"
"10","0.645075052674728","9","1","1 & 2"
"11","0.604279230836426","10","1","1 & 2"
"12","0.866866316605942","0","2","1 & 2"
"13","0.887696092098003","1","2","1 & 2"
"14","0.889818905721231","2","2","1 & 2"
"15","0.877166848320426","3","2","1 & 2"
"16","0.85304294954636","4","2","1 & 2"
"17","0.819238201943622","5","2","1 & 2"
"18","0.776817866331318","6","2","1 & 2"
"19","0.727717005748131","7","2","1 & 2"
"20","0.675685287141377","8","2","1 & 2"
"21","0.62554226077336","9","2","1 & 2"
"22","0.581334429664654","10","2","1 & 2"
"23","0.785740699548846","0","3","1 & 2"
"24","0.832694826581708","1","3","1 & 2"
"25","0.853684012835134","2","3","1 & 2"
"26","0.853684283212985","3","3","1 & 2"
"27","0.837612375285561","4","3","1 & 2"
"28","0.80905770101773","5","3","1 & 2"
"29","0.770927695615888","6","3","1 & 2"
"30","0.726622461556382","7","3","1 & 2"
"31","0.680225702090047","8","3","1 & 2"
"32","0.635346728282503","9","3","1 & 2"
"33","0.593813884481056","10","3","1 & 2"
"34","0.799106117119341","0","4","1 & 2"
"35","0.791863762028897","1","4","1 & 2"
"36","0.771289133251323","2","4","1 & 2"
"37","0.73976208357654","3","4","1 & 2"
"38","0.69861905662122","4","4","1 & 2"
"39","0.648411652790281","5","4","1 & 2"
"40","0.590354852822723","6","4","1 & 2"
"41","0.52771811018982","7","4","1 & 2"
"42","0.465751354670305","8","4","1 & 2"
"43","0.409929767113989","9","4","1 & 2"
"44","0.363934700394248","10","4","1 & 2"
"45","0.763874362327312","0","5","1 & 2"
"46","0.820108970480645","1","5","1 & 2"
"47","0.845660121646658","2","5","1 & 2"
"48","0.847692724764823","3","5","1 & 2"
"49","0.832986996814891","4","5","1 & 2"
"50","0.805988770779449","5","5","1 & 2"
"51","0.769317477097672","6","5","1 & 2"
"52","0.725297904174206","7","5","1 & 2"
"53","0.676930922465702","8","5","1 & 2"
"54","0.627472779148124","9","5","1 & 2"
"55","0.579323932542554","10","5","1 & 2"
"56","0.865175955205454","0","6","1 & 2"
"57","0.882424964719939","1","6","1 & 2"
"58","0.884342727484726","2","6","1 & 2"
"59","0.874153913078051","3","6","1 & 2"
"60","0.854159741840459","4","6","1 & 2"
"61","0.825248514078447","5","6","1 & 2"
"62","0.787823316516466","6","6","1 & 2"
"63","0.74334716691835","7","6","1 & 2"
"64","0.695141036963023","8","6","1 & 2"
"65","0.647551980217095","9","6","1 & 2"
"66","0.60421573700408","10","6","1 & 2"
"67","0.782198794252656","0","7","1 & 2"
"68","0.836759735923673","1","7","1 & 2"
"69","0.861543683739799","2","7","1 & 2"
"70","0.862023560198759","3","7","1 & 2"
"71","0.84361387494277","4","7","1 & 2"
"72","0.810136577062774","5","7","1 & 2"
"73","0.764752003988871","6","7","1 & 2"
"74","0.711686742629512","7","7","1 & 2"
"75","0.656737520160956","8","7","1 & 2"
"76","0.605700536084202","9","7","1 & 2"
"77","0.562130460635812","10","7","1 & 2"
"78","0.645150118675369","0","8","1 & 2"
"79","0.722472904540965","1","8","1 & 2"
"80","0.77149912842027","2","8","1 & 2"
"81","0.794025846492599","3","8","1 & 2"
"82","0.793704478009763","4","8","1 & 2"
"83","0.773937202292841","5","8","1 & 2"
"84","0.737930375156667","6","8","1 & 2"
"85","0.689871522410523","7","8","1 & 2"
"86","0.635584904186317","8","8","1 & 2"
"87","0.581611686212178","9","8","1 & 2"
"88","0.533231257506358","10","8","1 & 2"
"89","0.765516432696472","0","9","1 & 2"
"90","0.809080416938344","1","9","1 & 2"
"91","0.834054277540634","2","9","1 & 2"
"92","0.843119317299165","3","9","1 & 2"
"93","0.838616513520142","4","9","1 & 2"
"94","0.821584126307932","5","9","1 & 2"
"95","0.792385202208304","6","9","1 & 2"
"96","0.752233887109743","7","9","1 & 2"
"97","0.704330835147018","8","9","1 & 2"
"98","0.653513453149432","9","9","1 & 2"
"99","0.604656382819652","10","9","1 & 2"
"100","0.741066935888275","0","10","1 & 2"
"101","0.791578006190604","1","10","1 & 2"
"102","0.826036675678867","2","10","1 & 2"
"103","0.844363463845703","3","10","1 & 2"
"104","0.847026983982797","4","10","1 & 2"
"105","0.83443688795754","5","10","1 & 2"
"106","0.807437883684422","6","10","1 & 2"
