"","Seascapes","lag","si","cmi","bcmi","z"
"1","1 & 2",0,0.998122595662327,0.388558650716528,0.28681142833283,2.5751851391866
"2","1 & 2",1,0.998122595662327,0.440284512130937,0.373171652942235,2.58445154390968
"3","1 & 2",2,0.998122595662327,0.359954579373476,0.249024247798136,2.45583547287742
"4","1 & 2",3,0.998122595662327,0.227397340855384,0.108190031211177,0.98608730542872
"5","1 & 2",4,0.998122595662327,0.207475215449659,0.103550140142717,1.28221200193088
"6","1 & 2",5,0.998122595662327,0.204626369095904,0.0992590594538719,1.45169124985808
"7","1 & 2",6,0.998122595662327,0.22250970343633,0.115430297427895,1.78665579767922
"8","1 & 2",7,0.998122595662327,0.224768106040613,0.0825555193593183,0.823980808084447
"9","1 & 2",8,0.998122595662327,0.176217255368218,0.0168929303763693,0.222195250206179
"10","1 & 2",9,0.998122595662327,0.184098067722529,0.0312430482717886,0.471357545258214
"11","1 & 2",10,0.998122595662327,0.227508541670911,0.0902481687004354,1.17215561137594
"12","1 & 3",0,0.998122595662327,0.383019141704827,0.321688592067091,3.6397748465778
"13","1 & 3",1,0.998122595662327,0.402482973242293,0.341988731357938,3.44429488150563
"14","1 & 3",2,0.998122595662327,0.398223645644153,0.342313444309655,3.73383062262199
"15","1 & 3",3,0.998122595662327,0.473863165553331,0.421749887810037,3.82971972826338
"16","1 & 3",4,0.998122595662327,0.354584253588265,0.273597011534189,2.92755276066161
"17","1 & 3",5,0.998122595662327,0.41672896309801,0.350550073318518,3.29549736081877
"18","1 & 3",6,0.998122595662327,0.365924100881299,0.289325079311689,2.97568067907317
"19","1 & 3",7,0.998122595662327,0.311224744396007,0.234654045325665,2.48568492385402
"20","1 & 3",8,0.998122595662327,0.282290014270254,0.193122910082533,1.98167252752428
"21","1 & 3",9,0.998122595662327,0.347385731476182,0.273715778552718,2.686542763859
"22","1 & 3",10,0.998122595662327,0.371949838946411,0.306270695670248,3.02499742657237
"23","1 & 4",0,0.998122595662327,0.342929901416164,0.240249326783302,2.47082140937394
"24","1 & 4",1,0.998122595662327,0.35892947990264,0.251575788628595,2.70244702135639
"25","1 & 4",2,0.998122595662327,0.231356657381407,0.0979501812604322,1.31925140577019
"26","1 & 4",3,0.998122595662327,0.196626977274514,0.0995205326456917,1.29122900348943
"27","1 & 4",4,0.998122595662327,0.181335727660152,0.0765003630716551,1.14587042387874
"28","1 & 4",5,0.998122595662327,0.184815224266731,0.0932040807864262,1.27731463247565
"29","1 & 4",6,0.998122595662327,0.204573618351531,0.0876982975317351,1.030558626002
"30","1 & 4",7,0.998122595662327,0.231147008409134,0.11272573454573,1.23494744376793
"31","1 & 4",8,0.998122595662327,0.207374592045653,0.0464002128065852,0.609148720640054
"32","1 & 4",9,0.998122595662327,0.215745220137257,0.0994649683123154,1.22225567157513
"33","1 & 4",10,0.998122595662327,0.18585011139244,0.0908621455484047,1.33544993482259
"34","1 & 5",0,0.998122595662327,0.353221140426149,0.308211449500655,2.35444877407507
"35","1 & 5",1,0.998122595662327,0.310000410203016,0.244239958106024,2.5976647949503
"36","1 & 5",2,0.998122595662327,0.344623328796497,0.295823336097292,2.62349734855653
"37","1 & 5",3,0.998122595662327,0.277728620751461,0.224063388335837,2.60995273547796
"38","1 & 5",4,0.998122595662327,0.292971334571718,0.24323700184007,2.82261256734828
"39","1 & 5",5,0.998122595662327,0.217744740585554,0.159441359372163,2.22682343263072
"40","1 & 5",6,0.998122595662327,0.166949784509131,0.0942893063461754,1.54233986809848
"41","1 & 5",7,0.998122595662327,0.114860919022263,0.0130275985694298,0.221815828996686
"42","1 & 5",8,0.998122595662327,0.106415279405701,-0.019925151626148,-0.330952235585152
"43","1 & 5",9,0.998122595662327,0.209669220897998,0.104283272552567,1.16233652605265
"44","1 & 5",10,0.998122595662327,0.126149746679582,0.0291680647327382,0.53523517034345
"45","1 & 6",0,0.998122595662327,0.192093375556914,0.0794547750720097,0.96497594740419
"46","1 & 6",1,0.998122595662327,0.211051775645753,0.146224434715969,2.06367382723775
