"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"1",-4.3977948252847,0.21563889066786,1977,1,"WAH3","D",-3.96651704394898,-4.82907260662042,-3.73129809935975,-5.06429155120966,1.33299345184991
"2",-4.3463577440679,0.200531053666601,1977.336,1,"WAH3","D",-3.9452956367347,-4.74741985140111,-3.72655632373444,-4.96615916440137,1.23960284066692
"3",-4.294970721396,0.186413216886228,1977.672,1,"WAH3","D",-3.92214428762354,-4.66779715516845,-3.71880471377552,-4.87113672901647,1.15233201524096
"4",-4.24368381581099,0.173534793405791,1978.008,1,"WAH3","D",-3.89661422899941,-4.59075340262257,-3.70732244203092,-4.78004518959106,1.07272274756014
"5",-4.19254685566808,0.162126352254243,1978.344,1,"WAH3","D",-3.8682941511596,-4.51679956017657,-3.69144669405556,-4.69364701728061,1.00220032322504
"6",-4.141608812009,0.152379311829894,1978.68,1,"WAH3","D",-3.83685018834921,-4.44636743566879,-3.67063480486781,-4.61258281915018,0.941948014282374
"7",-4.09091845573326,0.144395891097974,1979.016,1,"WAH3","D",-3.80212667353731,-4.37971023792921,-3.64461960696924,-4.53721730449728,0.89259769752804
"8",-4.04051823941593,0.138157549580908,1979.352,1,"WAH3","D",-3.76420314025411,-4.31683333857775,-3.61350085784667,-4.46753562098519,0.854034763138527
"9",-3.99042869916615,0.133521864525848,1979.688,1,"WAH3","D",-3.72338497011446,-4.25747242821785,-3.57773929388191,-4.40311810445039,0.825378810568485
"10",-3.94066561984514,0.130237329770857,1980.024,1,"WAH3","D",-3.68019096030343,-4.20114027938686,-3.53812805523124,-4.34320318445905,0.805075129227817
"11",-3.89123665089166,0.127979802841581,1980.36,1,"WAH3","D",-3.6352770452085,-4.14719625657482,-3.49567665095725,-4.28679665082607,0.791119999868821
"12",-3.84212314823366,0.126419299619558,1980.696,1,"WAH3","D",-3.58928454899455,-4.09496174747278,-3.45138635196651,-4.23285994450081,0.781473592534298
"13",-3.79330116251953,0.125250228259486,1981.032,1,"WAH3","D",-3.54280070600056,-4.0438016190385,-3.40617773224331,-4.18042459279575,0.774246860552438
"14",-3.74474198612703,0.124221546419619,1981.368,1,"WAH3","D",-3.4962988932878,-3.99318507896627,-3.36079800588492,-4.12868596636914,0.767887960484219
"15",-3.69640257427623,0.123174884836732,1981.704,1,"WAH3","D",-3.45005280460277,-3.94275234394969,-3.31569361586152,-4.07711153269094,0.761417916829428
"16",-3.64823719631474,0.122019020580016,1982.04,1,"WAH3","D",-3.40419915515471,-3.89227523747477,-3.27110078337329,-4.02537360925619,0.754272825882905
"17",-3.6002031129634,0.120723905974337,1982.376,1,"WAH3","D",-3.35875530101472,-3.84165092491207,-3.22706964050132,-3.97333658542547,0.746266944924148
"18",-3.55226599328935,0.11932493174211,1982.712,1,"WAH3","D",-3.31361612980513,-3.79091585677357,-3.18345647066093,-3.92107551591777,0.737619045256838
"19",-3.50439299716373,0.117882247982047,1983.048,1,"WAH3","D",-3.26862850119964,-3.74015749312782,-3.14004252178624,-3.86874347254121,0.728700950754969
"20",-3.45656363651683,0.116465959446511,1983.384,1,"WAH3","D",-3.22363171762381,-3.68949555540985,-3.09659062602509,-3.81653664700857,0.719946020983478
"21",-3.40878983527699,0.115150857918881,1983.72,1,"WAH3","D",-3.17848811943923,-3.63909155111475,-3.05288154084695,-3.76469812970703,0.711816588860079
"22",-3.36108882635828,0.113989943319378,1984.056,1,"WAH3","D",-3.13310893971952,-3.58906871299704,-3.00876868700199,-3.71340896571457,0.704640278712584
"23",-3.31349714164706,0.113008672574793,1984.392,1,"WAH3","D",-3.08747979649748,-3.53951448679665,-2.96420991410221,-3.66278436919192,0.698574455089708
"24",-3.26609862112985,0.11221228454699,1984.728,1,"WAH3","D",-3.04167405203587,-3.49052319022383,-2.91927286985883,-3.61292437240086,0.693651502542026
"25",-3.21898430398137,0.111579325241408,1985.064,1,"WAH3","D",-2.99582565349855,-3.44214295446419,-2.87411490345724,-3.5638537045055,0.689738801048268
"26",-3.17226517257806,0.111071777768088,1985.4,1,"WAH3","D",-2.95012161704188,-3.39440872811424,-2.82896449988484,-3.51556584527128,0.686601345386433
"27",-3.12609791165603,0.110656005642831,1985.736,1,"WAH3","D",-2.90478590037037,-3.3474099229417,-2.78408230752979,-3.46811351578228,0.684031208252482
"28",-3.08064564960522,0.1102972915338,1986.072,1,"WAH3","D",-2.86005106653762,-3.30124023267282,-2.73973875911812,-3.42155254009232,0.681813780974201
"29",-3.03608369126168,0.109971129372818,1986.408,1,"WAH3","D",-2.81614143251604,-3.25602595000732,-2.69618490284625,-3.37598247967711,0.679797576830861
"30",-2.99261344543068,0.109677956071469,1986.744,1,"WAH3","D",-2.77325753328774,-3.21196935757362,-2.65362079711304,-3.33160609374832,0.677985296635277
