"","V1","V2","V3","V4"
"1","0.717560894277107","0","1","1 & 2"
"2","0.661915491851343","1","1","1 & 2"
"3","0.574335803799628","2","1","1 & 2"
"4","0.464842692577099","3","1","1 & 2"
"5","0.346518967667789","4","1","1 & 2"
"6","0.232521199905227","5","1","1 & 2"
"7","0.133385666655902","6","1","1 & 2"
"8","0.0555974357712417","7","1","1 & 2"
"9","0.00145226717447082","8","1","1 & 2"
"10","-0.0303975691901218","9","1","1 & 2"
"11","-0.0441894764110992","10","1","1 & 2"
"12","0.38559073889496","0","2","1 & 2"
"13","0.314245459538141","1","2","1 & 2"
"14","0.21378957456244","2","2","1 & 2"
"15","0.0968250334458299","3","2","1 & 2"
"16","-0.021523374790021","4","2","1 & 2"
"17","-0.126492316912637","5","2","1 & 2"
"18","-0.206270382080619","6","2","1 & 2"
"19","-0.253803910394384","7","2","1 & 2"
"20","-0.267644042441173","8","2","1 & 2"
"21","-0.252108707341284","9","2","1 & 2"
"22","-0.216698683586561","10","2","1 & 2"
"23","0.701871910295985","0","3","1 & 2"
"24","0.609956080974045","1","3","1 & 2"
"25","0.491653495268142","2","3","1 & 2"
"26","0.359722916694794","3","3","1 & 2"
"27","0.228361073091158","4","3","1 & 2"
"28","0.110372193122161","5","3","1 & 2"
"29","0.0151008305860649","6","3","1 & 2"
"30","-0.0521901296477862","7","3","1 & 2"
"31","-0.0899386749730053","8","3","1 & 2"
"32","-0.0998580645758418","9","3","1 & 2"
"33","-0.0868654078241067","10","3","1 & 2"
"34","0.708766499790225","0","4","1 & 2"
"35","0.669569963293498","1","4","1 & 2"
"36","0.579373395947438","2","4","1 & 2"
"37","0.451726640495833","3","4","1 & 2"
"38","0.305805169143024","4","4","1 & 2"
"39","0.162253547139574","5","4","1 & 2"
"40","0.0386836957011758","6","4","1 & 2"
"41","-0.0535844177560903","7","4","1 & 2"
"42","-0.110262179742007","8","4","1 & 2"
"43","-0.133103257778233","9","4","1 & 2"
"44","-0.128697633044918","10","4","1 & 2"
"45","0.588712468512906","0","5","1 & 2"
"46","0.559128733283174","1","5","1 & 2"
"47","0.484757757778798","2","5","1 & 2"
"48","0.377143037073457","3","5","1 & 2"
"49","0.252491849670352","4","5","1 & 2"
"50","0.127847330030826","5","5","1 & 2"
"51","0.0179960982710377","6","5","1 & 2"
"52","-0.0667735119821088","7","5","1 & 2"
"53","-0.121581135502497","8","5","1 & 2"
"54","-0.146682428287012","9","5","1 & 2"
"55","-0.146733372434479","10","5","1 & 2"
"56","0.727391239318394","0","6","1 & 2"
"57","0.699797913494612","1","6","1 & 2"
"58","0.622253094037702","2","6","1 & 2"
"59","0.506040200621059","3","6","1 & 2"
"60","0.368577755374771","4","6","1 & 2"
"61","0.22988248629577","5","6","1 & 2"
"62","0.108381710810248","6","6","1 & 2"
"63","0.0173784288359767","7","6","1 & 2"
"64","-0.0366061032574178","8","6","1 & 2"
"65","-0.0539573600190184","9","6","1 & 2"
"66","-0.0414621365585661","10","6","1 & 2"
"67","0.796166112895772","0","7","1 & 2"
"68","0.74483945925777","1","7","1 & 2"
"69","0.647370419676148","2","7","1 & 2"
"70","0.517710997235019","3","7","1 & 2"
"71","0.374537358113981","4","7","1 & 2"
"72","0.237264354087189","5","7","1 & 2"
"73","0.122077331835394","6","7","1 & 2"
"74","0.0392899168240342","7","7","1 & 2"
"75","-0.00743358648328255","8","7","1 & 2"
"76","-0.0207417083353432","9","7","1 & 2"
"77","-0.00883923074641187","10","7","1 & 2"
"78","0.842396931577114","0","8","1 & 2"
"79","0.775859773054086","1","8","1 & 2"
"80","0.659055128539438","2","8","1 & 2"
"81","0.509557547605666","3","8","1 & 2"
"82","0.350131667563485","4","8","1 & 2"
"83","0.203554723991223","5","8","1 & 2"
"84","0.0872110405119087","6","8","1 & 2"
"85","0.0101435035756964","7","8","1 & 2"
"86","-0.0267543906888951","8","8","1 & 2"
"87","-0.0290789541247013","9","8","1 & 2"
"88","-0.00722452918779471","10","8","1 & 2"
"89","0.785885471008626","0","9","1 & 2"
"90","0.762777888567923","1","9","1 & 2"
"91","0.688990986050263","2","9","1 & 2"
"92","0.574508910582333","3","9","1 & 2"
"93","0.435671466264769","4","9","1 & 2"
"94","0.292158159724786","5","9","1 & 2"
"95","0.162387098630255","6","9","1 & 2"
"96","0.0594711078537767","7","9","1 & 2"
"97","-0.0102272905964513","8","9","1 & 2"
"98","-0.0463926296048268","9","9","1 & 2"
"99","-0.0536063153015213","10","9","1 & 2"
"100","0.806997610433102","0","10","1 & 2"
"101","0.723898586312535","1","10","1 & 2"
"102","0.601292719366038","2","10","1 & 2"
"103","0.454612572605412","3","10","1 & 2"
"104","0.301845042425779","4","10","1 & 2"
"105","0.15970366510713","5","10","1 & 2"
"106","0.041090169436306","6","10","1 & 2"
"107","-0.0458170109586466","7","10","1 & 2"
"108","-0.0975985416777285","8","10","1 & 2"
"109","-0.115669994362069","9","10","1 & 2"
"110","-0.106398419896658","10","10","1 & 2"
"111","0.712945880722796","0","11","1 & 2"
"112","0.582667614762426","1","11","1 & 2"
"113","0.423802322457048","2","11","1 & 2"
"114","0.256515297434653","3","11","1 & 2"
"115","0.100462003291906","4","11","1 & 2"
"116","-0.0296051568821164","5","11","1 & 2"
"117","-0.125162003081597","6","11","1 & 2"
"118","-0.183070041708713","7","11","1 & 2"
"119","-0.204530024527039","8","11","1 & 2"
"120","-0.194824256124357","9","11","1 & 2"
"121","-0.16320310242818","10","11","1 & 2"
"122","0.71848351037275","0","12","1 & 2"
"123","0.612048834336562","1","12","1 & 2"
"124","0.470337437332732","2","12","1 & 2"
"125","0.312829016241462","3","12","1 & 2"
"126","0.161203936070715","4","12","1 & 2"
"127","0.0343613236209104","5","12","1 & 2"
"128","-0.0554992677578447","6","12","1 & 2"
"129","-0.104174187533364","7","12","1 & 2"
"130","-0.114667544529833","8","12","1 & 2"
"131","-0.0958002455112104","9","12","1 & 2"
"132","-0.0605563488145882","10","12","1 & 2"
