"","combi","period_diff","ci_width"
"1","1 - 2",0.119047619047619,0.865627589735049
"2","1 - 3",0,0.85245913180399
"3","1 - 4",0,0.851730607652047
"4","1 - 5",0.0952380952380952,0.846305540505614
"5","1 - 6",0.103174603174603,0.868917433808477
"6","1 - 7",0.0476190476190476,0.841573370801467
"7","1 - 8",0.158730158730159,0.862398343875821
"8","1 - 9",0.285714285714286,0.83665623507457
"9","1 - 10",0.158730158730159,0.849019176366171
"10","2 - 3",0.0555555555555556,0.863635273406157
"11","2 - 4",0.166666666666667,0.859791113692925
"12","2 - 5",0.0396825396825397,0.860456041519133
"13","2 - 6",0.0396825396825397,0.868929689873958
"14","2 - 7",0,0.851260110327842
"15","2 - 8",0.174603174603175,0.868187264697984
"16","2 - 9",0.246031746031746,0.837702147441153
"17","2 - 10",0,0.873986138642534
"18","3 - 4",0.0476190476190476,0.845816342682201
"19","3 - 5",0,0.840398357152695
"20","3 - 6",0.103174603174603,0.872095389541211
"21","3 - 7",0,0.838384882816436
"22","3 - 8",0.19047619047619,0.865017683355233
"23","3 - 9",0.103174603174603,0.835399031623989
"24","3 - 10",0.253968253968254,0.841862873283266
"25","4 - 5",0.0317460317460317,0.842582779799003
"26","4 - 6",0.150793650793651,0.864492144642844
"27","4 - 7",0.0873015873015873,0.839703517458086
"28","4 - 8",0.23015873015873,0.856322946621929
"29","4 - 9",0.261904761904762,0.836445910284366
"30","4 - 10",0.396825396825397,0.844019323996081
"31","5 - 6",0.0952380952380952,0.871314561132967
"32","5 - 7",0,0.841642629014573
"33","5 - 8",0.277777777777778,0.86193001662327
"34","5 - 9",0.150793650793651,0.834265165018435
"35","5 - 10",0.111111111111111,0.846631617307383
"36","6 - 7",0.0396825396825397,0.852600996735238
"37","6 - 8",0,0.914688902459817
"38","6 - 9",0.19047619047619,0.838532925200416
"39","6 - 10",0.0952380952380952,0.878341630053041
"40","7 - 8",0.0952380952380952,0.846912680212547
"41","7 - 9",0.150793650793651,0.831243921279781
"42","7 - 10",0,0.845692339908958
"43","8 - 9",0.198412698412698,0.836971104659447
"44","8 - 10",0.126984126984127,0.868210579004663
"45","9 - 10",0.261904761904762,0.83470453679826
