"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"1",-2.23782127563567,0.186624738400976,1977,1,"WAH3","D",-1.86457179883371,-2.61107075243762,-1.58143280507241,-2.89420974619893,1.31277694112652
"2",-2.17643321324291,0.13725970925131,1978,1,"WAH3","D",-1.90191379474029,-2.45095263174553,-1.69366929138895,-2.65919713509687,0.96552784370792
"3",-2.12502375369702,0.101810558495047,1979,1,"WAH3","D",-1.92140263670693,-2.32864487068712,-1.76694005402066,-2.48310745337339,0.71616739935273
"4",-2.092501453421,0.0864763226382974,1980,1,"WAH3","D",-1.9195488081444,-2.26545409869759,-1.78835066589502,-2.39665224094698,0.60830157505196
"5",-2.08137222155663,0.0842363350330964,1981,1,"WAH3","D",-1.91289955149044,-2.24984489162283,-1.78509982170239,-2.37764462141088,0.592544799708495
"6",-2.08456173591895,0.0828089609900593,1982,1,"WAH3","D",-1.91894381393883,-2.25017965789907,-1.79330963440809,-2.3758138374298,0.582504203021706
"7",-2.0865593270857,0.0781923905239646,1983,1,"WAH3","D",-1.93017454603777,-2.24294410813363,-1.8115444278528,-2.3615742263186,0.550029798465793
"8",-2.06821371618155,0.07298742627843,1984,1,"WAH3","D",-1.92223886362469,-2.21418856873841,-1.81150549241802,-2.32492193994507,0.513416447527051
"9",-2.01339410346919,0.0700337778592863,1985,1,"WAH3","D",-1.87332654775062,-2.15346165918777,-1.76707432437294,-2.25971388256544,0.4926395581925
"10",-1.91513510777212,0.0688758311322126,1986,1,"WAH3","D",-1.77738344550769,-2.05288677003654,-1.6728880088987,-2.15738220664553,0.484494197746827
"11",-1.7790617031027,0.067817505205209,1987,1,"WAH3","D",-1.64342669269229,-1.91469671351312,-1.54053690247622,-2.01758650372919,0.477049601252971
"12",-1.62280641693269,0.0668729625089538,1988,1,"WAH3","D",-1.48906049191478,-1.7565523419506,-1.38760372108764,-1.85800911277774,0.470405391690095
"13",-1.47148571450572,0.0670468849991354,1989,1,"WAH3","D",-1.33739194450744,-1.60557948450399,-1.235671305989,-1.70730012302243,0.471628817033433
"14",-1.350638554147,0.068004451549105,1990,1,"WAH3","D",-1.21462965104879,-1.48664745724521,-1.11145623391299,-1.58982087438101,0.478364640468016
"15",-1.27889431282874,0.0682093468931153,1991,1,"WAH3","D",-1.14247561904251,-1.41531300661497,-1.03899134353913,-1.51879728211835,0.479805938579218
"16",-1.26273816117339,0.0671422492411755,1992,1,"WAH3","D",-1.12845366269104,-1.39702265965574,-1.02658834166285,-1.49888798068393,0.47229963902108
"17",-1.29504977093945,0.0661325768493446,1993,1,"WAH3","D",-1.16278461724076,-1.42731492463814,-1.06245112756302,-1.52764841431588,0.465197286752863
"18",-1.35784604680618,0.0666298200840238,1994,1,"WAH3","D",-1.22458640663814,-1.49110568697423,-1.12349852099806,-1.59219357261431,0.468695051616251
"19",-1.42828489231019,0.0682081111221847,1995,1,"WAH3","D",-1.29186867006582,-1.56470111455456,-1.18838626942074,-1.66818351519965,0.479797245778916
"20",-1.48594600342531,0.0693160199072755,1996,1,"WAH3","D",-1.34731396361076,-1.62457804323986,-1.24215069160169,-1.72974131524894,0.487590623647256
"21",-1.51903637536764,0.0694398655621187,1997,1,"WAH3","D",-1.3801566442434,-1.65791610649188,-1.27480547895504,-1.76326727178024,0.4884617928252
"22",-1.52757867047296,0.0694958103190837,1998,1,"WAH3","D",-1.38858704983479,-1.66657029111112,-1.28315100757712,-1.77200633336879,0.488855325791675
"23",-1.52267200569864,0.0702080490434357,1999,1,"WAH3","D",-1.38225590761177,-1.66308810378552,-1.27573928751936,-1.76960472387793,0.49386543635857
"24",-1.52220665796448,0.0709450159017046,2000,1,"WAH3","D",-1.38031662616107,-1.66409668976789,-1.27268191177701,-1.77173140415195,0.499049492374933
"25",-1.54453230354351,0.0708096659582271,2001,1,"WAH3","D",-1.40291297162706,-1.68615163545997,-1.29548360433219,-1.79358100275483,0.498097398422639
"26",-1.60216484108553,0.0702565518236136,2002,1,"WAH3","D",-1.4616517374383,-1.74267794473275,-1.35506153102238,-1.84926815114867,0.494206620126293
"27",-1.6975040058453,0.0707381944297924,2003,1,"WAH3","D",-1.55602761698571,-1.83898039470488,-1.44870668320731,-1.94630132848328,0.497594645275976
"28",-1.82179719239523,0.0726120446242379,2004,1,"WAH3","D",-1.67657310314675,-1.96702128164371,-1.56640924477507,-2.07718514001539,0.51077589524032
"29",-1.95750080303991,0.0744118290534614,2005,1,"WAH3","D",-1.80867714493299,-2.10632446114684,-1.69578273134851,-2.21921887473132,0.523436143382807
"30",-2.08313308252393,0.0747822765903756,2006,1,"WAH3","D",-1.93356852934317,-2.23269763570468,-1.82011208875337,-2.34615407629448,0.526041987541117
"31",-2.17902092664517,0.0742441468671043,2007,1,"WAH3","D",-2.03053263291096,-2.32750922037938,-1.91789261949831,-2.44014923379203,0.52225661429372
"32",-2.23220967008475,0.0744328449558026,2008,1,"WAH3","D",-2.08334398017315,-2.38107535999636,-1.9704176821692,-2.4940016580003,0.523583975831104
"33",-2.23922060256782,0.0756625172801849,2009,1,"WAH3","D",-2.08789556800745,-2.39054563712819,-1.97310366425603,-2.50533754087961,0.532233876623581
"34",-2.2061160403956,0.0763377732858795,2010,1,"WAH3","D",-2.05344049382384,-2.35879158696736,-1.93762412082133,-2.47460795996986,0.536983839148531
"35",-2.14617661193431,0.075355771174335,2011,1,"WAH3","D",-1.99546506958564,-2.29688815428298,-1.88113854777926,-2.41121467608935,0.530076128310092
"36",-2.07613046372585,0.0740802333120277,2012,1,"WAH3","D",-1.9279699971018,-2.22429093034991,-1.81557866625634,-2.33668226119536,0.521103594939018
"37",-2.01212628409025,0.0748688997324081,2013,1,"WAH3","D",-1.86238848462544,-2.16186408355507,-1.74880062314534,-2.27545194503517,0.526651321889834
"38",-1.96649380390219,0.0773373581167907,2014,1,"WAH3","D",-1.81181908766861,-2.12116852013577,-1.69448618772746,-2.23850142007693,0.544015232349472
"39",-1.94591208756348,0.0781758252264614,2015,1,"WAH3","D",-1.78956043711056,-2.10226373801641,-1.6709554510796,-2.22086872404737,0.549913272967772
"40",-1.95111118432819,0.0757535994897253,2016,1,"WAH3","D",-1.79960398534874,-2.10261838330764,-1.68467389560236,-2.21754847305401,0.53287457745165
"41",-1.97786116538369,0.0745223322298893,2017,1,"WAH3","D",-1.82881650092391,-2.12690582984347,-1.7157544366922,-2.23996789407517,0.52421345738297
"42",-2.01886500459597,0.0835320633547422,2018,1,"WAH3","D",-1.85180087788648,-2.18592913130545,-1.72506963867504,-2.3126603705169,0.587590731841858
"43",-2.06626174640055,0.105587733995775,2019,1,"WAH3","D",-1.855086278409,-2.27743721439211,-1.69489312816937,-2.43763036463174,0.742737236462372
"44",-1.89232428032484,0.20238734886165,1977,2,"WAH3","D",-1.48754958260155,-2.29709897804814,-1.18049623695353,-2.60415232369616,1.42365608674264
"45",-1.87286302160067,0.177829891410714,1978,2,"WAH3","D",-1.51720323877924,-2.2285228044221,-1.24740740706839,-2.49831863613295,1.25091122906456
"46",-1.85318088782874,0.156034260403787,1979,2,"WAH3","D",-1.54111236702116,-2.16524940863631,-1.30438392543538,-2.40197785022209,1.09759392478672
"47",-1.83290929093032,0.137509037991677,1980,2,"WAH3","D",-1.55789121494697,-2.10792736691368,-1.34926844079794,-2.31655014106271,0.967281700264765
"48",-1.81154091034935,0.122152004263148,1981,2,"WAH3","D",-1.56723690182305,-2.05584491887565,-1.38191315605745,-2.24116866464125,0.859255508583797
"49",-1.78852579473346,0.109582514342182,1982,2,"WAH3","D",-1.5693607660491,-2.00769082341782,-1.40310690758144,-2.17394468188548,0.770837774304038
"50",-1.76342730457035,0.0995893712088418,1983,2,"WAH3","D",-1.56424856215267,-1.96260604698804,-1.41315586889564,-2.11369874024507,0.700542871349432
"51",-1.73611139370184,0.0921408832114863,1984,2,"WAH3","D",-1.55182962727887,-1.92039316012481,-1.41203745835041,-2.06018532905327,0.648147870702858
"52",-1.70691666905996,0.0870398396380696,1985,2,"WAH3","D",-1.53283698978382,-1.8809963483361,-1.40078390387772,-2.0130494342422,0.612265530364488
"53",-1.67674390698195,0.0837921996505783,1986,2,"WAH3","D",-1.5091595076808,-1.84432830628311,-1.38203360091523,-1.97145421304868,0.589420612133451
"54",-1.64701795718519,0.081883860025415,1987,2,"WAH3","D",-1.48325023713436,-1.81078567723602,-1.35901958083694,-1.93501633353344,0.5759967526965
"55",-1.61950916886157,0.0810203991679284,1988,2,"WAH3","D",-1.45746837052571,-1.78154996719743,-1.33454771975294,-1.9044706179702,0.569922898217261
"56",-1.59604477356537,0.0810067498395124,1989,2,"WAH3","D",-1.43403127388634,-1.75805827324439,-1.3111313312852,-1.88095821584554,0.569826884560336
"57",-1.57817820418226,0.0815327740960288,1990,2,"WAH3","D",-1.4151126559902,-1.74124375237432,-1.29141465210329,-1.86494175626123,0.573527104157934
"58",-1.56690256355539,0.0822286372521113,1991,2,"WAH3","D",-1.40244528905116,-1.73135983805961,-1.27769155163451,-1.85611357547626,0.578422023841743
"59",-1.56248604452988,0.0828976376302982,1992,2,"WAH3","D",-1.39669076926929,-1.72828131979048,-1.27092205336946,-1.85405003569031,0.583127982320848
"60",-1.56447370447908,0.0835784064624656,1993,2,"WAH3","D",-1.39731689155415,-1.73163051740401,-1.27051534258098,-1.85843206637718,0.587916723796198
"61",-1.57185188269546,0.0843580749493187,1994,2,"WAH3","D",-1.40313573279682,-1.74056803259409,-1.27515130446518,-1.86855246092573,0.593401156460556
"62",-1.58332417122934,0.0852044580278823,1995,2,"WAH3","D",-1.41291525517358,-1.7537330872851,-1.28364673098597,-1.88300161147271,0.599354880486739
"63",-1.59761656990981,0.0860331442241371,1996,2,"WAH3","D",-1.42555028146154,-1.76968285835809,-1.29502451036357,-1.90020862945605,0.605184119092479
"64",-1.61372428599756,0.0868738525595865,1997,2,"WAH3","D",-1.43997658087839,-1.78747199111673,-1.30817532339965,-1.91927324859547,0.611097925195824
"65",-1.63103484882841,0.0878657731592104,1998,2,"WAH3","D",-1.45530330250998,-1.80676639514683,-1.32199714593333,-1.94007255172348,0.618075405790154
"66",-1.64930398296373,0.0890729169330206,1999,2,"WAH3","D",-1.47115814909769,-1.82744981682977,-1.3360205661176,-1.96258739980987,0.626566833692266
"67",-1.66850790535936,0.0903806686822816,2000,2,"WAH3","D",-1.4877465679948,-1.84926924272393,-1.35062492053565,-1.98639089018308,0.635765969647431
"68",-1.68863288056786,0.0916228199965402,2001,2,"WAH3","D",-1.50538724057478,-1.87187852056094,-1.36638105478362,-2.01088470635211,0.644503651568491
"69",-1.7094783714565,0.0927590011665818,2002,2,"WAH3","D",-1.52396036912334,-1.89499637378966,-1.38323041832667,-2.03572632458633,0.652495906259656
"70",-1.7305400392978,0.0938612426011044,2003,2,"WAH3","D",-1.5428175540956,-1.91826252450001,-1.40041533019448,-2.06066474840113,0.660249418206644
"71",-1.75100797467189,0.0949480589685624,2004,2,"WAH3","D",-1.56111185673477,-1.94090409260902,-1.41706076197483,-2.08495518736896,0.667894425394128
"72",-1.76987538223091,0.0959187306456491,2005,2,"WAH3","D",-1.57803792093961,-1.9617128435222,-1.4325141650294,-2.10723659943242,0.67472243440302
"73",-1.78611744964127,0.0966862536802345,2006,2,"WAH3","D",-1.5927449422808,-1.97948995700174,-1.4460567335678,-2.12617816571474,0.680121432146943
"74",-1.79888078578733,0.0973074332633619,2007,2,"WAH3","D",-1.60426591926061,-1.99349565231405,-1.45663528370956,-2.1411262878651,0.684491004155539
"75",-1.80762580737941,0.0979037839451433,2008,2,"WAH3","D",-1.61181823948913,-2.0034333752697,-1.46328284643693,-2.1519687683219,0.688685921884964
"76",-1.81218527312199,0.0984753868070655,2009,2,"WAH3","D",-1.61523449950786,-2.00913604673612,-1.46583189527808,-2.1585386509659,0.692706755687829
