"","V1","V2","V3","V4"
"1","0.982726100717981","0","1","1 & 2"
"2","0.983584625922861","1","1","1 & 2"
"3","0.984296827208014","2","1","1 & 2"
"4","0.98486959263602","3","1","1 & 2"
"5","0.985325122958173","4","1","1 & 2"
"6","0.985693673984185","5","1","1 & 2"
"7","0.986008532371431","6","1","1 & 2"
"8","0.986301264729155","7","1","1 & 2"
"9","0.986595743508608","8","1","1 & 2"
"10","0.986902926394603","9","1","1 & 2"
"11","0.987220095936183","10","1","1 & 2"
"12","0.999843515981455","0","2","1 & 2"
"13","0.999839893232867","1","2","1 & 2"
"14","0.999832315585568","2","2","1 & 2"
"15","0.999821311029891","3","2","1 & 2"
"16","0.999807510834191","4","2","1 & 2"
"17","0.999791573982845","5","2","1 & 2"
"18","0.999774328028231","6","2","1 & 2"
"19","0.999756815839413","7","2","1 & 2"
"20","0.999740093460227","8","2","1 & 2"
"21","0.999724950847635","9","2","1 & 2"
"22","0.999711835095555","10","2","1 & 2"
"23","0.99908505339237","0","3","1 & 2"
"24","0.999049493996202","1","3","1 & 2"
"25","0.999012846033312","2","3","1 & 2"
"26","0.998975056330745","3","3","1 & 2"
"27","0.998936273012266","4","3","1 & 2"
"28","0.998896968328793","5","3","1 & 2"
"29","0.99885796862496","6","3","1 & 2"
"30","0.998820368482864","7","3","1 & 2"
"31","0.998785362556773","8","3","1 & 2"
"32","0.998754064245378","9","3","1 & 2"
"33","0.998727368088011","10","3","1 & 2"
"34","0.997326488820491","0","4","1 & 2"
"35","0.997393552691933","1","4","1 & 2"
"36","0.997491395270376","2","4","1 & 2"
"37","0.997614948973778","3","4","1 & 2"
"38","0.997756054665768","4","4","1 & 2"
"39","0.997904820349657","5","4","1 & 2"
"40","0.998051107600812","6","4","1 & 2"
"41","0.998185732225629","7","4","1 & 2"
"42","0.998301342481775","8","4","1 & 2"
"43","0.998393189334185","9","4","1 & 2"
"44","0.998459830126631","10","4","1 & 2"
"45","0.999847155790335","0","5","1 & 2"
"46","0.999839458713339","1","5","1 & 2"
"47","0.99983159024003","2","5","1 & 2"
"48","0.999823870782071","3","5","1 & 2"
"49","0.999816409636238","4","5","1 & 2"
"50","0.999809100875941","5","5","1 & 2"
"51","0.999801704895854","6","5","1 & 2"
"52","0.999793974843406","7","5","1 & 2"
"53","0.999785769347631","8","5","1 & 2"
"54","0.999777110440387","9","5","1 & 2"
"55","0.99976817750632","10","5","1 & 2"
"56","0.921935369711345","0","6","1 & 2"
"57","0.923011784570331","1","6","1 & 2"
"58","0.923683798776764","2","6","1 & 2"
"59","0.924040310584763","3","6","1 & 2"
"60","0.924171287398075","4","6","1 & 2"
"61","0.924145071701085","5","6","1 & 2"
"62","0.924026938848132","6","6","1 & 2"
"63","0.923900997350879","7","6","1 & 2"
"64","0.9238591798978","8","6","1 & 2"
"65","0.92395947591681","9","6","1 & 2"
"66","0.924189270925134","10","6","1 & 2"
"67","0.997564327595754","0","7","1 & 2"
"68","0.997736539714771","1","7","1 & 2"
"69","0.997893609132353","2","7","1 & 2"
"70","0.998033220778331","3","7","1 & 2"
"71","0.998154131748266","4","7","1 & 2"
"72","0.998256200404855","5","7","1 & 2"
"73","0.998340188404681","6","7","1 & 2"
"74","0.998407427275122","7","7","1 & 2"
"75","0.998459483691908","8","7","1 & 2"
"76","0.998497930905809","9","7","1 & 2"
"77","0.998524257102344","10","7","1 & 2"
"78","0.998392922893555","0","8","1 & 2"
"79","0.998432633675881","1","8","1 & 2"
"80","0.998472474423751","2","8","1 & 2"
"81","0.998510000210148","3","8","1 & 2"
"82","0.998543217960096","4","8","1 & 2"
"83","0.998570949567388","5","8","1 & 2"
"84","0.998592980454238","6","8","1 & 2"
"85","0.998609914816232","7","8","1 & 2"
"86","0.998622816648108","8","8","1 & 2"
"87","0.998632811737436","9","8","1 & 2"
"88","0.998640774215078","10","8","1 & 2"
"89","0.978580473058874","0","9","1 & 2"
"90","0.978335093756746","1","9","1 & 2"
"91","0.9780943072219","2","9","1 & 2"
"92","0.977863823182626","3","9","1 & 2"
"93","0.977652614981238","4","9","1 & 2"
"94","0.977472146055119","5","9","1 & 2"
"95","0.9773347861119","6","9","1 & 2"
"96","0.977251632793712","7","9","1 & 2"
"97","0.977230234935114","8","9","1 & 2"
"98","0.977272894935683","9","9","1 & 2"
"99","0.97737613046015","10","9","1 & 2"
"100","0.998445194887621","0","10","1 & 2"
"101","0.998537874055305","1","10","1 & 2"
"102","0.998635797323236","2","10","1 & 2"
"103","0.998737086640741","3","10","1 & 2"
"104","0.998837977740191","4","10","1 & 2"
"105","0.998933615192574","5","10","1 & 2"
"106","0.999019394413044","6","10","1 & 2"
"107","0.999092253043503","7","10","1 & 2"
"108","0.999151318742645","8","10","1 & 2"
"109","0.999197683681565","9","10","1 & 2"
"110","0.999233544539981","10","10","1 & 2"
"111","0.986973195280822","0","11","1 & 2"
"112","0.987666207802454","1","11","1 & 2"
"113","0.988382449266046","2","11","1 & 2"
"114","0.989099708129205","3","11","1 & 2"
"115","0.989792739902508","4","11","1 & 2"
"116","0.990438709115195","5","11","1 & 2"
"117","0.991021945680369","6","11","1 & 2"
"118","0.991536003596333","7","11","1 & 2"
"119","0.991982561788404","8","11","1 & 2"
"120","0.992368376579348","9","11","1 & 2"
"121","0.992702079575178","10","11","1 & 2"
"122","0.967562343153432","0","12","1 & 2"
"123","0.96724720702763","1","12","1 & 2"
"124","0.966915099695809","2","12","1 & 2"
"125","0.966584986677784","3","12","1 & 2"
"126","0.966284059423983","4","12","1 & 2"
"127","0.966049069680985","5","12","1 & 2"
"128","0.965923393282623","6","12","1 & 2"
"129","0.965946626366261","7","12","1 & 2"
"130","0.966140433793939","8","12","1 & 2"
"131","0.966499528707943","9","12","1 & 2"
"132","0.966994222844253","10","12","1 & 2"
"133","0.998826074140431","0","13","1 & 2"
"134","0.998819258770645","1","13","1 & 2"
"135","0.998825559637458","2","13","1 & 2"
"136","0.99884574526185","3","13","1 & 2"
"137","0.998878993600267","4","13","1 & 2"
"138","0.998922743610786","5","13","1 & 2"
"139","0.998973034223321","6","13","1 & 2"
"140","0.999025262014987","7","13","1 & 2"
"141","0.999075103624903","8","13","1 & 2"
"142","0.999119308545813","9","13","1 & 2"
"143","0.999156156179513","10","13","1 & 2"
"144","0.955256432320525","0","14","1 & 2"
"145","0.955370883279585","1","14","1 & 2"
"146","0.955525968756469","2","14","1 & 2"
"147","0.955713906947962","3","14","1 & 2"
"148","0.95592223069411","4","14","1 & 2"
"149","0.956135660672542","5","14","1 & 2"
"150","0.956338722610788","6","14","1 & 2"
"151","0.956518345657549","7","14","1 & 2"
"152","0.956665648010255","8","14","1 & 2"
"153","0.956776458132227","9","14","1 & 2"
"154","0.956850673211221","10","14","1 & 2"
"155","0.997776699898558","0","15","1 & 2"
"156","0.997638948170262","1","15","1 & 2"
"157","0.997504279057842","2","15","1 & 2"
"158","0.997374457020273","3","15","1 & 2"
"159","0.997251592119734","4","15","1 & 2"
"160","0.997138425003062","5","15","1 & 2"
"161","0.997038345022356","6","15","1 & 2"
