"","combi","period_diff","ci_width"
"1","1 - 2",0,5.4705111472375
"2","1 - 3",0,4.64231217282333
"3","1 - 4",0,4.73901108580721
"4","1 - 5",0,4.79549387643491
"5","1 - 6",0.111111111111111,0.578080215558667
"6","1 - 7",0,1.85476961881333
"7","1 - 8",0,0.935825881824317
"8","1 - 9",0.150793650793651,0.596314765897059
"9","1 - 10",0,0.576492596207225
"10","2 - 3",0,5.93379059787839
"11","2 - 4",0,5.85547920578685
"12","2 - 5",0,5.90030553154021
"13","2 - 6",0.126984126984127,0.57244476927119
"14","2 - 7",0,2.58308074961453
"15","2 - 8",0,1.56341696814004
"16","2 - 9",0.0952380952380952,0.643612037567222
"17","2 - 10",0,0.682991533004567
"18","3 - 4",0,5.76693261908733
"19","3 - 5",0,5.91690863761365
"20","3 - 6",0.142857142857143,0.581400363247927
"21","3 - 7",0,1.83418340728472
"22","3 - 8",0,0.897367701240879
"23","3 - 9",0.26984126984127,0.594945590244939
"24","3 - 10",0,0.573627910845959
"25","4 - 5",0,5.71354403815738
"26","4 - 6",0,0.57336954002503
"27","4 - 7",0,1.93290942410375
"28","4 - 8",0,0.995948995671376
"29","4 - 9",0,0.599120367029373
"30","4 - 10",0,0.579924728136633
"31","5 - 6",0.0952380952380952,0.573762782657425
"32","5 - 7",0,1.92698854781996
"33","5 - 8",0,0.988084075466972
"34","5 - 9",0.103174603174603,0.598665644441139
"35","5 - 10",0,0.578687827752709
"36","6 - 7",0.0238095238095238,0.564529642987557
"37","6 - 8",0.103174603174603,0.58071703146461
"38","6 - 9",0.214285714285714,0.565340801821617
"39","6 - 10",0,0.587092149027502
"40","7 - 8",0,1.09489682005157
"41","7 - 9",0,0.614080520476801
"42","7 - 10",0,0.611664991370966
"43","8 - 9",0.150793650793651,0.593038812409835
"44","8 - 10",0,0.572161284574243
"45","9 - 10",0,0.576666179681934
