"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.64416206907624,0.0620986445586004,1977,1,"WAH3",-3.51996477995904,-3.76835935819344,-3.43354968967409,-3.85477444847839,0.421224758804308
"2",-3.64309500120584,0.0613848630636504,1977.336,1,"WAH3",-3.52032527507854,-3.76586472733314,-3.43490346721977,-3.85128653519191,0.416383067972142
"3",-3.64202793303777,0.0606748276884542,1977.672,1,"WAH3",-3.52067827766086,-3.76337758841467,-3.43624453921148,-3.84781132686405,0.411566787652572
"4",-3.64096086427434,0.0599686760990553,1978.008,1,"WAH3",-3.52102351207623,-3.76089821647246,-3.43757243844646,-3.84434929010223,0.406776851655771
"5",-3.63989379470596,0.0592665429760717,1978.344,1,"WAH3",-3.52136070875382,-3.7584268806581,-3.43888670793531,-3.84090088147661,0.402014173541305
"6",-3.63882672445095,0.0585685626328628,1978.68,1,"WAH3",-3.52168959918522,-3.75596384971667,-3.44018689226216,-3.83746655663973,0.397279664377568
"7",-3.63775965370401,0.057874863575217,1979.016,1,"WAH3",-3.52200992655358,-3.75350938085445,-3.44147255578437,-3.83404675162366,0.392574195839299
"8",-3.63669258291746,0.0571855691875265,1979.352,1,"WAH3",-3.52232144454241,-3.75106372129252,-3.44274328048646,-3.83064188534847,0.387898604862009
"9",-3.63562551343716,0.0565008018970519,1979.688,1,"WAH3",-3.52262390964305,-3.74862711723126,-3.44399865249274,-3.82725237438158,0.383253721888838
"10",-3.63455844680271,0.0558206821298191,1980.024,1,"WAH3",-3.52291708254307,-3.74619981106235,-3.44523826490859,-3.82387862869683,0.378640363788239
"11",-3.63349138498754,0.0551453308695265,1980.36,1,"WAH3",-3.52320072324849,-3.74378204672659,-3.44646170938182,-3.82052106059326,0.374059351211443
"12",-3.63242433136716,0.0544748753150872,1980.696,1,"WAH3",-3.52347458073699,-3.74137408199734,-3.44766855788294,-3.81718010485139,0.36951154696845
"13",-3.63135728960021,0.0538094474682417,1981.032,1,"WAH3",-3.52373839466373,-3.7389761845367,-3.44885836637642,-3.813856212824,0.364997846447586
"14",-3.63029026393333,0.0531491862099527,1981.368,1,"WAH3",-3.52399189151342,-3.73658863635323,-3.45003066808333,-3.81054985978333,0.360519191700006
"15",-3.62922326038488,0.0524942417692589,1981.704,1,"WAH3",-3.52423477684637,-3.7342117439234,-3.45118495950857,-3.8072615612612,0.356076601752634
"16",-3.62815628530645,0.051844771948776,1982.04,1,"WAH3",-3.5244667414089,-3.731845829204,-3.45232071180388,-3.80399185880902,0.351671147005141
"17",-3.62708934574712,0.0512009425240091,1982.376,1,"WAH3",-3.5246874606991,-3.72949123079514,-3.45343736977785,-3.80074132171639,0.347303951938546
"18",-3.62602245071661,0.0505629293693612,1982.712,1,"WAH3",-3.52489659197789,-3.72714830945533,-3.45453434594848,-3.79751055548474,0.342976209536263
"19",-3.62495560956807,0.0499309138097968,1983.048,1,"WAH3",-3.52509378194847,-3.72481743718766,-3.45561103469121,-3.79430018444492,0.338689149753712
"20",-3.62388883240644,0.04930508237716,1983.384,1,"WAH3",-3.52527866765212,-3.72249899716076,-3.45666681347375,-3.79111085133913,0.334444037865388
"21",-3.62282213130937,0.0486856282709965,1983.72,1,"WAH3",-3.52545087476738,-3.72019338785137,-3.45770103912246,-3.78794322349629,0.330242184373838
"22",-3.62175551867641,0.0480727479912719,1984.056,1,"WAH3",-3.52561002269386,-3.71790101465895,-3.45871305759197,-3.78479797976085,0.326084922168874
"23",-3.62068900765973,0.0474666421594295,1984.392,1,"WAH3",-3.52575572334088,-3.71562229197859,-3.45970220161127,-3.7816758137082,0.321973612096932
"24",-3.61962261325658,0.0468675182971969,1984.728,1,"WAH3",-3.52588757666218,-3.71335764985097,-3.4606677823515,-3.77857744416165,0.317909661810148
"25",-3.61855635074465,0.0462755887122284,1985.064,1,"WAH3",-3.52600517332019,-3.7111075281691,-3.46160909503248,-3.77550360645682,0.313894511424342
"26",-3.61749023611068,0.0456910726283538,1985.4,1,"WAH3",-3.52610809085397,-3.70887238136739,-3.46252541212627,-3.7724550600951,0.309929647968829
"27",-3.61642428696627,0.0451141999946864,1985.736,1,"WAH3",-3.5261958869769,-3.70665268695565,-3.46341597135418,-3.76943260257837,0.306016631224187
"28",-3.61535852115321,0.0445452087929018,1986.072,1,"WAH3",-3.52626810356741,-3.70444893873902,-3.46427998342465,-3.76643705888177,0.302157075457115
"29",-3.61429295714209,0.0439843471752055,1986.408,1,"WAH3",-3.52632426279167,-3.7022616514925,-3.46511662518079,-3.76346928910338,0.298352663922596
"30",-3.61322761475154,0.0434318764784942,1986.744,1,"WAH3",-3.52636386179455,-3.70009136770853,-3.46592503009683,-3.76053019940625,0.294605169309424
"31",-3.61216251397816,0.04288806692359,1987.08,1,"WAH3",-3.52638638013098,-3.69793864782534,-3.46670430169444,-3.75762072626188,0.290916424567438
"32",-3.61109767533095,0.0423531988081139,1987.416,1,"WAH3",-3.52639127771473,-3.69580407294718,-3.46745350983147,-3.75474184083044,0.287288330998972
"33",-3.61003312034727,0.0418275640641201,1987.752,1,"WAH3",-3.52637799221903,-3.69368824847551,-3.46817168593501,-3.75189455475954,0.283722868824528
"34",-3.60896887069066,0.0413114613014579,1988.088,1,"WAH3",-3.52634594808774,-3.69159179329358,-3.46885783891009,-3.74907990247122,0.28022206356113
"35",-3.60790494837638,0.0408051967235478,1988.424,1,"WAH3",-3.52629455492928,-3.68951534182347,-3.46951095225929,-3.74629894449347,0.276787992234176
"36",-3.60684137608087,0.0403090855217053,1988.76,1,"WAH3",-3.52622320503746,-3.68745954712428,-3.47012997966319,-3.74355277249854,0.273422792835355
"37",-3.60577817655511,0.0398234475532601,1989.096,1,"WAH3",-3.52613128144859,-3.68542507166163,-3.47071385905178,-3.74084249405843,0.270128635006652
"38",-3.60471537268542,0.0393486092468089,1989.432,1,"WAH3",-3.52601815419181,-3.68341259117904,-3.47126150620343,-3.73816923916741,0.266907732963981
"39",-3.60365298759661,0.0388849059975471,1989.768,1,"WAH3",-3.52588317560151,-3.6814227995917,-3.47177180672407,-3.73553416846915,0.263762361745084
"40",-3.60259104443574,0.0384326781328454,1990.104,1,"WAH3",-3.52572568817005,-3.67945640070143,-3.47224362951403,-3.73293845935745,0.260694829843421
"41",-3.60152956620821,0.0379922738257147,1990.44,1,"WAH3",-3.52554501855678,-3.67751411385964,-3.47267581672289,-3.73038331569353,0.257707498970643
"42",-3.6004685756853,0.0375640517099851,1990.776,1,"WAH3",-3.52534047226533,-3.67559667910527,-3.47306717478741,-3.72786997658318,0.25480280179577
"43",-3.59940809560853,0.0371483756117853,1991.112,1,"WAH3",-3.52511134438496,-3.6737048468321,-3.47341649250454,-3.72539969871252,0.251983206207984
"44",-3.59834814825024,0.0367456171742963,1991.448,1,"WAH3",-3.52485691390165,-3.67183938259883,-3.47372253168986,-3.72297376481061,0.249251233120752
"45",-3.59728875515549,0.0363561570573311,1991.784,1,"WAH3",-3.52457644104082,-3.67000106927015,-3.47398402285111,-3.72059348745986,0.246609464608755
"46",-3.59622993779068,0.0359803778910382,1992.12,1,"WAH3",-3.5242691820086,-3.66819069357275,-3.47419968973479,-3.71826018584656,0.244060496111769
"47",-3.5951717168031,0.0356186658277922,1992.456,1,"WAH3",-3.52393438514752,-3.66640904845869,-3.47436824332242,-3.71597519028379,0.241606946961374
"48",-3.59411411164842,0.0352714101734255,1992.792,1,"WAH3",-3.52357129130157,-3.66465693199527,-3.47448838270864,-3.71373984058819,0.239251457879547
"49",-3.59305714166197,0.0349389957355295,1993.128,1,"WAH3",-3.52317915019091,-3.66293513313303,-3.47455882212397,-3.71155546119997,0.236996639075996
