"","combi","period_diff","ci_width"
"1","1 - 2",0,7.57356789704029
"2","1 - 3",0,7.68767024075377
"3","1 - 4",0,7.4234029304904
"4","1 - 5",0,7.74597011260871
"5","1 - 6",0.111111111111111,0.523066895644259
"6","1 - 7",0,7.77578965835216
"7","1 - 8",0.103174603174603,0.525434506167475
"8","1 - 9",0,7.68858305526576
"9","1 - 10",0,0.524444924640704
"10","2 - 3",0,7.57781665224399
"11","2 - 4",0,7.50112480626189
"12","2 - 5",0,7.6028792495009
"13","2 - 6",0.111111111111111,0.529601243351806
"14","2 - 7",0,7.64296484815178
"15","2 - 8",0.0873015873015873,0.540390782810917
"16","2 - 9",0,7.62631948512489
"17","2 - 10",0,0.602538264342029
"18","3 - 4",0,7.42036769035572
"19","3 - 5",0,7.78074655012518
"20","3 - 6",0.103174603174603,0.527768755987615
"21","3 - 7",0,7.79658217514576
"22","3 - 8",0.103174603174603,0.531511238980146
"23","3 - 9",0,7.69682979641351
"24","3 - 10",0,0.523989177082907
"25","4 - 5",0,7.51590988974262
"26","4 - 6",0.111111111111111,0.518552886030798
"27","4 - 7",0,7.63178197896679
"28","4 - 8",0.103174603174603,0.518954720260094
"29","4 - 9",0,7.60957840738905
"30","4 - 10",0,0.526103134166296
"31","5 - 6",0.111111111111111,0.519353470173875
"32","5 - 7",0,7.81577725820166
"33","5 - 8",0.103174603174603,0.520257388564794
"34","5 - 9",0,7.7142143209145
"35","5 - 10",0,0.526238179300132
"36","6 - 7",0.119047619047619,0.512399623308895
"37","6 - 8",0,0.546791191056833
"38","6 - 9",0.0793650793650794,0.531106103244471
"39","6 - 10",0,0.538628637302284
"40","7 - 8",0.103174603174603,0.51224087267978
"41","7 - 9",0,7.73327681230693
"42","7 - 10",0,0.547376692403804
"43","8 - 9",0.0714285714285714,0.541925684921
"44","8 - 10",0,0.541039278880436
"45","9 - 10",0,0.606196420099349
