"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.68243998248526,0.0607771243648354,1977,1,"WAH3",-3.56088573375559,-3.80399423121493,-3.47397487794857,-3.89090508702196,0.41693020907339
"2",-3.68223890845788,0.0600929932138849,1977.336,1,"WAH3",-3.56205292203011,-3.80242489488565,-3.47612036890579,-3.88835744800996,0.412237079104172
"3",-3.682037834447,0.0594116027822237,1977.672,1,"WAH3",-3.56321462888255,-3.80086104001145,-3.47825645923184,-3.88581920966216,0.407562750430315
"4",-3.68183676046914,0.0587330488497244,1978.008,1,"WAH3",-3.5643706627697,-3.79930285816859,-3.48038282041895,-3.88329070051934,0.402907880100383
"5",-3.68163568654791,0.0580574305232909,1978.344,1,"WAH3",-3.56552082550133,-3.7977505475945,-3.48249911255475,-3.88077226054108,0.398273147986326
"6",-3.68143461273334,0.0573848506290308,1978.68,1,"WAH3",-3.56666491147528,-3.7962043139914,-3.48460498299645,-3.87826424247023,0.393659259473781
"7",-3.68123353908162,0.0567154154281665,1979.016,1,"WAH3",-3.56780270822529,-3.79466436993796,-3.48670006732501,-3.87576701083823,0.389066943513223
"8",-3.68103246566035,0.0560492348606372,1979.352,1,"WAH3",-3.56893399593908,-3.79313093538163,-3.48878398851482,-3.87328094280589,0.384496954291072
"9",-3.6808313925767,0.0553864230916969,1979.688,1,"WAH3",-3.57005854639331,-3.7916042387601,-3.49085635508703,-3.87080643006638,0.379950074979347
"10",-3.68063031994643,0.0547270986232833,1980.024,1,"WAH3",-3.57117612269986,-3.790084517193,-3.4929167606966,-3.86834387919626,0.375427118499657
"11",-3.68042924790034,0.0540713847200176,1980.36,1,"WAH3",-3.57228647846031,-3.78857201734038,-3.49496478267757,-3.86589371312312,0.37092893044555
"12",-3.68022817661793,0.0534194101063873,1980.696,1,"WAH3",-3.57338935640516,-3.78706699683071,-3.49699997968534,-3.86345637355052,0.36645639386518
"13",-3.68002710628851,0.0527713090717854,1981.032,1,"WAH3",-3.57448448814494,-3.78556972443208,-3.49902189129758,-3.86103232127945,0.362010429981874
"14",-3.67982603711855,0.0521272218807954,1981.368,1,"WAH3",-3.57557159335696,-3.78408048088014,-3.50103003661421,-3.85862203762289,0.357592001008681
"15",-3.67962496936622,0.0514872953949195,1981.704,1,"WAH3",-3.57665037857638,-3.78259956015606,-3.50302391215951,-3.85622602657293,0.353202114413418
"16",-3.6794239032994,0.0508516830034958,1982.04,1,"WAH3",-3.57772053729241,-3.78112726930639,-3.50500299207701,-3.85384481452178,0.348841822444763
"17",-3.67922283920265,0.0502205449170491,1982.376,1,"WAH3",-3.57878174936855,-3.77966392903675,-3.50696672713033,-3.85147895127497,0.34451222414464
"18",-3.67902177740743,0.0495940486148227,1982.712,1,"WAH3",-3.57983368017778,-3.77820987463707,-3.50891454319829,-3.84912901161657,0.340214468418274
"19",-3.67882071825339,0.0489723687252937,1983.048,1,"WAH3",-3.5808759808028,-3.77676545570398,-3.51084584164612,-3.84679559486066,0.335949753214539
"20",-3.67861966209293,0.0483556872863731,1983.384,1,"WAH3",-3.58190828752018,-3.77533103666568,-3.51275999843747,-3.84447932574839,0.331719327310913
"21",-3.67841860931184,0.0477441941554547,1983.72,1,"WAH3",-3.58293022100093,-3.77390699762275,-3.51465636274863,-3.84218085587505,0.327524493126421
"22",-3.67821756030136,0.0471380870151452,1984.056,1,"WAH3",-3.58394138627107,-3.77249373433165,-3.51653425692089,-3.83990086368182,0.323366606760933
"23",-3.67801651545754,0.0465375717363461,1984.392,1,"WAH3",-3.58494137198485,-3.77109165893024,-3.51839297521459,-3.8376400557005,0.319247080485908
"24",-3.67781547518836,0.0459428629084081,1984.728,1,"WAH3",-3.58592974937155,-3.76970120100518,-3.52023178199774,-3.83539916837898,0.315167386381238
"25",-3.67761443990352,0.0453541839557131,1985.064,1,"WAH3",-3.5869060719921,-3.76832280781495,-3.52204991133602,-3.83317896847103,0.311129057135008
"26",-3.67741341000606,0.0447717676101166,1985.4,1,"WAH3",-3.58786987478583,-3.76695694522629,-3.52384656536384,-3.83098025464828,0.307133689284439
"27",-3.67721238588368,0.0441958565203784,1985.736,1,"WAH3",-3.58882067284292,-3.76560409892443,-3.52562091218539,-3.82880385958196,0.303182947396573
"28",-3.67701136792184,0.0436267033050534,1986.072,1,"WAH3",-3.58975796131173,-3.76426477453195,-3.52737208570629,-3.82665065013739,0.299278564431105
"29",-3.67681035648538,0.0430645710014093,1986.408,1,"WAH3",-3.59068121448256,-3.76293949848819,-3.5290991840754,-3.82452152889535,0.29542234481995
"30",-3.67660935189491,0.0425097335733113,1986.744,1,"WAH3",-3.59158988474829,-3.76162881904153,-3.53080126791925,-3.82241743587058,0.29161616795133
"31",-3.6764083544651,0.0419624757819654,1987.08,1,"WAH3",-3.59248340290117,-3.76033330602903,-3.53247736082356,-3.82033934810663,0.287861987283071
"32",-3.67620736447575,0.041423093495128,1987.416,1,"WAH3",-3.5933611774855,-3.75905355146601,-3.53412644824387,-3.81828828070764,0.284161832463773
"33",-3.67600638213679,0.0408918939968655,1987.752,1,"WAH3",-3.59422259414306,-3.75779017013052,-3.53574747640791,-3.81626528786568,0.280517811457764
"34",-3.67580540764934,0.0403691957102138,1988.088,1,"WAH3",-3.59506701622891,-3.75654379906977,-3.53733935332807,-3.81427146197061,0.276932108642544
"35",-3.67560444116789,0.0398553283717676,1988.424,1,"WAH3",-3.59589378442435,-3.75531509791142,-3.53890094816466,-3.81230793417112,0.273406986006464
"36",-3.67540348275927,0.0393506331957306,1988.76,1,"WAH3",-3.5967022163678,-3.75410474915073,-3.54043109062221,-3.81037587489632,0.269944784274109
"37",-3.67520253248001,0.038855462494668,1989.096,1,"WAH3",-3.59749160749068,-3.75291345746935,-3.54192857232768,-3.80847649263235,0.26654792030467
"38",-3.67500159033326,0.0383701797585913,1989.432,1,"WAH3",-3.59826123081608,-3.75174194985045,-3.54339214651604,-3.80661103415049,0.263218887634456
"39",-3.67480065622807,0.0378951596983609,1989.768,1,"WAH3",-3.59901033683134,-3.75059097562479,-3.54482052784074,-3.80478078461539,0.259960256774644
"40",-3.67459973006314,0.0374307876557597,1990.104,1,"WAH3",-3.59973815475162,-3.74946130537466,-3.54621239448094,-3.80298706564533,0.256774671164385
"41",-3.67439881168386,0.0369774595049786,1990.44,1,"WAH3",-3.60044389267391,-3.74835373069382,-3.54756638843636,-3.80123123493136,0.253664846495
"42",-3.67419790084753,0.0365355814209663,1990.776,1,"WAH3",-3.6011267380056,-3.74726906368946,-3.5488811162871,-3.79951468540796,0.250633569120864
"43",-3.67399699730239,0.0361055688574358,1991.112,1,"WAH3",-3.60178585958752,-3.74620813501726,-3.55015515277812,-3.79783884182666,0.24768368904854
"44",-3.67379610075069,0.035687846066551,1991.448,1,"WAH3",-3.60242040861759,-3.74517179288379,-3.55138704242977,-3.79620515907161,0.244818116641842
"45",-3.67359521082336,0.0352828453580675,1991.784,1,"WAH3",-3.60302952010723,-3.7441609015395,-3.55257530205359,-3.79461511959314,0.242039817539547
"46",-3.67339432714457,0.0348910055049474,1992.12,1,"WAH3",-3.60361231613467,-3.74317633815446,-3.5537184262856,-3.79307022800353,0.239351801717937
"47",-3.67319344930573,0.0345127707247921,1992.456,1,"WAH3",-3.60416790785615,-3.74221899075532,-3.55481489105401,-3.79157200755746,0.236757116503441
"48",-3.67299257685069,0.0341485893337567,1992.792,1,"WAH3",-3.60469539818318,-3.74128975551821,-3.55586315818144,-3.79012199551995,0.234258837338511
"49",-3.67279170931915,0.0337989116076956,1993.128,1,"WAH3",-3.60519388610376,-3.74038953253454,-3.5568616827646,-3.7887217358737,0.231860053109107
"50",-3.67259084623457,0.0334641882410849,1993.464,1,"WAH3",-3.6056624697524,-3.73951922271674,-3.5578089184481,-3.78737277402103,0.229563855572924
"51",-3.67238998709822,0.0331448684799799,1993.8,1,"WAH3",-3.60610025013826,-3.73867972405818,-3.55870332382246,-3.78607665037398,0.227373326551519
"52",-3.67218913140978,0.0328413975266169,1994.136,1,"WAH3",-3.60650633635654,-3.73787192646301,-3.55954337134683,-3.78483489147273,0.2252915201259
"53",-3.67198827866879,0.0325542145974569,1994.472,1,"WAH3",-3.60687984947388,-3.7370967078637,-3.56032755401142,-3.78364900332616,0.223321449314747
"54",-3.67178742837465,0.0322837506473665,1994.808,1,"WAH3",-3.60721992707991,-3.73635492966938,-3.56105439314349,-3.7825204636058,0.221466070462317
"55",-3.67158658002709,0.0320304253651188,1995.144,1,"WAH3",-3.60752572929685,-3.73564743075733,-3.56172244871327,-3.7814507113409,0.219728262627628
"56",-3.67138573313815,0.0317946449394708,1995.48,1,"WAH3",-3.60779644325921,-3.73497502301709,-3.56233032700826,-3.78044113926804,0.218110812259777
"57",-3.67118488723466,0.0315767994487567,1995.816,1,"WAH3",-3.60803128833715,-3.73433848613217,-3.56287668958936,-3.77949308487996,0.216616395290592
"58",-3.67098404184499,0.0313772595536351,1996.152,1,"WAH3",-3.60822952273772,-3.73373856095226,-3.56336026462153,-3.77860781906845,0.215247554446919
"59",-3.67078319651637,0.0311963741148515,1996.488,1,"WAH3",-3.60839044828667,-3.73317594474607,-3.56377985506211,-3.77778653797063,0.214006682908515
"60",-3.67058235081743,0.0310344674447175,1996.824,1,"WAH3",-3.60851341592799,-3.73265128570686,-3.56413434809081,-3.77703035354404,0.212896005453225
"61",-3.67038150431867,0.0308918360390151,1997.16,1,"WAH3",-3.60859783224064,-3.7321651763967,-3.56442272629972,-3.77634028233762,0.2119175560379
"62",-3.67018065661007,0.0307687463864705,1997.496,1,"WAH3",-3.60864316383712,-3.73171814938301,-3.56464407522436,-3.77571723799577,0.211073162771412
"63",-3.66997980730224,0.0306654325379533,1997.832,1,"WAH3",-3.60864894222634,-3.73131067237815,-3.56479759168254,-3.77516202292194,0.210364431239398
"64",-3.66977895600753,0.0305820934213136,1998.168,1,"WAH3",-3.6086147691649,-3.73094314285016,-3.56488259296549,-3.77467531904957,0.209792726084084
"65",-3.669578102354,0.0305188913705125,1998.504,1,"WAH3",-3.60854031961297,-3.73061588509502,-3.56489852189693,-3.77425768281106,0.209359160914133
"66",-3.66937724598546,0.0304759505608865,1998.84,1,"WAH3",-3.60842534486369,-3.73032914710724,-3.56484495220017,-3.77390953977076,0.209064587570588
"67",-3.66917638654696,0.0304533553734439,1999.176,1,"WAH3",-3.60826967580007,-3.73008309729385,-3.56472159409398,-3.77363117899995,0.208909584905968
"68",-3.66897552369455,0.030451150086442,1999.512,1,"WAH3",-3.60807322352166,-3.72987782386743,-3.5645282953603,-3.77342275202879,0.208894456668488
"69",-3.66877465709462,0.0304693384845632,1999.848,1,"WAH3",-3.60783598012549,-3.72971333406375,-3.56426504268411,-3.77328427150513,0.209019228821014
"70",-3.66857378641447,0.0305078834336783,2000.184,1,"WAH3",-3.60755801954711,-3.72958955328182,-3.56393196310249,-3.77321560972644,0.20928364662395
"71",-3.66837291133018,0.0305667078345044,2000.52,1,"WAH3",-3.60723949566117,-3.72950632699919,-3.56352932074153,-3.77321650191884,0.209687181177309
"72",-3.66817203152564,0.0306456953607873,2000.856,1,"WAH3",-3.60688064080407,-3.72946342224722,-3.56305751428332,-3.77328654876796,0.210229034484643
"73",-3.66797114668571,0.0307446911452048,2001.192,1,"WAH3",-3.6064817643953,-3.72946052897612,-3.56251707460655,-3.77342521876487,0.210908144158322
"74",-3.66777025650708,0.0308635037885208,2001.528,1,"WAH3",-3.60604324893004,-3.72949726408412,-3.56190865790593,-3.77363185510824,0.211723197202309
"75",-3.66756936069628,0.0310019070112076,2001.864,1,"WAH3",-3.60556554667386,-3.72957317471869,-3.56123304002515,-3.77390568136741,0.21267264134226
"76",-3.6673684589615,0.0311596412592328,2002.2,1,"WAH3",-3.60504917644304,-3.72968774147997,-3.5604911109409,-3.7742458069821,0.213754696041202
