"","combi","period_diff","ci_width"
"1","1 - 2",0,1.01408526185103
"2","1 - 3",0,0.858235467335996
"3","1 - 4",0,0.863610037583977
"4","1 - 5",0,0.859477524207856
"5","1 - 6",0.166666666666667,0.88214196707172
"6","1 - 7",0.0952380952380952,0.853723037125257
"7","1 - 8",0,0.867308269220567
"8","1 - 9",0.341269841269841,0.85410326643208
"9","1 - 10",0,0.856930838734558
"10","2 - 3",0,1.41944944999999
"11","2 - 4",0,0.952008905537595
"12","2 - 5",0.0317460317460317,0.917705730875298
"13","2 - 6",0.134920634920635,0.88222317858456
"14","2 - 7",0.19047619047619,0.863814401736354
"15","2 - 8",0,0.967515658572956
"16","2 - 9",0.365079365079365,0.865232594380642
"17","2 - 10",0,0.968477522340013
"18","3 - 4",0,0.861723128211332
"19","3 - 5",0,0.857984274705025
"20","3 - 6",0.166666666666667,0.892356195511171
"21","3 - 7",0.119047619047619,0.849199712352187
"22","3 - 8",0.0317460317460317,0.875597549130607
"23","3 - 9",0.357142857142857,0.855127309753071
"24","3 - 10",0.0396825396825397,0.854699761580298
"25","4 - 5",0,0.862852060920637
"26","4 - 6",0.293650793650794,0.880348442400985
"27","4 - 7",0.0317460317460317,0.854825246538755
"28","4 - 8",0.0952380952380952,0.86903606748735
"29","4 - 9",0.246031746031746,0.854999088261137
"30","4 - 10",0.111111111111111,0.863645992162901
"31","5 - 6",0.277777777777778,0.883957373943855
"32","5 - 7",0,0.85766806730916
"33","5 - 8",0.0952380952380952,0.870380269842743
"34","5 - 9",0.23015873015873,0.853721191290347
"35","5 - 10",0.119047619047619,0.859941134819818
"36","6 - 7",0.325396825396825,0.866588221445523
"37","6 - 8",0.150793650793651,0.912651529357621
"38","6 - 9",0.515873015873016,0.859108092296945
"39","6 - 10",0.198412698412698,0.879888220881544
"40","7 - 8",0.134920634920635,0.85720545418435
"41","7 - 9",0.246031746031746,0.849467289117793
"42","7 - 10",0.158730158730159,0.852932708753303
"43","8 - 9",0.365079365079365,0.854645545069471
"44","8 - 10",0,0.865164255708485
"45","9 - 10",0.436507936507937,0.853680614617955
