"","V1","V2","V3","V4"
"1","0.727572335899602","0","1","1 & 2"
"2","0.733427295941751","1","1","1 & 2"
"3","0.738653599019587","2","1","1 & 2"
"4","0.74341346925142","3","1","1 & 2"
"5","0.747950815447998","4","1","1 & 2"
"6","0.75243544899579","5","1","1 & 2"
"7","0.75691741801748","6","1","1 & 2"
"8","0.761381530011722","7","1","1 & 2"
"9","0.765835990348247","8","1","1 & 2"
"10","0.770380227864746","9","1","1 & 2"
"11","0.775224044555089","10","1","1 & 2"
"12","0.37706627273464","0","2","1 & 2"
"13","0.379999028775267","1","2","1 & 2"
"14","0.385688478779434","2","2","1 & 2"
"15","0.394219930248679","3","2","1 & 2"
"16","0.405262011131501","4","2","1 & 2"
"17","0.418103755256572","5","2","1 & 2"
"18","0.431806979409542","6","2","1 & 2"
"19","0.44542532095304","7","2","1 & 2"
"20","0.458207374085959","8","2","1 & 2"
"21","0.469710753175593","9","2","1 & 2"
"22","0.479806699491822","10","2","1 & 2"
"23","-0.582557492008421","0","3","1 & 2"
"24","-0.592653069842133","1","3","1 & 2"
"25","-0.600946196330822","2","3","1 & 2"
"26","-0.607683940139841","3","3","1 & 2"
"27","-0.613310929855415","4","3","1 & 2"
"28","-0.618350350731153","5","3","1 & 2"
"29","-0.623301462641514","6","3","1 & 2"
"30","-0.628561567247088","7","3","1 & 2"
"31","-0.634369337859746","8","3","1 & 2"
"32","-0.640775878603678","9","3","1 & 2"
"33","-0.647657786296267","10","3","1 & 2"
"34","-0.542774108801077","0","4","1 & 2"
"35","-0.536383285364816","1","4","1 & 2"
"36","-0.530048229586588","2","4","1 & 2"
"37","-0.523875244869755","3","4","1 & 2"
"38","-0.517950298633983","4","4","1 & 2"
"39","-0.512348116015543","5","4","1 & 2"
"40","-0.50716016540244","6","4","1 & 2"
"41","-0.502528141754531","7","4","1 & 2"
"42","-0.498667154662737","8","4","1 & 2"
"43","-0.495864374835083","9","4","1 & 2"
"44","-0.494441921872549","10","4","1 & 2"
"45","0.499193739216523","0","5","1 & 2"
"46","0.508300202894353","1","5","1 & 2"
"47","0.518712414251363","2","5","1 & 2"
"48","0.530258393538403","3","5","1 & 2"
"49","0.542545765278047","4","5","1 & 2"
"50","0.555049982470559","5","5","1 & 2"
"51","0.567253513975307","6","5","1 & 2"
"52","0.578775917943922","7","5","1 & 2"
"53","0.589442494434313","8","5","1 & 2"
"54","0.599279231037014","9","5","1 & 2"
"55","0.608458876032057","10","5","1 & 2"
"56","0.554439980858636","0","6","1 & 2"
"57","0.602488431445566","1","6","1 & 2"
"58","0.644290546371566","2","6","1 & 2"
"59","0.678813454383417","3","6","1 & 2"
"60","0.70634588938804","4","6","1 & 2"
"61","0.72797681604945","5","6","1 & 2"
"62","0.745009858284635","6","6","1 & 2"
"63","0.75860572496713","7","6","1 & 2"
"64","0.769661911667757","8","6","1 & 2"
"65","0.778818190392678","9","6","1 & 2"
"66","0.786502291316166","10","6","1 & 2"
"67","0.275878588758477","0","7","1 & 2"
"68","0.32294997628516","1","7","1 & 2"
"69","0.368982328355842","2","7","1 & 2"
"70","0.412434506146676","3","7","1 & 2"
"71","0.452290271755736","4","7","1 & 2"
"72","0.488224762143056","5","7","1 & 2"
"73","0.520485262380027","6","7","1 & 2"
"74","0.549619013873721","7","7","1 & 2"
"75","0.576211685104156","8","7","1 & 2"
"76","0.600720554509174","9","7","1 & 2"
"77","0.623407936746291","10","7","1 & 2"
"78","0.596588374243503","0","8","1 & 2"
"79","0.592643567621738","1","8","1 & 2"
"80","0.589201715247453","2","8","1 & 2"
"81","0.586519935669824","3","8","1 & 2"
"82","0.58486436430796","4","8","1 & 2"
"83","0.584480992514786","5","8","1 & 2"
"84","0.585570665814714","6","8","1 & 2"
"85","0.588271269703595","7","8","1 & 2"
"86","0.592646110504723","8","8","1 & 2"
"87","0.598676249638255","9","8","1 & 2"
"88","0.606256142435226","10","8","1 & 2"
"89","0.696187938665226","0","9","1 & 2"
"90","0.705503427145455","1","9","1 & 2"
"91","0.714511620128321","2","9","1 & 2"
"92","0.723104312075279","3","9","1 & 2"
"93","0.731226305487941","4","9","1 & 2"
"94","0.738853949683913","5","9","1 & 2"
"95","0.745969920533262","6","9","1 & 2"
"96","0.752544589487685","7","9","1 & 2"
"97","0.758532295189181","8","9","1 & 2"
"98","0.763883930305897","9","9","1 & 2"
"99","0.768568010626327","10","9","1 & 2"
"100","0.497317281249565","0","10","1 & 2"
"101","0.514619738283011","1","10","1 & 2"
"102","0.531003966971635","2","10","1 & 2"
"103","0.546120195058491","3","10","1 & 2"
"104","0.559746237550611","4","10","1 & 2"
"105","0.57181580666181","5","10","1 & 2"
"106","0.582420331707245","6","10","1 & 2"
"107","0.591782793417217","7","10","1 & 2"
"108","0.600206404117724","8","10","1 & 2"
"109","0.608006203889484","9","10","1 & 2"
"110","0.615438570957863","10","10","1 & 2"
"111","-0.389909593762914","0","11","1 & 2"
"112","-0.410417681778747","1","11","1 & 2"
"113","-0.432735138904747","2","11","1 & 2"
"114","-0.456749033269197","3","11","1 & 2"
"115","-0.482046354116377","4","11","1 & 2"
"116","-0.507994706828339","5","11","1 & 2"
"117","-0.533889148180575","6","11","1 & 2"
"118","-0.559108295958175","7","11","1 & 2"
"119","-0.583221429753512","8","11","1 & 2"
"120","-0.606016984479527","9","11","1 & 2"
"121","-0.627459885445182","10","11","1 & 2"
"122","-0.461269005210581","0","12","1 & 2"
"123","-0.460106154525969","1","12","1 & 2"
"124","-0.459816080818069","2","12","1 & 2"
"125","-0.460484437248253","3","12","1 & 2"
"126","-0.462163036237029","4","12","1 & 2"
"127","-0.464868297908699","5","12","1 & 2"
"128","-0.468584082469283","6","12","1 & 2"
"129","-0.473266126388157","7","12","1 & 2"
"130","-0.478844468832549","8","12","1 & 2"
"131","-0.485221823772755","9","12","1 & 2"
"132","-0.492269960744677","10","12","1 & 2"
"133","0.585654610478875","0","13","1 & 2"
"134","0.600992214059101","1","13","1 & 2"
"135","0.613558164837968","2","13","1 & 2"
"136","0.623591562504392","3","13","1 & 2"
"137","0.631594921609312","4","13","1 & 2"
"138","0.638163899076282","5","13","1 & 2"
"139","0.643884229505479","6","13","1 & 2"
"140","0.649280361334032","7","13","1 & 2"
"141","0.654772742536533","8","13","1 & 2"
