"","combi","period_diff","ci_width"
"1","1 - 2",0,1.75056873926541
"2","1 - 3",0,0.436543831428223
"3","1 - 4",0,4.11478131163045
"4","1 - 5",0,0.43859713027004
"5","1 - 6",0,3.56032635919655
"6","1 - 7",0,2.21146120705991
"7","1 - 8",0,3.52706944450897
"8","1 - 9",0,3.63486378447492
"9","1 - 10",0,3.64864750470414
"10","2 - 3",0,0.463017858414675
"11","2 - 4",0,1.80246791939773
"12","2 - 5",0,0.497164205339612
"13","2 - 6",0,1.79753450132458
"14","2 - 7",0,1.7516883072399
"15","2 - 8",0,1.73965830843137
"16","2 - 9",0,2.13861864419714
"17","2 - 10",0,1.76661195539031
"18","3 - 4",0.0634920634920635,0.430239959950146
"19","3 - 5",0,0.467933642243068
"20","3 - 6",0.0793650793650794,0.427876968035269
"21","3 - 7",0.0317460317460317,0.428725476858672
"22","3 - 8",0.0714285714285714,0.43936636773375
"23","3 - 9",0.0476190476190476,0.473586226469192
"24","3 - 10",0.0634920634920635,0.434414835869755
"25","4 - 5",0,0.438076343896065
"26","4 - 6",0,4.07324825626907
"27","4 - 7",0,2.33466029042092
"28","4 - 8",0,4.20391941575727
"29","4 - 9",0,3.81398722073378
"30","4 - 10",0,4.29411423984653
"31","5 - 6",0,0.438853902092859
"32","5 - 7",0,0.450024095796253
"33","5 - 8",0,0.439526281409957
"34","5 - 9",0,0.512551683875961
"35","5 - 10",0,0.4383993721334
"36","6 - 7",0,2.29353462235213
"37","6 - 8",0,3.58949270468471
"38","6 - 9",0,3.64925446190701
"39","6 - 10",0,3.68905392018769
"40","7 - 8",0,2.19526251921559
"41","7 - 9",0,2.75265340548653
"42","7 - 10",0,2.24796119391101
"43","8 - 9",0,3.64708925515199
"44","8 - 10",0,3.69287711696963
"45","9 - 10",0,3.68136563952667
