"","combi","period_diff","ci_width"
"1","1 - 2",0,3.90764823571508
"2","1 - 3",0,4.29662876511579
"3","1 - 4",0,4.88637977858001
"4","1 - 5",0,1.28704977928289
"5","1 - 6",0,0.510203311123319
"6","1 - 7",0,4.61906821522624
"7","1 - 8",0,0.494084388479602
"8","1 - 9",0,3.48133320288343
"9","1 - 10",0,2.48236772775174
"10","2 - 3",0,3.8193269595617
"11","2 - 4",0,3.93204237998615
"12","2 - 5",0,2.0184931698603
"13","2 - 6",0,0.607660987570121
"14","2 - 7",0,3.99463424559636
"15","2 - 8",0,0.650187362412179
"16","2 - 9",0,3.55888394802231
"17","2 - 10",0,3.13549686222157
"18","3 - 4",0,4.40074380272405
"19","3 - 5",0,1.22071312201898
"20","3 - 6",0,0.513771743826462
"21","3 - 7",0,4.30736305511443
"22","3 - 8",0,0.494610225249762
"23","3 - 9",0,3.36812381795059
"24","3 - 10",0,2.30627964145341
"25","4 - 5",0,1.33592049683313
"26","4 - 6",0,0.509454473074664
"27","4 - 7",0,4.60184983682144
"28","4 - 8",0,0.496530811600123
"29","4 - 9",0,3.49211917434493
"30","4 - 10",0,2.52850374167079
"31","5 - 6",0,0.512372289078382
"32","5 - 7",0,1.62238268592357
"33","5 - 8",0,0.495214329554896
"34","5 - 9",0,1.85446400693521
"35","5 - 10",0,1.17418475015073
"36","6 - 7",0,0.523033082799113
"37","6 - 8",0,0.537996110321476
"38","6 - 9",0,0.580411874002258
"39","6 - 10",0,0.513115705417031
"40","7 - 8",0,0.532235976190141
"41","7 - 9",0,3.58597640969676
"42","7 - 10",0,2.88454013873001
"43","8 - 9",0,0.612387590308057
"44","8 - 10",0,0.497039693789876
"45","9 - 10",0,2.78408505724487
