"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.64721061710216,0.0594120589710334,1977,1,"WAH3",-3.5283864991601,-3.76603473504423,-3.45202971559437,-3.84239151860996,0.390361803015587
"2",-3.64400121755095,0.0587364388166424,1977.336,1,"WAH3",-3.52652833991767,-3.76147409518424,-3.45103986798421,-3.8369625671177,0.38592269913349
"3",-3.6407918180247,0.0580633424784994,1977.672,1,"WAH3",-3.5246651330677,-3.7569185029817,-3.45004172914065,-3.83154190690876,0.381500177768109
"4",-3.63758241854837,0.05739285944246,1978.008,1,"WAH3",-3.52279669966345,-3.75236813743329,-3.44903500510911,-3.82612983198764,0.37709482687853
"5",-3.63437301914954,0.0567250817604309,1978.344,1,"WAH3",-3.52092285562868,-3.7478231826704,-3.44801939350761,-3.82072664479147,0.37270725128386
"6",-3.63116361986551,0.0560601045936263,1978.68,1,"WAH3",-3.51904341067826,-3.74328382905277,-3.4469945817492,-3.81533265798183,0.368338076232636
"7",-3.62795422073587,0.055398025555536,1979.016,1,"WAH3",-3.5171581696248,-3.73875027184694,-3.44596024919294,-3.80994819227881,0.363987943085866
"8",-3.62474482180479,0.0547389449799162,1979.352,1,"WAH3",-3.51526693184496,-3.73422271176463,-3.44491606626588,-3.80457357734371,0.35965751107783
"9",-3.6215354231324,0.0540829667181808,1979.688,1,"WAH3",-3.51336948969604,-3.72970135656876,-3.44386169185476,-3.79920915441004,0.355347462555274
"10",-3.61832602478227,0.0534301981600447,1980.024,1,"WAH3",-3.51146562846218,-3.72518642110236,-3.44279677322574,-3.79385527633879,0.351058503113049
"11",-3.61511662682466,0.0527807508048334,1980.36,1,"WAH3",-3.50955512521499,-3.72067812843432,-3.44172094415073,-3.78851230949858,0.346791365347842
"12",-3.61190722935141,0.0521347413069773,1980.696,1,"WAH3",-3.50763774673746,-3.71617671196537,-3.44063382148765,-3.78318063721517,0.342546815727515
