"","V1","V2","V3","V4"
"1","0.718821880140066","0","1","1 & 2"
"2","0.702309417395607","1","1","1 & 2"
"3","0.664857791243328","2","1","1 & 2"
"4","0.608038170712121","3","1","1 & 2"
"5","0.53413693411963","4","1","1 & 2"
"6","0.446049951414599","5","1","1 & 2"
"7","0.347877445453301","6","1","1 & 2"
"8","0.245436520342981","7","1","1 & 2"
"9","0.145843750482061","8","1","1 & 2"
"10","0.056102686149961","9","1","1 & 2"
"11","-0.0184354759699287","10","1","1 & 2"
"12","0.540241711317835","0","2","1 & 2"
"13","0.598148461079987","1","2","1 & 2"
"14","0.630486639565104","2","2","1 & 2"
"15","0.635635752605231","3","2","1 & 2"
"16","0.614287194024864","4","2","1 & 2"
"17","0.569063928396695","5","2","1 & 2"
"18","0.504067882934111","6","2","1 & 2"
"19","0.4245292050447","7","2","1 & 2"
"20","0.336524620295691","8","2","1 & 2"
"21","0.246593071001848","9","2","1 & 2"
"22","0.161133267559087","10","2","1 & 2"
"23","0.0967472640920989","0","3","1 & 2"
"24","0.109381723017442","1","3","1 & 2"
"25","0.116555839916696","2","3","1 & 2"
"26","0.120119245433441","3","3","1 & 2"
"27","0.12231863374204","4","3","1 & 2"
"28","0.125098438035515","5","3","1 & 2"
"29","0.129440054368268","6","3","1 & 2"
"30","0.134951388740075","7","3","1 & 2"
"31","0.139910596467884","8","3","1 & 2"
"32","0.141870402121634","9","3","1 & 2"
"33","0.138726519599231","10","3","1 & 2"
"34","0.403928167306175","0","4","1 & 2"
"35","0.466778479615332","1","4","1 & 2"
"36","0.512273782111884","2","4","1 & 2"
"37","0.538514953369529","3","4","1 & 2"
"38","0.544970960951159","4","4","1 & 2"
"39","0.531847836676052","5","4","1 & 2"
"40","0.499974763611454","6","4","1 & 2"
"41","0.451306708100995","7","4","1 & 2"
"42","0.38955937883417","8","4","1 & 2"
"43","0.320258361335084","9","4","1 & 2"
"44","0.249841281739754","10","4","1 & 2"
"45","0.742165750789239","0","5","1 & 2"
"46","0.785133260307673","1","5","1 & 2"
"47","0.805844421356135","2","5","1 & 2"
"48","0.806171021884537","3","5","1 & 2"
"49","0.787850753164184","4","5","1 & 2"
"50","0.751828040208361","5","5","1 & 2"
"51","0.698885383774567","6","5","1 & 2"
"52","0.63076422268858","7","5","1 & 2"
"53","0.550853570355525","8","5","1 & 2"
"54","0.464051722379629","9","5","1 & 2"
"55","0.376038349065137","10","5","1 & 2"
"56","0.0740841923514907","0","6","1 & 2"
"57","0.0356466636385866","1","6","1 & 2"
"58","-0.0124018921412711","2","6","1 & 2"
"59","-0.0669935303188904","3","6","1 & 2"
"60","-0.124499711942394","4","6","1 & 2"
"61","-0.181055786803772","5","6","1 & 2"
"62","-0.232886674984068","6","6","1 & 2"
"63","-0.276636229613137","7","6","1 & 2"
"64","-0.309757692824922","8","6","1 & 2"
"65","-0.330951353168089","9","6","1 & 2"
"66","-0.340446346964266","10","6","1 & 2"
"67","0.425163501982062","0","7","1 & 2"
"68","0.410121931260123","1","7","1 & 2"
"69","0.37569817512211","2","7","1 & 2"
"70","0.328242829382422","3","7","1 & 2"
"71","0.272748182932299","4","7","1 & 2"
"72","0.212323297098037","5","7","1 & 2"
"73","0.1490887946196","6","7","1 & 2"
"74","0.0853075520612671","7","7","1 & 2"
"75","0.0238987621252387","8","7","1 & 2"
"76","-0.0318590653863625","9","7","1 & 2"
"77","-0.0790256556816668","10","7","1 & 2"
"78","0.649977652220035","0","8","1 & 2"
