"","combi","period_diff","ci_width"
"1","1 - 2",0,1.07363981119203
"2","1 - 3",0,0.866041066144508
"3","1 - 4",0,0.812214841254898
"4","1 - 5",0,0.818341989130159
"5","1 - 6",0,0.83309808233591
"6","1 - 7",0.317460317460317,0.814156170832127
"7","1 - 8",0.349206349206349,0.815839960937575
"8","1 - 9",0.0952380952380952,0.802647689257303
"9","1 - 10",0.0873015873015873,0.820260116844516
"10","2 - 3",0,0.939577777636557
"11","2 - 4",0,0.853680484104468
"12","2 - 5",0,0.879748693960636
"13","2 - 6",0,0.888644652240474
"14","2 - 7",0.301587301587302,0.815757121605798
"15","2 - 8",0.373015873015873,0.845798373913715
"16","2 - 9",0.103174603174603,0.816261820314829
"17","2 - 10",0.0555555555555556,0.87908738306288
"18","3 - 4",0,0.815230020489262
"19","3 - 5",0,0.814988824787481
"20","3 - 6",0,0.828055940953577
"21","3 - 7",0.317460317460317,0.811854748990217
"22","3 - 8",0.365079365079365,0.819566125257723
"23","3 - 9",0.134920634920635,0.803849420824325
"24","3 - 10",0.158730158730159,0.811701928760049
"25","4 - 5",0,0.812347657910142
"26","4 - 6",0,0.81431597881034
"27","4 - 7",0.182539682539683,0.815454402546901
"28","4 - 8",0.373015873015873,0.818362501506207
"29","4 - 9",0,0.804039141672602
"30","4 - 10",0.0714285714285714,0.81545921501832
"31","5 - 6",0,0.822070128913952
"32","5 - 7",0.277777777777778,0.808833000063667
"33","5 - 8",0.341269841269841,0.815839084854889
"34","5 - 9",0.0793650793650794,0.804093340129395
"35","5 - 10",0.150793650793651,0.808441089971977
"36","6 - 7",0.301587301587302,0.804425331557842
"37","6 - 8",0.126984126984127,0.825704317897518
"38","6 - 9",0.111111111111111,0.806860237041727
"39","6 - 10",0,0.813472998408438
"40","7 - 8",0.325396825396825,0.819272246330919
"41","7 - 9",0.150793650793651,0.800612820553099
"42","7 - 10",0.26984126984127,0.814804514600236
"43","8 - 9",0.19047619047619,0.801685294255261
"44","8 - 10",0.182539682539683,0.813356992625513
"45","9 - 10",0,0.802417767461799
