"","Seascapes","lag","si","cmi","bcmi","z"
"1","1 & 2",0,1.46376538638044,0.570146441639179,0.483473884941612,2.82666706286819
"2","1 & 2",1,1.46376538638044,0.546052134459639,0.464589622995443,3.41137728564517
"3","1 & 2",2,1.46376538638044,0.522564624862777,0.413001877038497,2.95747063974718
"4","1 & 2",3,1.46376538638044,0.500562644397966,0.398898996661757,2.6263249916998
"5","1 & 2",4,1.46376538638044,0.586927718029405,0.547370938575368,4.27788545013101
"6","1 & 2",5,1.46376538638044,0.595218135146565,0.541937040490121,3.98426386762293
"7","1 & 2",6,1.46376538638044,0.443975286694507,0.353434530049929,2.67810471308585
"8","1 & 2",7,1.46376538638044,0.476184117254762,0.436189033746031,3.05087507385153
"9","1 & 2",8,1.46376538638044,0.364929957040046,0.287989961989107,3.56514619729501
"10","1 & 2",9,1.46376538638044,0.479281027021226,0.418460049488738,3.03089447174582
"11","1 & 2",10,1.46376538638044,0.490171109864425,0.432182127058055,2.46352162359482
"12","1 & 3",0,1.46376538638044,0.549537423651057,0.499324480378454,3.50233167851604
"13","1 & 3",1,1.46376538638044,0.395128412908474,0.28461933434275,2.57918492505997
"14","1 & 3",2,1.46376538638044,0.483227901388355,0.406617847438257,3.06126675533735
"15","1 & 3",3,1.46376538638044,0.461254690834886,0.367850072236432,3.06406891471289
"16","1 & 3",4,1.46376538638044,0.418785491915962,0.301528282293859,2.03195448548161
"17","1 & 3",5,1.46376538638044,0.511425505858703,0.446736098496668,3.57357066754032
"18","1 & 3",6,1.46376538638044,0.49178080423666,0.44344424181993,2.92472677388793
"19","1 & 3",7,1.46376538638044,0.359969133197766,0.272973458076882,2.45762362410101
"20","1 & 3",8,1.46376538638044,0.513032832012975,0.466100001476133,3.91503306286245
"21","1 & 3",9,1.46376538638044,0.439875811140592,0.365686797295849,3.20272828604804
"22","1 & 3",10,1.46376538638044,0.482060363879956,0.429175206541747,3.3843027986512
"23","1 & 4",0,1.46376538638044,0.5652992479563,0.470523223698155,3.18292290539802
"24","1 & 4",1,1.46376538638044,0.518590050953544,0.422826161558076,3.10228258978437
"25","1 & 4",2,1.46376538638044,0.496313380381584,0.399026052840092,2.57108322420848
"26","1 & 4",3,1.46376538638044,0.451181004936988,0.353446463595532,3.07183967069589
"27","1 & 4",4,1.46376538638044,0.575605717462827,0.472612404452353,2.62491086348353
"28","1 & 4",5,1.46376538638044,0.458346382081826,0.355858900590074,2.12454926660173
"29","1 & 4",6,1.46376538638044,0.550330970941503,0.453800931927633,2.85243529037647
"30","1 & 4",7,1.46376538638044,0.321410770846409,0.175435445172964,1.44637793477262
"31","1 & 4",8,1.46376538638044,0.560110949049772,0.48005337307559,3.50242487250941
"32","1 & 4",9,1.46376538638044,0.428137038506821,0.336653831498953,2.08340592720272
"33","1 & 4",10,1.46376538638044,0.567363557088078,0.511281310082426,2.35749517003267
"34","1 & 5",0,1.46376538638044,0.399226378453834,0.341190933279012,3.04639681865425
"35","1 & 5",1,1.46376538638044,0.328979918636463,0.239826035612316,2.39410156093825
"36","1 & 5",2,1.46376538638044,0.308505923964029,0.230592114499007,2.44757763887387
"37","1 & 5",3,1.46376538638044,0.403566411561417,0.336729625978901,2.50434603591567
"38","1 & 5",4,1.46376538638044,0.385968187418143,0.296255158410277,2.97473135876989
"39","1 & 5",5,1.46376538638044,0.399167041616535,0.350099751716001,2.23357491857417
"40","1 & 5",6,1.46376538638044,0.465076812432495,0.438161495402062,2.4066630355627
"41","1 & 5",7,1.46376538638044,0.438510044455167,0.416164717187624,2.70642867691203
"42","1 & 5",8,1.46376538638044,0.382216186756725,0.32216966738025,3.30378912076151
"43","1 & 5",9,1.46376538638044,0.41184811092795,0.354154375776687,3.19336284565087
"44","1 & 5",10,1.46376538638044,0.394985969983979,0.318393359060662,1.87825612408591
"45","1 & 6",0,1.46376538638044,0.275481683577166,0.138943933476592,1.49612691642672
"46","1 & 6",1,1.46376538638044,0.370424569738065,0.276771264230874,2.47141082671101
"47","1 & 6",2,1.46376538638044,0.262416878902136,0.134902449575746,1.83567592808387
"48","1 & 6",3,1.46376538638044,0.368207667979169,0.27933913759878,2.77968903636842
"49","1 & 6",4,1.46376538638044,0.339184370709199,0.264409580123257,2.57061028739082
"50","1 & 6",5,1.46376538638044,0.312545819943762,0.228495928215988,2.15228069017407
"51","1 & 6",6,1.46376538638044,0.311437841912197,0.248848189766645,2.86488770121906
"52","1 & 6",7,1.46376538638044,0.232107462218465,0.153026322829295,1.69376427351124
"53","1 & 6",8,1.46376538638044,0.304490715828037,0.219454782420583,1.94814786666437
"54","1 & 6",9,1.46376538638044,0.279945689316679,0.176236379039304,1.42948108586232
"55","1 & 6",10,1.46376538638044,0.35080451531635,0.247271352746327,1.80303885469474
"56","1 & 7",0,1.46376538638044,0.644935474095722,0.571212065174094,3.20796042564667
"57","1 & 7",1,1.46376538638044,0.641997008622884,0.584210158466543,3.58251180958772
"58","1 & 7",2,1.46376538638044,0.664063440452392,0.613028214369536,3.60998110117475
"59","1 & 7",3,1.46376538638044,0.665355428189362,0.598533681630941,3.35808225649799
