"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.89802864328159,0.110488621496767,1977,1,"WAH3","D",-3.67705140028805,-4.11900588627512,-3.54579831837043,-4.25025896819275,0.704460649822321
"2",-3.88353470605024,0.103060972993882,1978,1,"WAH3","D",-3.67741276006248,-4.08965665203801,-3.5549832270696,-4.21208618503089,0.65710295796129
"3",-3.86901978751708,0.0964710626493003,1979,1,"WAH3","D",-3.67607766221848,-4.06196191281568,-3.56147650132917,-4.17656307370499,0.615086572375824
"4",-3.85446563771382,0.0908023898074674,1980,1,"WAH3","D",-3.67286085809889,-4.03607041732876,-3.56499370086347,-4.14393757456417,0.578943873700696
"5",-3.83987058079743,0.0860360369271608,1981,1,"WAH3","D",-3.66779850694311,-4.01194265465175,-3.56559345768381,-4.11414770391104,0.548554246227233
"6",-3.82526136855319,0.082105707242691,1982,1,"WAH3","D",-3.6610499540678,-3.98947278303857,-3.563513873224,-4.08700886388238,0.523494990658382
"7",-3.81069777340673,0.0789505924889292,1983,1,"WAH3","D",-3.65279658842887,-3.96859895838459,-3.55900857258601,-4.06238697422745,0.503378401641438
"8",-3.79626973010608,0.0765113185113607,1984,1,"WAH3","D",-3.64324709308335,-3.9492923671288,-3.55235677134564,-4.04018268886651,0.487825917520865
"9",-3.7820886259282,0.0746989934833216,1985,1,"WAH3","D",-3.63269063896156,-3.93148661289484,-3.54395323796939,-4.02022401388701,0.476270775917627
"10",-3.76827569826273,0.0733956799281781,1986,1,"WAH3","D",-3.62148433840638,-3.91506705811909,-3.53429518662304,-4.00225620990242,0.467961023279384
"11",-3.754950984616,0.0724900798946574,1987,1,"WAH3","D",-3.60997082482668,-3.89993114440531,-3.52385746522696,-3.98604450400504,0.462187038778077
"12",-3.74222574206742,0.0719016669136169,1988,1,"WAH3","D",-3.59842240824019,-3.88602907589465,-3.51300804385061,-3.97144344028423,0.458435396433623
"13",-3.73019989180589,0.0715681534791459,1989,1,"WAH3","D",-3.58706358484759,-3.87333619876418,-3.50204541207976,-3.95835437153201,0.456308959452246
"14",-3.71896428059628,0.0714239189341085,1990,1,"WAH3","D",-3.57611644272806,-3.86181211846449,-3.49126961093904,-3.94665895025351,0.455389339314467
"15",-3.70860592364593,0.0714038734897437,1991,1,"WAH3","D",-3.56579817666644,-3.85141367062542,-3.48097515752271,-3.93623668976915,0.455261532246446
"16",-3.69921338174735,0.0714652325261948,1992,1,"WAH3","D",-3.55628291669497,-3.84214384679974,-3.47138700712569,-3.92703975636902,0.455652749243321
"17",-3.69087930976702,0.0715933431470726,1993,1,"WAH3","D",-3.54769262347287,-3.83406599606116,-3.46264452706672,-3.91911409246731,0.456469565400588
"18",-3.68369800204864,0.0717819803288007,1994,1,"WAH3","D",-3.54013404139103,-3.82726196270624,-3.45486185664773,-3.91253414744954,0.457672290801816
"19",-3.67775720332708,0.0720146659359345,1995,1,"WAH3","D",-3.53372787145522,-3.82178653519895,-3.44817927179569,-3.90733513485848,0.45915586306279
"20",-3.67312513148138,0.0722701463892091,1996,1,"WAH3","D",-3.52858483870296,-3.8176654242598,-3.44273274537678,-3.90351751758598,0.460784772209204
"21",-3.6698351116781,0.0725397117246385,1997,1,"WAH3","D",-3.52475568822882,-3.81491453512737,-3.43858336933937,-3.90108685401682,0.462503484677453
"22",-3.6678710816374,0.0728284761170011,1998,1,"WAH3","D",-3.5222141294034,-3.81352803387141,-3.43569877775698,-3.90004338551782,0.46434460776084
"23",-3.66715730783858,0.0731378655496025,1999,1,"WAH3","D",-3.52088157673938,-3.81343303893779,-3.43399869116963,-3.90031592450753,0.466317233337898
"24",-3.66755497599981,0.0734545843722839,2000,1,"WAH3","D",-3.52064580725524,-3.81446414474438,-3.43338668093767,-3.90172327106195,0.468336590124277
"25",-3.66886708710563,0.0737618619985282,2001,1,"WAH3","D",-3.52134336310857,-3.81639081110268,-3.43371921155218,-3.90401496265908,0.470295751106898
"26",-3.67085160469839,0.0740562606701606,2002,1,"WAH3","D",-3.52273908335807,-3.81896412603871,-3.43476520589831,-3.90693800349846,0.472172797600152
"27",-3.67324137355931,0.074345372257873,2003,1,"WAH3","D",-3.52455062904357,-3.82193211807506,-3.43623330638203,-3.9102494407366,0.474016134354579
"28",-3.67576821530028,0.0746300008034278,2004,1,"WAH3","D",-3.52650821369343,-3.82502821690714,-3.43785277138391,-3.91368365921666,0.47583088783275
"29",-3.67818795213528,0.0748980252190153,2005,1,"WAH3","D",-3.52839190169725,-3.82798400257331,-3.43941806433403,-3.91695783993653,0.477539775602506
"30",-3.68030296250335,0.0751412277130644,2006,1,"WAH3","D",-3.53002050707722,-3.83058541792948,-3.44075776144053,-3.91984816356616,0.479090402125629
