"","combi","period_diff","ci_width"
"1","1 - 2",0,6.87059980501044
"2","1 - 3",0,7.24251623959005
"3","1 - 4",0,8.06451135731647
"4","1 - 5",0,7.64498028353595
"5","1 - 6",0,7.61611421693763
"6","1 - 7",0,7.50812228602731
"7","1 - 8",0,7.42886948120904
"8","1 - 9",0,0.539694842518232
"9","1 - 10",0,7.59123778955392
"10","2 - 3",0,6.62813224575194
"11","2 - 4",0,6.85252624941344
"12","2 - 5",0,6.74909896361042
"13","2 - 6",0,6.75476334804673
"14","2 - 7",0,6.8471956584615
"15","2 - 8",0,6.66389107225027
"16","2 - 9",0,0.609549442909552
"17","2 - 10",0,6.72099462199037
"18","3 - 4",0,7.12259709094599
"19","3 - 5",0,6.74267161325335
"20","3 - 6",0,6.7627420251685
"21","3 - 7",0,6.99252808653336
"22","3 - 8",0,6.39454793411845
"23","3 - 9",0,0.53686635507673
"24","3 - 10",0,6.63519656516711
"25","4 - 5",0,7.48243965966568
"26","4 - 6",0,7.46514156021887
"27","4 - 7",0,7.42200009181222
"28","4 - 8",0,7.27524260829923
"29","4 - 9",0,0.543323394599627
"30","4 - 10",0,7.42668194950603
"31","5 - 6",0,7.1317315352945
"32","5 - 7",0,7.21239768610878
"33","5 - 8",0,6.87719858100427
"34","5 - 9",0,0.541436661058032
"35","5 - 10",0,7.05700634876985
"36","6 - 7",0,7.20983570094419
"37","6 - 8",0,6.89070132676627
"38","6 - 9",0,0.543230186651924
"39","6 - 10",0,7.06041958684156
"40","7 - 8",0,7.07457323093197
"41","7 - 9",0,0.563561369270483
"42","7 - 10",0,7.17108986671313
"43","8 - 9",0,0.536784540352583
"44","8 - 10",0,6.77332416351805
"45","9 - 10",0,0.538999248735232
