"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"1",-3.56546358834688,0.0575064580260625,1977,1,"WAH3",-3.45045067229475,-3.680476504399,-3.38014465580556,-3.7507825208882,0.370637865082633
"2",-3.56697976118631,0.0568503593991506,1977.336,1,"WAH3",-3.45327904238801,-3.68068047998461,-3.38377515634582,-3.75018436602679,0.366409209680972
"3",-3.56849593407628,0.0561961334582732,1977.672,1,"WAH3",-3.45610366715973,-3.68088820099283,-3.38739962206352,-3.74959224608904,0.362192624025521
"4",-3.57001210706735,0.0555438466433972,1978.008,1,"WAH3",-3.45892441378056,-3.68109980035414,-3.39101783890137,-3.74900637523333,0.357988536331968
"5",-3.57152828022505,0.0548935678436411,1978.344,1,"WAH3",-3.46174114453777,-3.68131541591233,-3.39462958492447,-3.74842697552563,0.353797390601156
"6",-3.57304445367075,0.0542453686901533,1978.68,1,"WAH3",-3.46455371629044,-3.68153519105106,-3.39823462941739,-3.74785427792411,0.349619648506724
"7",-3.57456062753881,0.0535993233829108,1979.016,1,"WAH3",-3.46736198077298,-3.68175927430463,-3.4018327333994,-3.74728852167821,0.34545578827881
"8",-3.57607680198479,0.0529555088850676,1979.352,1,"WAH3",-3.47016578421465,-3.68198781975492,-3.40542364900647,-3.7467299549631,0.341306305956638
"9",-3.57759297723782,0.05231400533162,1979.688,1,"WAH3",-3.47296496657458,-3.68222098790106,-3.40900711822659,-3.74617883624904,0.337171718022445
"10",-3.57910915354297,0.0516748961334293,1980.024,1,"WAH3",-3.47575936127611,-3.68245894580983,-3.41258287250701,-3.74563543457892,0.333052562071913
"11",-3.58062533116696,0.0510382683068602,1980.36,1,"WAH3",-3.47854879455324,-3.68270186778068,-3.41615063169759,-3.74510003063633,0.328949398938742
"12",-3.58214151044644,0.0504042129983699,1980.696,1,"WAH3",-3.4813330844497,-3.68294993644318,-3.41971010240859,-3.7445729184843,0.324862816075707
"13",-3.58365769173219,0.0497728255961413,1981.032,1,"WAH3",-3.48411204053991,-3.68320334292447,-3.42326097759511,-3.74405440586926,0.320793428274149
"14",-3.58517387538702,0.0491442060636782,1981.368,1,"WAH3",-3.48688546325966,-3.68346228751437,-3.42680293547999,-3.74354481529404,0.316741879814048
"15",-3.58669006181006,0.0485184594289335,1981.704,1,"WAH3",-3.48965314295219,-3.68372698066793,-3.43033563800179,-3.74304448561832,0.312708847616528
"16",-3.58820625140723,0.0478956957946936,1982.04,1,"WAH3",-3.49241485981784,-3.68399764299662,-3.43385873075184,-3.74255377206262,0.308695041310788
