id,Agonus_cataphractus,cw_Agonus_cataphractus,Amblyraja_radiata,cw_Amblyraja_radiata,Callionymus_lyra,cw_Callionymus_lyra,Clupea_harengus,cw_Clupea_harengus,Eutrigla_gurnardus,cw_Eutrigla_gurnardus,Gadus_Morhua,cw_Gadus_Morhua,Hyperoplus_lanceolatus,cw_Hyperoplus_lanceolatus,Limanda_limanda,cw_Limanda_limanda,Merlangius_merlangus,cw_Merlangius_merlangus,Myoxocephalus_scorpius,cw_Myoxocephalus_scorpius,Platichthys_flesus,cw_Platichthys_flesus,Pleuronectes_platessa,cw_Pleuronectes_platessa,Scomber_scombrus,cw_Scomber_scombrus,Scyliorhinus_canicula,cw_Scyliorhinus_canicula,Sprattus_sprattus,cw_Sprattus_sprattus,Squalus_acanthias,cw_Squalus_acanthias
12,0.00000000,5.87646496,0.00000000,0.84919566,0.00000000,0.95596905,0.05555556,0.83001772,0.00000000,0.77962172,0.41269841,0.97173940,0.00000000,7.06658061,0.00000000,1.02414633,0.08730159,0.96911555,0.00000000,4.70495498,0.00000000,7.61493092,0.00000000,1.07057837,0.00000000,4.85234524,0.00000000,3.90764824,0.00000000,1.37225035,0.00000000,6.87059981
13,0.00000000,6.08735459,0.22222222,0.66871376,0.00000000,0.75108943,0.06349206,0.80313778,0.00000000,0.75542060,0.00000000,1.00102107,0.00000000,7.17416787,0.00000000,1.00000833,0.00000000,0.89626396,0.00000000,3.25319602,0.00000000,7.97745826,0.00000000,1.02939386,0.00000000,0.47543915,0.00000000,4.29662877,0.00000000,0.88478919,0.00000000,7.24251624
23,0.00000000,6.20926202,0.40476190,0.75127462,0.00000000,1.08188948,0.06349206,0.85808964,0.09523810,0.77119442,0.41269841,0.96985030,0.00000000,7.05399185,0.00000000,1.02272640,0.07936508,0.96594767,0.00000000,6.28017571,0.00000000,7.71306928,0.00000000,1.06916664,0.00000000,0.52566966,0.00000000,3.81932696,0.00000000,1.04074019,0.00000000,6.62813225
24,0.00000000,6.26551404,0.19047619,0.72254882,0.00000000,0.94741916,0.18253968,0.82314306,0.32539683,0.78776913,0.41269841,0.97421764,0.00000000,7.11044674,0.00000000,1.02913788,0.18253968,0.96452955,0.00000000,6.19293032,0.00000000,7.54317281,0.00000000,1.07817277,0.00000000,4.92601457,0.00000000,3.93204238,0.00000000,0.97459172,0.00000000,6.85252625
35,0.00000000,7.49584186,0.00000000,0.66975478,0.00000000,0.75119262,0.11111111,0.77244715,0.00000000,0.75487293,0.00000000,1.00276581,0.00000000,7.27299792,0.14285714,1.01494072,0.00000000,0.88147935,0.00000000,6.55409515,0.00000000,7.98333350,0.00000000,1.03439979,0.00000000,0.51172367,0.00000000,1.22071312,0.00000000,0.87607571,0.00000000,6.74267161
36,0.00000000,0.51822439,0.25396825,0.66507831,0.07936508,0.75280266,0.00000000,0.78260387,0.15079365,0.76467532,0.00000000,1.01255164,0.00000000,0.50765849,0.16666667,1.04106544,0.08730159,0.89714703,0.11111111,0.61807335,0.07142857,0.56249806,0.16666667,1.06490341,0.05555556,0.46937259,0.00000000,0.51377174,0.00000000,0.87524371,0.00000000,6.76274203
45,0.00000000,7.72333093,0.00000000,0.68898843,0.00000000,0.74985961,0.00000000,0.78683803,0.00000000,0.77477108,0.00000000,1.01753758,0.00000000,7.41395760,0.07142857,1.03446850,0.00000000,0.88722731,0.00000000,6.33462459,0.00000000,7.51365978,0.00000000,1.04201043,0.00000000,0.47940089,0.00000000,1.33592050,0.00000000,0.88895577,0.00000000,7.48243966
56,0.00000000,0.51408067,0.10317460,0.68008459,0.07142857,0.75119058,0.28571429,0.78836914,0.14285714,0.79133814,0.00000000,1.01445683,0.02380952,0.49862355,0.14285714,1.03913147,0.11111111,0.90699356,0.07936508,0.61279538,0.08730159,0.55809052,0.11111111,1.06881994,0.00000000,0.47903787,0.00000000,0.51237229,0.00000000,0.88338712,0.00000000,7.13173154
57,0.00000000,7.19316873,0.00000000,0.67864188,0.00000000,0.87984582,0.00000000,0.77005487,0.00000000,0.75616039,0.00000000,1.08445542,0.00000000,4.40568974,0.00000000,1.02272508,0.05555556,0.88700935,0.00000000,3.31632585,0.00000000,7.95061751,0.00000000,1.03697878,0.00000000,0.49541161,0.00000000,1.62238269,0.13492063,0.89055845,0.00000000,7.21239769
58,0.00000000,0.50629241,0.30158730,0.66900364,0.11904762,0.73820613,0.23015873,0.78179786,0.18253968,0.78772183,0.00000000,1.01528056,0.00000000,6.71744832,0.12698413,1.02749078,0.33333333,0.89848488,0.00000000,0.82369148,0.09523810,0.55798404,0.05555556,1.05083038,0.00000000,0.48389118,0.00000000,0.49521433,0.28571429,0.88140195,0.00000000,6.87719858
