"","Seascapes","lag-year","lag","cor","lwr_conf","upr_conf"
"1","1 & 2","1977 - 1978",1,-0.0337224888781074,0.0283298188204137,-0.0955158895643819
"2","1 & 2","1978 - 1979",1,-0.0261693391673658,0.0358819552577581,-0.0880196258270774
"3","1 & 2","1979 - 1980",1,-0.00594860297266324,0.0560651547829363,-0.0679166396848494
"4","1 & 2","1980 - 1981",1,0.0132926325459539,0.0752237268218242,-0.0487406147024685
"5","1 & 2","1981 - 1982",1,0.0172683582026648,0.079176680564388,-0.0447726542465697
"6","1 & 2","1982 - 1983",1,0.00624314164084586,0.0682098247667715,-0.0557715261850511
"7","1 & 2","1983 - 1984",1,-0.012633040695517,0.049398728952239,-0.0745677246349223
"8","1 & 2","1984 - 1985",1,-0.0234544450850597,0.0385947546866256,-0.0853234661095534
"9","1 & 2","1985 - 1986",1,-0.0173757542403263,0.0446654408089945,-0.0792834344658404
"10","1 & 2","1986 - 1987",1,-0.00449011157143818,0.0575189816571742,-0.0664646932179758
"11","1 & 2","1987 - 1988",1,0.0054957686328712,0.067465865520079,-0.056516569024925
"12","1 & 2","1988 - 1989",1,0.00723724652116207,0.0691992821083686,-0.0547804136997282
"13","1 & 2","1989 - 1990",1,0.00185564513507751,0.0638413834866873,-0.0601443561841423
"14","1 & 2","1990 - 1991",1,-0.00238356543591732,0.0596183265235654,-0.0643671367368997
"15","1 & 2","1991 - 1992",1,0.0023383715250223,0.0643221296883958,-0.0596633599293793
"16","1 & 2","1992 - 1993",1,0.0194184583517712,0.0813136546370192,-0.0426259376652777
"17","1 & 2","1993 - 1994",1,0.0407728370362847,0.102506819811906,-0.0212740183758552
"18","1 & 2","1994 - 1995",1,0.0501865451170036,0.111831694747948,-0.0118433847253869
"19","1 & 2","1995 - 1996",1,0.0432994068533828,0.105010613159487,-0.0187439894402539
"20","1 & 2","1996 - 1997",1,0.0286474970901059,0.0904798921119923,-0.0334049107323833
"21","1 & 2","1997 - 1998",1,0.0190579898264796,0.0809554264253543,-0.0429858789051577
"22","1 & 2","1998 - 1999",1,0.0223221793958803,0.0841987459108388,-0.0397258765779703
"23","1 & 2","1999 - 2000",1,0.0298213582872991,0.0916450149886175,-0.032231310797868
"24","1 & 2","2000 - 2001",1,0.0240392748762435,0.0859043368107634,-0.0380104533978167
"25","1 & 2","2001 - 2002",1,-0.0036419358279857,0.0583643238503826,-0.0656202029211249
"26","1 & 2","2002 - 2003",1,-0.0391349698166823,0.0229137035433586,-0.100883299587835
"27","1 & 2","2003 - 2004",1,-0.0515584042003702,0.0104681372171753,-0.113189702466622
"28","1 & 2","2004 - 2005",1,-0.0333444574989749,0.028707967962692,-0.0951408718404629
"29","1 & 2","2005 - 2006",1,-0.00149863307020281,0.0605000701649486,-0.0634858174109093
"30","1 & 2","2006 - 2007",1,0.026154555731575,0.0880049468592004,-0.0358967297641936
"31","1 & 2","2007 - 2008",1,0.0372059829702174,0.0989707879877562,-0.0248444034667245
"32","1 & 2","2008 - 2009",1,0.0337846456039209,0.0955775490994436,-0.028267641031472
"33","1 & 2","2009 - 2010",1,0.0290585924917343,0.0908879465449339,-0.0329939262968824
"34","1 & 2","2010 - 2011",1,0.0316879526411332,0.0934973657330766,-0.0303647794429899
"35","1 & 2","2011 - 2012",1,0.0444438663492881,0.106144498208349,-0.0175977015371331
"36","1 & 2","2012 - 2013",1,0.0608180247080426,0.122349812083528,-0.00117950485855639
"37","1 & 2","2013 - 2014",1,0.0672140703682473,0.128671005552249,0.00524283376363548
"38","1 & 2","2014 - 2015",1,0.0608957666521043,0.122426674203786,-0.00110147402359862
"39","1 & 2","2015 - 2016",1,0.0417917737973528,0.103516665213189,-0.0202537822025828
"40","1 & 2","2016 - 2017",1,0.00830974350381622,0.0702666283712812,-0.0537110080233045
"41","1 & 2","2017 - 2018",1,-0.00943673851920876,0.0525871080800299,-0.0713880580953807
"42","1 & 2","2018 - 2019",1,0.00427100278994205,0.0662465450012891,-0.0577373669676368
"43","1 & 2","1977 - 1979",2,-0.0249595216440843,0.0370909523255453,-0.086818268684831
"44","1 & 2","1978 - 1980",2,-0.0062540099808691,0.0557606912209837,-0.068220642955344
"45","1 & 2","1979 - 1981",2,0.0135863597540219,0.075515838243051,-0.0484475281597707
"46","1 & 2","1980 - 1982",2,0.0224563020895891,0.0843319830348697,-0.0395918976754104
"47","1 & 2","1981 - 1983",2,0.016967837569727,0.0788779492409348,-0.0450726563247393
"48","1 & 2","1982 - 1984",2,-0.00113096076472027,0.0608663891671526,-0.0631196178214149
"49","1 & 2","1983 - 1985",2,-0.0178606771857044,0.0441813245580894,-0.0797654403076715
"50","1 & 2","1984 - 1986",2,-0.0180137020594189,0.0440285482006214,-0.0799175386358502
"51","1 & 2","1985 - 1987",2,-0.00587877266717596,0.0561347677525752,-0.0678471287230161
"52","1 & 2","1986 - 1988",2,0.00713921521387624,0.069101714524966,-0.0548781553507284
"53","1 & 2","1987 - 1989",2,0.0122412237413662,0.0741780146660542,-0.0497896426673475
"54","1 & 2","1988 - 1990",2,0.00711737825332391,0.0690799806997799,-0.0548999276270421
"55","1 & 2","1989 - 1991",2,-0.00177436970689026,0.0602253374819627,-0.0637604386280501
"56","1 & 2","1990 - 1992",2,-0.00539226192576929,0.0566197475729962,-0.0673628261654831
"57","1 & 2","1991 - 1993",2,0.00290306624081541,0.064884471464048,-0.0591006525882828
"58","1 & 2","1992 - 1994",2,0.0212684605747965,0.0831519074816029,-0.0407783881083315
"59","1 & 2","1993 - 1995",2,0.0365386672241843,0.0983090654575244,-0.0255122040906067
"60","1 & 2","1994 - 1996",2,0.038275834880332,0.100031558780784,-0.0237736586193794
"61","1 & 2","1995 - 1997",2,0.0281935812513205,0.0900293098757724,-0.0338586796694667
"62","1 & 2","1996 - 1998",2,0.0170484822322998,0.0789581148341526,-0.0449921519147682
"63","1 & 2","1997 - 1999",2,0.0163428562238057,0.078256653445434,-0.0456965234194454
"64","1 & 2","1998 - 2000",2,0.0250341932135945,0.0868924232781065,-0.0370163366549813
"65","1 & 2","1999 - 2001",2,0.0273569002868395,0.0891987072414814,-0.0346950228239406
"66","1 & 2","2000 - 2002",2,0.00818649219427027,0.0701439761966727,-0.0538339113157597
"67","1 & 2","2001 - 2003",2,-0.0273594396746065,0.0346924845929359,-0.0892012283112124
"68","1 & 2","2002 - 2004",2,-0.0507920614108739,0.0112364017648655,-0.11243112566166
"69","1 & 2","2003 - 2005",2,-0.0435919098180872,0.0184510346833013,-0.105300428753147
"70","1 & 2","2004 - 2006",2,-0.0131083658244091,0.048924474056458,-0.0750404683216138
"71","1 & 2","2005 - 2007",2,0.0208902975064296,0.0827761803713773,-0.0411560843257629
"72","1 & 2","2006 - 2008",2,0.0395419004621756,0.101286696405504,-0.0225063523894501
"73","1 & 2","2007 - 2009",2,0.0402457681749087,0.101984403729089,-0.0218017086824917
"74","1 & 2","2008 - 2010",2,0.0357312000554615,0.0975082931634146,-0.0263201839310941
"75","1 & 2","2009 - 2011",2,0.0365932084335066,0.0983631515706855,-0.025457625329252
"76","1 & 2","2010 - 2012",2,0.0465465313627455,0.108227317108624,-0.0154912521036781
"77","1 & 2","2011 - 2013",2,0.0603242230308634,0.121861581641877,-0.00167512388720933
"78","1 & 2","2012 - 2014",2,0.067754831422863,0.129205209279134,0.00578605227356589
"79","1 & 2","2013 - 2015",2,0.0655820974556193,0.12705860584885,0.00360366616870628
"80","1 & 2","2014 - 2016",2,0.0505495010694521,0.11219100841426,-0.0114795551181811
"81","1 & 2","2015 - 2017",2,0.0160940746855484,0.0780093256030158,-0.0459448479510324
"82","1 & 2","2016 - 2018",2,-0.0159802942885218,0.0460584167805639,-0.0778962075148128
"83","1 & 2","2017 - 2019",2,-0.0127231300158296,0.0493088446237032,-0.0746573268274807
"84","1 & 2","1977 - 1980",3,-0.00606544736209614,0.0559486727048125,-0.0680329483832173
"85","1 & 2","1978 - 1981",3,0.0133166647128299,0.0752476271875439,-0.0487166353547931
"86","1 & 2","1979 - 1982",3,0.0249618644492196,0.0868205952803593,-0.0370886112847412
"87","1 & 2","1980 - 1983",3,0.0257874795870584,0.0876404560627619,-0.0362635754924224
"88","1 & 2","1981 - 1984",3,0.0122228613380893,0.0741597505420523,-0.0498079622743519
"89","1 & 2","1982 - 1985",3,-0.00722827993500844,0.0547893538414026,-0.0691903579866937
"90","1 & 2","1983 - 1986",3,-0.0137916123022985,0.0482427169589662,-0.075719955392806
"91","1 & 2","1984 - 1987",3,-0.00451372427552786,0.0574954465651863,-0.0664882020511974
"92","1 & 2","1985 - 1988",3,0.0109882431020636,0.0729316449089421,-0.0510396073095286
"93","1 & 2","1986 - 1989",3,0.0203270257237015,0.0822165043136702,-0.0417186278618609
"94","1 & 2","1987 - 1990",3,0.0174827637742961,0.0793898027622621,-0.0445586117965014
"95","1 & 2","1988 - 1991",3,0.00655285521142477,0.0685181034693876,-0.0554627580018703
"96","1 & 2","1989 - 1992",3,-0.00458443615950034,0.0574249666903783,-0.0665586024662865
"97","1 & 2","1990 - 1993",3,-0.00696827730318335,0.0550485853425636,-0.0689315823774644
